"SÈlectif RÈgional Slalom (Double) - Eev De Saint Pierre De Boeuf - Course n∞2 | Finale - 2017-10-08","Course n∞2 | Finale","2017-10-08","RÈgional","317"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Tifenn Primet","C1D","117.09","271.31","242.92","Course n∞2 | Finale A"
"Viviana Daille","C1D","120.21","333.13","275.96","Course n∞2 | Finale A"
"Alice Evlachev","C1D","127.25","342.91","350.5","Course n∞2 | Finale A"
"Emilie Delahaye","C1D","130.09","275.66","380.56","Course n∞2 | Finale A"
"Kesia Georgel","C1DM","165.37","916.71","754.09","Course n∞2 | Finale A"
"Marthealice Beaurepaire","C1DM","225.11","614.63","1386.61","Course n∞2 | Finale A"
"Sebastien De Kerleau","C1H","93.76","94.38","137.72","Course n∞2 | Finale A"
"Jules Bernardet","C1H","97.11","162.14","178.26","Course n∞2 | Finale A"
"Alexis Bobon","C1H","97.99","182.73","188.91","Course n∞2 | Finale A"
"Gireg Hamoniaux","C1H","99.52","162.03","207.42","Course n∞2 | Finale A"
"Anthony Roux","C1H","100.37","174.48","217.71","Course n∞2 | Finale A"
"Yann Rivallant","C1H","101.94","167.44","236.71","Course n∞2 | Finale A"
"Thomas Levert","C1H","102.41","250.34","242.39","Course n∞2 | Finale A"
"Jerome Blanchet","C1H","102.61","149.02","244.81","Course n∞2 | Finale A"
"Adrien Fischer","C1H","102.73","226.65","246.26","Course n∞2 | Finale A"
"Armand Rakowski","C1H","104.29","269.21","265.14","Course n∞2 | Finale A"
"Philippe Thevenin","C1H","105.25","297.25","276.76","Course n∞2 | Finale A"
"Eric Labarelle","C1H","105.52","-","280.02","Course n∞2 | Finale A"
"Gauthier Gonseth","C1H","105.77","260.61","283.05","Course n∞2 | Finale A"
"Lucas Latimier","C1H","107.58","305.07","304.95","Course n∞2 | Finale A"
"Galaad Pereyron","C1H","108.55","167.74","316.69","Course n∞2 | Finale A"
"Maxime Vallin","C1H","109.06","287.95","322.86","Course n∞2 | Finale A"
"Renaud Doby","C1H","109.08","181.37","323.11","Course n∞2 | Finale A"
"Laurent Coudurier","C1H","109.14","-","323.83","Course n∞2 | Finale A"
"Guillaume Carbon","C1H","110.41","326.8","339.19","Course n∞2 | Finale A"
"Maxime Kabir","C1H","112.6","319.43","365.69","Course n∞2 | Finale A"
