"SÈlectif RÈgional de Slalom - Itxassou - Qualification","Itxassou","Qualification","qualif","2017-10-15","RÈgional","203"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Doriane Delassus","C1D","112.1","239.14","246.44",""
"Angele Hug","C1D","112.22","209.21","247.73",""
"Laurene Roisin","C1D","115.67","262.31","284.75",""
"Marie-zelia Lafont","C1D","116.8","-","296.88",""
"Azenor Philip","C1D","117.43","186.45","303.64",""
"Romane Prigent","C1D","120.53","-","336.91",""
"Charline Berger Martin","C1D","121.56","295.24","347.96",""
"Oceane Baylacq","C1D","122.19","326.22","354.72",""
"Elorri Erdois","C1D","126.77","413.59","403.87",""
"Lea Baldoni","C1D","136.18","450.87","504.84",""
"Elena Hugues","C1D","170.48","249.12","872.93",""
"Solene Lafitte","C1D","182.16","485.66","998.27",""
"Emma Vuitton","C1DM","114.21","272.57","269.08",""
"Laurine Salesse","C1DM","125.2","436.1","387.02",""
"Nahia Oteiza","C1DM","134.86","603.92","490.68",""
"Youlia Estanguet","C1DM","143.77","541.92","586.29",""
"Hector Combes","C1H","98.21","184.62","247.94",""
"Luc Sarramea","C1H","98.32","193.0","249.29",""
"Galaad Pereyron","C1H","98.54","167.74","251.99",""
"Etienne Daille","C1H","101.52","174.93","288.54",""
"Alexandre Ghirardi","C1H","101.87","230.08","292.83",""
"Johan Pucheou","C1H","104.83","200.8","329.13",""
"Jules Bernardet","C1H","105.18","162.14","333.42",""
"Faysal Ali Zazou","C1H","105.2","260.7","333.66",""
"Pierre Gelle","C1H","105.52","251.83","337.59",""
"Leo Dujourd'hui","C1H","106.96","329.69","355.26",""
"Leo Vuitton","C1H","108.24","287.06","370.96",""
"Tomy Dandonneau","C1H","110.11","356.16","393.89",""
"Arthur Perez","C1H","110.45","379.63","398.05",""
"Theau Le Loch","C1H","110.74","334.79","401.62",""
"Marc Sarramea","C1H","111.91","337.04","415.96",""
"Mathias Pannetier","C1H","112.33","389.43","421.11",""
"Jonathan Suc","C1H","112.94","-","428.6",""
"Raoul Colin","C1H","114.31","405.74","445.4",""
"Adrien Mesmoudi","C1H","118.34","517.43","494.82",""
"Gauthier Beyneix","C1H","118.82","932.51","500.71",""
"Tonin Desmet","C1H","122.14","601.89","541.43",""
"Julien Coric","C1H","126.5","839.71","594.9",""
"Yoan Micouraud","C1H","129.11","-","626.91",""
"Theo Laudrin","C1H","135.32","-","703.07",""
"Paul Gobert","C1H","140.14","709.37","762.19",""
"Tristan Ruiz","C1H","141.74","1468.21","781.8",""
"Loris Shayam Affre","C1HM","116.41","525.02","471.16",""
"Emilien Courtiade","C1HM","119.73","693.68","511.87",""
"Alex Baldoni","C1HM","121.91","640.72","538.61",""
"Antton Erdois","C1HM","121.92","687.25","538.72",""
"Fantin Delage-garez","C1HM","124.32","556.05","568.16",""
"Yon Dandonneau","C1HM","129.7","-","634.15",""
"Matt Vidou","C1HM","135.5","783.39","705.28",""
"Hugo Mouffle-Theau Le Loch","C2H","114.96","321.86","389.28",""
"Gael Adisson-Valentin Courtiade","C2H","127.23","-","532.93",""
"Gedeon Cothias-faure-Cedric Landreau","C2H","131.08","634.57","578.0",""
"Pablo Chaminade-Esteban Illido","C2H","146.34","-","756.63",""
"Julien Coric-Noa Lorand","C2H","149.76","-","796.67",""
"Lukas Estanguet-santamaria-Matheo Nassieu","C2HM","206.12","-","1456.47",""
"Etienne Daille-Carole Bouzidi","C2M","114.12","277.16","268.12",""
"Alixe Degremont-Jules Bernardet","C2M","122.44","340.61","357.4",""
"Stephanie Kaczmarek-Herve Clerc","C2M","123.1","-","364.48",""
"Arnaud Lapeze-Marie-zelia Lafont","C2M","129.04","-","428.22",""
"Antton Erdois-Nahia Oteiza","C2MM","141.88","-","566.01",""
"Carole Bouzidi","K1D","100.94","56.21","193.78",""
"Angele Hug","K1D","102.33","173.94","209.62",""
"Laurene Roisin","K1D","105.56","232.68","246.43",""
"Elena Hugues","K1D","106.52","210.18","257.37",""
"Romane Prigent","K1D","106.78","93.9","260.34",""
"Eva Pietracha","K1D","107.34","199.84","266.72",""
"Clemence Lartigue","K1D","108.81","239.93","283.47",""
"Doriane Delassus","K1D","110.49","179.73","302.61",""
"Lisa Mouffle","K1D","110.97","123.62","308.08",""
"Charline Berger Martin","K1D","111.44","202.04","313.44",""
"Lea Baldoni","K1D","112.05","302.41","320.39",""
"Laetitia Thueux","K1D","114.49","348.56","348.2",""
"Azenor Philip","K1D","115.55","283.18","360.28",""
"Carla Lacroix","K1D","116.43","301.54","370.3",""
"Camille Santa Cruz","K1D","116.51","405.19","371.22",""
"Lise Denat","K1D","119.43","268.94","404.49",""
"Solene Lafitte","K1D","120.97","415.06","422.04",""
"Elorri Erdois","K1D","121.33","278.53","426.15",""
"Aurore Poirot","K1D","129.28","856.86","516.74",""
"Agathe Benoit","K1D","131.49","-","541.93",""
"Emma Angladette","K1D","138.07","552.2","616.92",""
"Marie-zelia Lafont","K1D","147.21","47.47","721.07",""
"Alixe Degremont","K1D","148.21","157.87","732.46",""
"Perrine Dujourd'hui","K1D","157.49","1081.3","838.23",""
"Stephanie Kaczmarek","K1D","165.2","213.26","926.09",""
"Oceane Baylacq","K1D","166.98","295.04","946.37",""
"H…l»ne Gassie","K1D","192.17","-","1233.43",""
"Nuith Engstrand","K1D","218.7","-","1535.77",""
"Lisa Mourot","K1D","331.54","-","2821.68",""
"Emma Vuitton","K1DM","106.03","191.85","251.79",""
"Laurine Salesse","K1DM","111.06","339.81","309.11",""
"Nahia Oteiza","K1DM","112.28","441.58","323.01",""
"Youlia Estanguet","K1DM","128.63","440.34","509.34",""
"Juliette Derouineau","K1DM","129.07","536.38","514.35",""
"Chloe Bonnet","K1DM","192.47","833.6","1236.85",""
"Edgar Prigent","K1H","90.4","77.67","207.6",""
"Anatole Delassus","K1H","93.9","127.33","252.67",""
"Paul Cornut-chauvinc","K1H","94.26","92.97","257.3",""
