"Coupe d'Automne - Stade D'eaux Vives Cesson-sévigné - Qualification - Manche 1","Stade D'eaux Vives Cesson-sévigné","Qualification - Manche 1","qualif","2017-10-21","Nationale 1","162"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Margaux Henry","C1D","130.3","115.63","166.89",""
"Tiphaine Duboc","C1D","134.95","205.42","206.14",""
"Laurine Naveau","C1D","136.81","186.94","221.84",""
"Anne-lise Moisan-ehrwein","C1D","139.44","215.44","244.04",""
"Lea Grison","C1D","140.66","241.57","254.34",""
"Fanchon Janssen","C1D","142.31","133.21","268.27",""
"Marjorie Delassus","C1D","144.09","119.46","283.29",""
"Tifenn Primet","C1D","145.67","262.94","296.63",""
"Elena Hugues","C1D","146.48","235.3","303.47",""
"Laurene Roisin","C1D","147.19","250.0","309.45",""
"Doriane Delassus","C1D","147.56","226.81","312.58",""
"Azenor Philip","C1D","147.82","186.45","314.77",""
"Amaurie Guilleret","C1D","147.82","301.5","314.77",""
"Angele Hug","C1D","149.94","207.78","332.67",""
"Julia Budzinski","C1D","152.43","197.95","353.69",""
"Charline Berger Martin","C1D","153.59","281.92","363.48",""
"Oceane Baylacq","C1D","155.05","294.21","375.8",""
"Thais Francois","C1D","159.44","288.08","412.86",""
"Marion Grangeon","C1D","167.41","369.98","480.12",""
"Simon Le Friec","C1H","104.97","91.03","79.66",""
"Corentin Oulhen","C1H","110.66","107.27","134.55",""
"Nicolas Gestin","C1H","111.15","100.46","139.28",""
"Yves Bourhis","C1H","112.21","115.89","149.51",""
"Emeric Bertrand","C1H","113.24","189.61","159.45",""
"Charly Chassigneux","C1H","113.36","144.57","160.6",""
"Jean Pierre Bourhis","C1H","114.75","118.0","174.01",""
"Alexis Bobon","C1H","115.07","181.22","177.09",""
"Yohann Senechault","C1H","115.12","196.91","177.58",""
"Hugo Latimier","C1H","115.21","181.1","178.45",""
"Luc Sarramea","C1H","115.25","193.0","178.83",""
"Valentin Marteil","C1H","116.67","115.99","192.53",""
"Jules Bernardet","C1H","117.06","162.14","196.29",""
"Emilien Kempf","C1H","117.23","103.62","197.94",""
"Hector Combes","C1H","117.3","184.62","198.6",""
"Nicolas Ducrocq","C1H","117.55","165.58","201.01",""
"Lucas Hives - Sorin","C1H","117.8","188.75","203.43",""
"Baptiste Le Poncin","C1H","118.26","141.06","207.87",""
"Julien Pajaud","C1H","119.32","182.59","218.09",""
"Anthony Roux","C1H","119.62","174.48","220.99",""
"Tom Maffeis","C1H","120.98","129.58","234.11",""
"Timothee Cornu","C1H","121.29","298.72","237.09",""
