"SÈlectif RÈgional Slalom (Double) - Double Slalom De Pau - Course n∞2 | Finale","Double Slalom De Pau","Course n∞2 | Finale","finale","2017-10-29","RÈgional","276"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Lucie Baudu","C1D","106.87","95.65","120.71","finale a"
"Cecile Tixier","C1D","107.41","130.12","125.89","finale a"
"Laurene Roisin","C1D","115.68","242.66","205.29","finale a"
"Laura Pellicer","C1D","125.31","241.07","297.73","finale a"
"Oceane Baylacq","C1D","147.41","322.19","509.89","finale a"
"Azenor Philip","C1D","173.72","184.53","762.47","finale a"
"Elena Hugues","C1D","233.5","247.11","1336.34","finale a"
"Antoine Gaillard","C1H","94.64","116.96","133.09","finale a"
"Nicolas Gestin","C1H","95.62","100.21","143.85","finale a"
"Pierre Antoine Tillard","C1H","96.85","52.18","157.34","finale a"
"Johan Pucheou","C1H","99.95","201.94","191.35","finale a"
"Nathan Hossin","C1H","100.02","153.64","192.12","finale a"
"Hugo Latimier","C1H","100.43","176.52","196.62","finale a"
"Theo Roisin","C1H","100.69","112.93","199.47","finale a"
"Etienne Daille","C1H","100.91","194.39","201.88","finale a"
"Jules Bernardet","C1H","101.78","148.7","211.43","finale a"
"Nicolas Scianimanico","C1H","101.86","141.75","212.31","finale a"
"Jean Freri","C1H","103.1","240.93","225.91","finale a"
"Yann Rivallant","C1H","103.49","168.61","230.19","finale a"
"Tom Maffeis","C1H","103.54","129.58","230.74","finale a"
"Yohann Senechault","C1H","103.81","176.41","233.7","finale a"
"Mathieu Doby","C1H","106.12","167.19","259.05","finale a"
"Jerome Blanchet","C1H","106.34","149.02","261.46","finale a"
"Alexandre Ghirardi","C1H","109.58","232.35","297.01","finale a"
"Luc Sarramea","C1H","112.54","178.11","329.48","finale a"
"Timothee Cornu","C1H","112.77","264.52","332.0","finale a"
"Lucas Roisin","C1H","153.7","74.69","781.06","finale a"
"Enrick Cunsolo","C1H","171.68","256.62","978.33","finale a"
"Julien Mizzi","C1HM","123.84","476.41","453.46","finale a"
"Hugo Crespo","C1HM","129.4","846.37","514.46","finale a"
"Alex Baldoni","C1HM","160.49","570.07","855.56","finale a"
"Emilien Courtiade","C1HM","163.18","513.78","885.07","finale a"
"Antton Erdois","C1HM","197.36","602.26","1260.07","finale a"
"Hugo Cailhol-Nicolas Scianimanico","C2H","103.06","105.62","174.08","finale a"
"Mathieu Doby-Victor Lamy","C2H","166.84","497.63","842.02","finale a"
"Etienne Daille-Carole Bouzidi","C2M","124.17","265.07","286.79","finale a"
"Lisa Mouffle-Tom Scianimanico","C2M","128.67","484.86","329.99","finale a"
"Clement Travert-Joana Palermo","C2M","203.89","693.37","1052.09","finale a"
"Marie-zelia Lafont","K1D","93.81","47.47","51.12","finale a"
"Lucie Baudu","K1D","95.25","45.82","65.8","finale a"
"Estelle Mangin","K1D","98.55","49.25","99.45","finale a"
"Lea Turmeau","K1D","100.84","86.46","122.79","finale a"
"Flora Huvelin","K1D","100.93","87.49","123.71","finale a"
"Julie Neime","K1D","101.02","70.83","124.63","finale a"
"Alixe Degremont","K1D","101.28","160.38","127.28","finale a"
"Carole Bouzidi","K1D","101.68","58.08","131.35","finale a"
"Berenice Kolenc","K1D","102.26","70.5","137.27","finale a"
"Pauline Guiet","K1D","102.53","50.42","140.02","finale a"
"Natacha Delassus","K1D","103.68","102.19","151.74","finale a"
"Lisa Mouffle","K1D","104.45","121.71","159.59","finale a"
"Viviana Daille","K1D","108.69","150.56","202.82","finale a"
"Laura Pellicer","K1D","109.12","192.43","207.2","finale a"
"Cecile Tixier","K1D","111.57","164.82","232.18","finale a"
"Marjorie Delassus","K1D","112.43","91.73","240.95","finale a"
"Klara Olazabal","K1D","112.47","147.09","241.35","finale a"
"Doriane Delassus","K1D","114.06","163.19","257.56","finale a"
"Anais Bernardy","K1D","115.78","140.17","275.1","finale a"
"Charline Berger Martin","K1D","116.85","195.59","286.01","finale a"
"Angele Hug","K1D","120.0","107.73","318.12","finale a"
"Oceane Baylacq","K1D","127.0","290.12","389.48","finale a"
"Joana Palermo","K1D","163.49","89.72","761.48","finale a"
"Laurine Salesse","K1DM","125.23","314.34","371.44","finale a"
"Romane Regnier","K1DM","140.45","384.57","526.6","finale a"
"Clara Delahaye","K1DM","162.97","387.21","756.18","finale a"
"Quentin Burgi","K1H","84.26","42.87","65.43","finale a"
"Mathurin Madore","K1H","86.28","29.74","88.7","finale a"
"Boris Neveu","K1H","86.38","21.39","89.86","finale a"
"Janos Peterlin","K1H","86.63","89.31","92.74","finale a"
"Mathieu Biazizzo","K1H","86.66","29.92","93.08","finale a"
"Alan Dollo","K1H","88.7","85.45","116.58","finale a"
"Sebastien Combot","K1H","89.01","36.32","120.15","finale a"
"Malo Quemeneur","K1H","89.32","54.83","123.72","finale a"
"Simon Hene","K1H","89.51","108.76","125.91","finale a"
"Benjamin Renia","K1H","89.63","40.7","127.3","finale a"
"Mathieu Doby","K1H","90.46","62.97","136.86","finale a"
"Tom Scianimanico","K1H","90.55","64.43","137.89","finale a"
"Clement Travert","K1H","90.62","80.27","138.7","finale a"
"Yves Prigent","K1H","90.71","30.64","139.74","finale a"
"Guillaume Graille","K1H","90.88","57.56","141.7","finale a"
"Gurgen Brun","K1H","91.06","77.63","143.77","finale a"
"Thomas Durand","K1H","91.13","88.09","144.58","finale a"
"Aaron Penning","K1H","91.19","137.45","145.27","finale a"
"Edgar Prigent","K1H","91.29","69.08","146.42","finale a"
"Thomas Bersinger","K1H","91.32","54.12","146.76","finale a"
"Theo Desvignes","K1H","91.46","116.45","148.38","finale a"
"Pierre Giudicelli","K1H","91.53","77.22","149.18","finale a"
"Thomas Rosset","K1H","91.76","83.81","151.83","finale a"
"Nicolas Baudoin","K1H","92.36","85.88","158.75","finale a"
"Pierre-louis Saussereau","K1H","92.4","173.68","159.21","finale a"
"Pol Oulhen","K1H","92.61","55.16","161.63","finale a"
"Jonas Turmeau","K1H","93.07","76.63","166.92","finale a"
"Martin Daviet","K1H","93.39","73.52","170.61","finale a"
"Vincent Delahaye","K1H","93.61","108.05","173.15","finale a"
"Hugo Cailhol","K1H","93.62","121.25","173.26","finale a"
"Isaac Dufrene","K1H","93.78","96.68","175.1","finale a"
"Enrick Cunsolo","K1H","94.83","76.49","187.2","finale a"
"Jimy Bercon","K1H","95.42","178.27","194.0","finale a"
"Leo Fournier","K1H","95.48","177.96","194.69","finale a"
"Hugo Regnier","K1H","95.87","139.01","199.18","finale a"
"Yanis Rainaud","K1H","96.11","143.31","201.94","finale a"
