"SÈlectif RÈgional Slalom - Gond Poutouvre - Qualification - 2017-12-17","Gond Poutouvre","Qualification","qualif","2017-12-17","RÈgional","164"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Perrine Joubert","C1D","130.81","442.24","425.21",""
"Emilie Chamouleau","C1D","135.72","442.63","478.19",""
"Cindy Coat","C1D","137.06","364.85","492.65",""
"Chloe Crachet","C1D","141.56","505.98","541.2",""
"Alexia Bechu","C1D","158.64","617.52","725.48",""
"Alice Bureau","C1DM","174.98","-","901.79",""
"Ana Thoraux","C1DM","347.22","-","2760.18",""
"Antoine Roux","C1H","101.08","115.54","260.24",""
"Henri Chenu","C1H","107.66","237.76","341.37",""
"Yanis Rainaud","C1H","108.1","422.65","346.8",""
"Frederic Boob","C1H","109.25","395.65","360.99",""
"Adrien Picco","C1H","109.31","-","361.73",""
"Adrien Roux","C1H","110.56","361.02","377.13",""
"Xavier Jourdain","C1H","115.24","267.65","434.84",""
"Philippe Niquet","C1H","116.14","472.12","445.95",""
"Marc Brossard","C1H","120.69","-","502.05",""
"Louis Bouchiat","C1H","123.25","594.18","533.62",""
"Laurence Scrimgeour","C1H","139.6","706.88","735.22",""
"Pierre Dehaudt","C1H","139.69","-","736.33",""
"Hugo Martin","C1H","146.31","616.6","817.97",""
"Corentin Bechu","C1H","150.72","812.49","872.35",""
"Tom Charles","C1H","152.78","811.5","897.75",""
"Tom Babin","C1H","180.84","452.09","1243.76",""
"Alexis Farineau","C1H","211.75","-","1624.9",""
"Theo Jeanlouis","C1HM","119.52","517.68","487.63",""
"Adrien Pardoux","C1HM","122.38","556.45","522.88",""
"Clement Gillaizeau","C1HM","124.56","552.9","549.77",""
"Louis Rathier","C1HM","132.28","503.59","644.96",""
"Matt…o Rainaud","C1HM","147.34","658.94","830.67",""
"Clement Brotier","C1HM","149.56","1327.0","858.04",""
"Martin Thermidor","C1HM","149.6","-","858.53",""
"Edouard Patry","C1HM","160.53","906.94","993.31",""
"Gaspard Trichard","C1HM","163.44","-","1029.19",""
"Simon Tourtois","C1HM","174.9","862.92","1170.5",""
"Lucas Deleplancque","C1HM","177.25","1058.94","1199.49",""
"Dylan Renneteau","C1HM","178.35","-","1213.05",""
"Aurele Neveu","C1HM","213.07","-","1641.18",""
"Clement Turgis","C1HM","229.34","1537.2","1841.8",""
"Adrien Favennec","C1HM","249.35","806.97","2088.54",""
"Blandine Larbouillat-Zoe Waeles","C2D","192.53","-","931.35",""
"Tom Babin-Arnaud Verrons","C2H","121.4","376.34","442.76",""
"Matheo Gillaizeau-Sam Traquet","C2H","143.86","629.36","707.12",""
"Adrien Roux-Guillaume Lopes","C2H","145.96","-","731.84",""
"Nicolas Cappy-Arthur Robilliard","C2H","156.61","-","857.2",""
"Anatole Fourcade-Alexis Dubreuil","C2H","169.16","-","1004.92",""
"Thomas Deguilhem-Kevin Richard-lubon","C2H","185.8","-","1200.77",""
"Louis Rathier-Titouan Conseil","C2HM","162.7","1076.66","928.88",""
"Lucas Deleplancque-Adrien Favennec","C2HM","240.61","-","1845.9",""
"Theo Lebastard-Bastien Lusseault","C2HM","350.01","-","3133.59",""
"Emilie Chamouleau-Christophe Marechal","C2M","125.66","362.34","369.65",""
"Frederic Boob-Frederique Merle","C2M","126.87","318.22","382.7",""
"Cindy Coat-Gaetan Coat","C2M","131.41","715.89","431.68",""
"Alice Bureau-Gaspard Trichard","C2MM","189.47","-","1058.13",""
"Frederique Merle","K1D","114.78","305.32","328.97",""
"Perrine Joubert","K1D","115.81","351.19","340.78",""
"Emilie Chamouleau","K1D","116.57","330.84","349.48",""
"Chloe Crachet","K1D","120.94","434.82","399.56",""
"Cindy Coat","K1D","121.81","838.42","409.51",""
"Alexia Bechu","K1D","123.38","380.57","427.51",""
"Zoe Waeles","K1D","130.24","486.25","506.12",""
"Laurine Meslong","K1D","136.64","598.92","579.44",""
"Louise Turgis","K1D","161.92","897.72","869.1",""
"Clemence Zago","K1D","341.51","927.46","2926.82",""
"Celine Duprat","K1D","547.34","3674.37","5285.21",""
"Cerise Babin","K1DM","125.21","437.11","448.47",""
"Juliette Derouineau","K1DM","132.54","501.97","532.46",""
"Alice Bureau","K1DM","134.81","655.52","558.47",""
"Emma Bienassis","K1DM","147.75","644.92","706.74",""
"Ana Thoraux","K1DM","214.35","846.28","1469.83",""
"Raphael Lassechere","K1H","91.09","165.2","193.21",""
"Julien Pajaud","K1H","91.9","76.68","203.7",""
"Tanguy Zaninotto","K1H","95.63","215.45","252.0",""
"Christophe Marechal","K1H","95.78","176.09","253.94",""
"Dylan Sourbe","K1H","96.4","224.81","261.97",""
"Yanis Rainaud","K1H","96.58","145.74","264.3",""
"Antoine Roux","K1H","96.79","188.47","267.01",""
"Sam Traquet","K1H","97.34","259.27","274.14",""
"Arnaud Verrons","K1H","97.69","266.94","278.67",""
"Adrien Picco","K1H","97.9","285.52","281.39",""
"James Duvernoy","K1H","98.17","228.89","284.88",""
"Quentin Chauvin","K1H","98.56","347.67","289.93",""
"Tom Babin","K1H","98.93","271.96","294.72",""
"Xavier Jourdain","K1H","98.94","161.68","294.85",""
"Alexis Dorey","K1H","98.96","230.74","295.11",""
"Matheo Gillaizeau","K1H","101.78","245.42","331.62",""
"Maxime Texier","K1H","102.17","258.97","336.67",""
"Henri Chenu","K1H","102.66","334.69","343.02",""
"NaÀl Rajoub","K1H","104.68","317.12","369.17",""
"Tom Delens","K1H","105.6","463.47","381.08",""
"Philippe Niquet","K1H","105.61","372.21","381.21",""
"Ulysse Giel","K1H","105.83","339.81","384.06",""
"Thierry Derouineau","K1H","105.84","357.36","384.19",""
"Valentin Cesbron","K1H","106.72","379.87","395.58",""
"Arthur Huet","K1H","107.03","392.86","399.6",""
"Pierre Dehaudt","K1H","107.69","461.25","408.14",""
"Antoine Rambeau","K1H","108.32","473.98","416.3",""
"Kevin Sponem","K1H","108.36","337.23","416.82",""
"Marc Brossard","K1H","109.0","394.78","425.1",""
"Carl Rainaud","K1H","109.84","1316.31","435.98",""
"Laurence Scrimgeour","K1H","110.76","429.0","447.89",""
"Mathieu Pouchet","K1H","110.88","454.06","449.44",""
"Florian Torche","K1H","110.98","339.1","450.74",""
"Louis Bouchiat","K1H","111.09","522.53","452.16",""
"Yvan Rome","K1H","111.37","-","455.79",""
"Gaetan Coat","K1H","111.39","343.82","456.05",""
"Quentin Geeroms","K1H","111.56","-","458.25",""
"Adrien Ricaud","K1H","111.96","489.25","463.43",""
"Julien Brice","K1H","112.49","482.9","470.29",""
"Olivier Cain","K1H","113.45","322.5","482.72",""
"Thibaud Delaunay","K1H","113.58","434.97","484.4",""
"Tom Charles","K1H","115.52","446.04","509.52",""
"Nicolas Cappy","K1H","116.63","604.57","523.89",""
"Romain Bouby","K1H","116.72","497.25","525.06",""
"Benjamin Georges","K1H","116.85","459.86","526.74",""
"Thilbault Rucher","K1H","118.4","409.27","546.81",""
"Arthur Pringault","K1H","119.92","496.41","566.49",""
"Jordan Brise","K1H","120.75","571.78","577.24",""
"Axel Forgerit","K1H","121.2","567.84","583.06",""
"Tristan Favennec","K1H","125.84","644.6","643.14",""
"Anatole Fourcade","K1H","125.99","631.53","645.08",""
"Corentin Bechu","K1H","128.59","532.01","678.74",""
"Lucas Mesquita","K1H","131.54","655.05","716.94",""
"Hugo Martin","K1H","131.68","745.96","718.75",""
"Kevin Richard-lubon","K1H","132.17","-","725.1",""
"Pierre Pouvreau","K1H","132.67","769.83","731.57",""
"Mael Verheyde","K1H","133.76","915.2","745.68",""
"Jean-noel Biteau","K1H","134.37","622.58","753.58",""
