"Sélectif Régional de Slalom - Pont D Ouilly - Finale - 2018-02-11","Finale","2018-02-11","Régional","128"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Emma Chevallier","C1D","361","1743.4","3302.18","Finale A"
"Elise Masseline","C1DM","147.43","1142.47","775.04","Finale A"
"Gaspard Perrio","C1H","93.21","319.16","291.03","Finale A"
"Quentin Mannier","C1H","98.99","354.91","369.19","Finale A"
"Guillaume Caron","C1H","101","407.92","396.37","Finale A"
"Antoine Martin","C1H","106.78","481.37","474.54","Finale A"
"Guillaume Doutreix","C1H","108.22","332.25","494.02","Finale A"
"Jean Aussant","C1H","113.86","472.29","570.28","Finale A"
"Mathieu Aussant","C1H","117.79","679.3","623.43","Finale A"
"Christophe Bachelot","C1H","120.41","638.25","658.86","Finale A"
"Jeremy Bretteville","C1H","120.53","541.07","660.48","Finale A"
"Fabien Bonvalet","C1H","125.74","524.79","730.93","Finale A"
"Quentin Angot","C1H","127.96","552.22","760.97","Finale A"
"Isidore Dubuisson","C1H","132.74","554.64","825.6","Finale A"
"Geoffroy Lauth","C1H","146.28","554.26","1008.7","Finale A"
"Matheo Dupont","C1H","148.08","752.88","1033.06","Finale A"
"Florian Jumetz","C1HM","136.34","771.83","874.29","Finale A"
"Titouan Aussant","C1HM","144.49","844.46","984.51","Finale A"
"Hugo Tellier","C1HM","149.64","1089.18","1054.14","Finale A"
"Erwan Masson","C1HM","167.15","923.3","1290.93","Finale A"
"Catherine Boulan-Melina Letellier","C2D","Des","-","-","Finale A"
"Jeremy Bretteville-Guillaume Doutreix","C2H","132.53","646.69","741.3","Finale A"
"Mathias Vautier-Vincent Dorchat","C2H","205.44","1885.51","1682.47","Finale A"
"Teo Durand-Loan Guyomarch","C2H","Nt","-","-","Finale A"
"Estephe Decarsin-Margaux Fabijan","C2M","158.61","885.65","907.33","Finale A"
"Thomas Leblond-Elza Horlock","C2M","190.08","1409.85","1279.71","Finale A"
"Marceau Decarsin-Eloise Riviere","C2M","192.61","1095.38","1309.65","Finale A"
