"Sélectif Championnat National 2 Slalom - Inzinzac Lochrist - Finale","Inzinzac Lochrist","Finale","finale","2018-03-11","Nationale 2","140"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Laurine Naveau","C1D","131.81","188.93","322.79","finale a"
"Oceane Baylacq","C1D","135.45","325.01","359.18","finale a"
"Lea Grison","C1D","141.87","274.55","423.36","finale a"
"Laurine Salesse","C1D","151.23","376.4","516.94","finale a"
"Maxime Perron","C1H","100.68","209.19","155.35","finale a"
"Theo Desvignes","C1H","105.85","273.02","214.43","finale a"
"Johan Pucheou","C1H","106.24","202.93","218.88","finale a"
"Henri Chenu","C1H","107.68","237.76","235.33","finale a"
"Timothee Cornu","C1H","108.32","260.93","242.65","finale a"
"Benoit Chantry","C1H","109.08","244.38","251.33","finale a"
"Thomas Launay","C1H","109.66","229.99","257.95","finale a"
"Faysal Ali Zazou","C1H","117.87","246.02","351.76","finale a"
"Solen Le Bourles","C1H","121.34","287.8","391.41","finale a"
"Melenn Aubry","C1H","123.45","333.0","415.52","finale a"
"Terence Saramandif","C1H","123.88","276.51","420.43","finale a"
"Eloi Seemann","C1H","126.49","221.36","450.26","finale a"
"Gaspard Perrio","C1H","168.01","303.48","924.67","finale a"
"Chloe Gatuingt-Alize Bachelot","C2D","314.8","548.33","1910.18","finale a"
"Tom Babin-Arnaud Verrons","C2H","116.98","352.71","280.83","finale a"
"Florian Busson-Alex Louveau","C2H","121.96","395.61","335.16","finale a"
"Youn Aubry-Matheo Lebaindre","C2H","131.98","449.19","444.44","finale a"
"Fabien Le Nechet-Maela Le Corre","C2M","140.12","359.77","405.87","finale a"
"Emilie Chamouleau-Christophe Marechal","C2M","140.93","362.97","413.97","finale a"
"Frederic Boob-Frederique Merle","C2M","144.29","312.1","447.56","finale a"
"Alice Azam","K1D","111.05","230.71","184.01","finale a"
"Estelle Hellard","K1D","111.05","143.35","184.01","finale a"
"Lise Vinet","K1D","114.33","288.85","218.83","finale a"
"Perrine Joubert","K1D","121.06","344.43","290.29","finale a"
"Zoe Bruchon","K1D","122.34","268.32","303.87","finale a"
"Oceane Baylacq","K1D","125.63","299.69","338.8","finale a"
"Maela Le Corre","K1D","126.73","309.21","350.48","finale a"
"Laurine Naveau","K1D","126.76","358.25","350.8","finale a"
"Marion Grangeon","K1D","127.11","277.02","354.52","finale a"
"Zoe Huet","K1D","129.11","309.39","375.76","finale a"
"Emilie Chamouleau","K1D","130.11","331.01","386.37","finale a"
"Manon Durand","K1D","130.44","233.41","389.88","finale a"
"Laurine Salesse","K1D","132.08","294.53","407.28","finale a"
"Jann Le Corre","K1D","160.6","356.32","710.09","finale a"
"Anthony Drouhin","K1H","93.73","171.07","129.49","finale a"
"Pierre-louis Saussereau","K1H","93.74","153.15","129.61","finale a"
"Valentin Brindeau","K1H","95.11","167.35","146.04","finale a"
"Tanguy Zaninotto","K1H","96.18","208.52","158.88","finale a"
"Johann Loiseau","K1H","96.32","256.41","160.56","finale a"
"Christophe Marechal","K1H","96.33","182.48","160.68","finale a"
"Paul Gestin","K1H","96.33","221.81","160.68","finale a"
"Noe Perreau","K1H","96.42","235.12","161.76","finale a"
"Benjamin Thiboust","K1H","96.7","181.35","165.12","finale a"
"Lucas Jacob","K1H","97.69","207.77","177.0","finale a"
"Anthony Thuillier","K1H","99.0","171.8","192.71","finale a"
"Valentin Courtiade","K1H","99.62","181.65","200.15","finale a"
"Benoit Chantry","K1H","100.16","146.42","206.63","finale a"
"Arnaud Verrons","K1H","100.46","210.06","210.23","finale a"
"David Mingasson","K1H","100.5","168.59","210.71","finale a"
"Xavier Jourdain","K1H","101.67","162.46","224.75","finale a"
"Fabien Le Nechet","K1H","102.1","177.02","229.9","finale a"
"Alex Louveau","K1H","103.57","176.41","247.54","finale a"
"Malo Legrand","K1H","103.74","200.99","249.58","finale a"
"Nicolas Veillard","K1H","105.06","262.92","265.42","finale a"
"Sebastien Routhier","K1H","105.24","230.06","267.58","finale a"
"Timothee Cornu","K1H","110.07","195.73","325.52","finale a"
"Thibaud Lacour","K1H","110.09","200.91","325.76","finale a"
"Lucas Augu","K1H","110.17","222.97","326.72","finale a"
"Romain Guyomard","K1H","117.68","226.74","416.82","finale a"
"Lucas Correia","K1H","132.54","256.84","595.1","finale a"
"Arthur Mizzi","K1H","143.29","189.57","724.07","finale a"
"Matheo Gillaizeau","K1H","149.93","218.51","803.74","finale a"
