"Sélectif Championnat National 2 Slalom - Inzinzac Lochrist - Qualification - 2018-03-11","Inzinzac Lochrist","Qualification","qualif","2018-03-11","Nationale 2","139"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Oceane Baylacq","C1D","134.85","325.01","403.26",""
"Laurine Naveau","C1D","138.52","188.93","440.07",""
"Laurine Salesse","C1D","144.45","376.4","499.56",""
"Lea Grison","C1D","144.77","274.55","502.77",""
"Manon Durand","C1D","149.78","290.37","553.03",""
"Camille Castryck","C1D","152.29","396.96","578.2",""
"Perrine Joubert","C1D","155.33","415.26","608.7",""
"Marion Grangeon","C1D","160.76","366.17","663.17",""
"Maxime Perron","C1H","100.95","209.19","207.86",""
"Eloi Seemann","C1H","105.52","221.36","260.25",""
"Thomas Launay","C1H","105.77","229.99","263.12",""
"Henri Chenu","C1H","105.81","237.76","263.57",""
"Benoit Chantry","C1H","106.52","244.38","271.72",""
"Faysal Ali Zazou","C1H","108.38","246.02","293.04",""
"Theo Desvignes","C1H","108.57","273.73","295.22",""
"Timothee Cornu","C1H","110.38","260.93","315.97",""
"Gaspard Perrio","C1H","110.68","307.56","319.42",""
"Terence Saramandif","C1H","112.17","276.51","336.5",""
"Melenn Aubry","C1H","113.1","333.0","347.15",""
"Johan Pucheou","C1H","113.48","202.93","351.51",""
"Solen Le Bourles","C1H","113.96","287.8","357.01",""
"Hugo Eouzan-chaffotec","C1H","114.47","335.48","362.86",""
"Gaetan Hamelin","C1H","114.79","325.83","366.53",""
"Issam Chakir","C1H","115.97","252.99","380.06",""
"Lubin Huet","C1H","117.16","315.11","393.7",""
"Nicolas Bernardy","C1H","117.33","336.81","395.65",""
"Aaron Penning","C1H","117.58","251.61","398.52",""
"Xavier Jourdain","C1H","118.44","267.65","408.38",""
"Samuel Vallienne","C1H","118.49","327.34","408.95",""
"Jules Chaumet","C1H","119.87","325.04","424.77",""
"Medhi Deguil","C1H","122.72","379.68","457.44",""
"Matheo Lebaindre","C1H","124.06","324.11","472.8",""
"Tomy Dandonneau","C1H","130.49","318.95","546.52",""
"Anthony Thuillier","C1H","132.43","341.46","568.76",""
"Chloe Gatuingt-Alize Bachelot","C2D","219.85","548.33","1086.27",""
