"Sélectif Régional Slalom (Double) - St Christophe En Oisans - Course n°1 | Finale - 2018-06-23","Course n°1 | Finale","2018-06-23","Régional","44"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Claire Landrin","C1D","265.53","409.44","1635.56","Course n°1 | Finale A"
"Benjamin Guyon","C1H","137.47","503.35","563.01","Course n°1 | Finale A"
"Olivier Barriere","C1H","222.62","413.49","1525.68","Course n°1 | Finale A"
"Anthony Menissier","C1H","344.07","501.42","2898.74","Course n°1 | Finale A"
"Oscar Pasteur","C1H","Abs","-","-","Course n°1 | Finale A"
"Anneline Triomphe","K1D","115.12","159.27","218.19","Course n°1 | Finale A"
"Claire Landrin","K1D","115.52","259.81","222.39","Course n°1 | Finale A"
"Ilona Martin -laemle","K1D","178.18","271.07","880.64","Course n°1 | Finale A"
"Chloe Faverjon","K1D","Des","-","-","Course n°1 | Finale A"
"Charlotte Grenier","K1DM","135.04","431.01","427.45","Course n°1 | Finale A"
"LoÏc Winiarski","K1H","103.59","218.97","238.54","Course n°1 | Finale A"
"Hugo Martin -laemle","K1H","107.26","331.02","282.1","Course n°1 | Finale A"
"Guilhem Viguier","K1H","107.79","314.68","288.39","Course n°1 | Finale A"
"Olivier Hardonniere","K1H","113.86","334.24","360.45","Course n°1 | Finale A"
"Nicolas Demofsqui","K1H","120.39","399.88","437.97","Course n°1 | Finale A"
"Philippe Couchoud","K1H","121.08","533.18","446.16","Course n°1 | Finale A"
"Nicolas Monzerian","K1H","121.16","457.25","447.11","Course n°1 | Finale A"
"Yves Masson","K1H","124.56","472.93","487.47","Course n°1 | Finale A"
"Alexei Evlachev","K1H","126.34","472.73","508.6","Course n°1 | Finale A"
"Jordan Agullo","K1H","130.31","523.17","555.73","Course n°1 | Finale A"
"Luca Gabelli","K1H","208.75","413.27","1486.87","Course n°1 | Finale A"
"Matthew Vuillard","K1H","264.81","412.69","2152.35","Course n°1 | Finale A"
"Benjamin Guyon","K1H","456.41","352.55","4426.81","Course n°1 | Finale A"
"Theo Brun","K1HM","125.18","410.03","494.83","Course n°1 | Finale A"
"Matis Cote","K1HM","238.09","568.4","1835.16","Course n°1 | Finale A"
"Basile Monzerian","K1HM","278.2","636.67","2311.3","Course n°1 | Finale A"
"Maxime Devis","K1HM","414.62","546.76","3930.72","Course n°1 | Finale A"
"Carine Chapuis","K1D","143.94","384.82","525.96","Course n°1 | Finale B"
"Lucie Fromentoux","K1D","359.08","437.81","2786.03","Course n°1 | Finale B"
"Aurore Durris","K1D","394.64","1320.44","3159.6","Course n°1 | Finale B"
"Remy Beal","K1H","117.39","413.37","407.35","Course n°1 | Finale B"
"Arthur Vernede","K1H","126.09","483.21","510.63","Course n°1 | Finale B"
"Clement Couchoud","K1H","127.19","330.39","523.69","Course n°1 | Finale B"
"Sebastien Chapatte","K1H","127.55","528.91","527.96","Course n°1 | Finale B"
"Jeremy Rouet","K1H","138.99","611.39","663.76","Course n°1 | Finale B"
"Florent Vallier","K1H","145.07","604.18","735.94","Course n°1 | Finale B"
"Mathieu Meilier","K1H","171.93","683.06","1054.79","Course n°1 | Finale B"
"Virgile Bessot","K1H","184.07","548.21","1198.9","Course n°1 | Finale B"
"Jean Bonnet","K1H","186.31","779.03","1225.49","Course n°1 | Finale B"
"Emmanuel Triomphe","K1H","225.39","427.14","1689.4","Course n°1 | Finale B"
"Oscar Pasteur","K1H","230.55","514.19","1750.66","Course n°1 | Finale B"
"Fatih Frederick","K1H","290.13","2470.74","2457.92","Course n°1 | Finale B"
"Arthur Blocquaux","K1HM","176.95","3436.35","1114.38","Course n°1 | Finale B"
"Quentin Meilier","K1HM","342.27","2546.76","3076.87","Course n°1 | Finale B"
