"Championnat RÈgional de Slalom - Orthez - Qualification","Orthez","Qualification","qualif","2018-07-01","RÈgional","213"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Perrine Joubert","C1D","124.56","421.3","334.57",""
"Laurine Salesse","C1D","133.22","391.33","424.0",""
"Youlia Estanguet","C1D","151.5","481.1","612.77",""
"Elorri Erdois","C1D","155.19","482.39","650.88",""
"Flora Huvelin","C1D","177.9","-","885.39",""
"Solene Lafitte","C1D","313.29","438.61","2283.52",""
"Nahia Oteiza","C1DM","148.11","455.27","577.76",""
"Galaad Pereyron","C1H","96.96","179.38","192.59",""
"Henri Chenu","C1H","102.77","233.06","261.16",""
"Anthony Roux","C1H","103.63","146.74","271.31",""
"Johan Pucheou","C1H","104.06","196.42","276.39",""
"Jerome Blanchet","C1H","106.52","137.87","305.43",""
"Tomy Dandonneau","C1H","108.23","297.94","325.6",""
"Thierry Derouineau","C1H","110.95","-","357.71",""
"Arthur Perez","C1H","111.88","381.37","368.67",""
"Adrien Roux","C1H","114.46","363.4","399.13",""
"Adrien Picco","C1H","115.03","363.56","405.85",""
"Louis Rathier","C1H","115.32","385.6","409.28",""
"Frederic Boob","C1H","115.54","381.71","411.87",""
"Dylan Renneteau","C1H","118.25","551.96","443.86",""
"Nicolas Labat","C1H","119.34","-","456.72",""
"Leo Dujourd'hui","C1H","122.76","335.25","497.08",""
"Arnaud Verrons","C1H","123.35","-","504.04",""
"Adrien Pardoux","C1H","123.72","502.4","508.42",""
"Clement Gillaizeau","C1H","124.32","470.66","515.49",""
"Christian Boob","C1H","128.01","428.89","559.04",""
"Loris Shayam Affre","C1H","129.01","465.93","570.85",""
"Adrien Mesmoudi","C1H","130.44","498.16","587.73",""
"Tom Baillon","C1H","132.03","768.97","606.49",""
"Alex Baldoni","C1H","137.05","441.12","665.73",""
"Hugo Crespo","C1H","140.01","477.27","700.67",""
"Natan Brule","C1H","141.79","378.23","721.67",""
"Theo Jeanlouis","C1H","142.69","487.14","732.29",""
"Isaac Dufrene","C1H","155.54","306.79","883.95",""
"Theo Desvignes","C1H","156.01","266.33","889.5",""
"Gaspard Trichard","C1H","157.64","628.64","908.73",""
"Marc Sarramea","C1H","157.92","293.86","912.04",""
"Lucas Deleplancque","C1H","172.5","1214.89","1084.11",""
"Adrien Favennec","C1H","212.82","939.14","1559.97",""
"Emilien Courtiade","C1HM","114.5","413.88","399.6",""
"Antton Erdois","C1HM","128.33","506.63","562.82",""
"Yon Dandonneau","C1HM","136.67","539.06","661.25",""
"Edouard Patry","C1HM","161.01","780.97","948.51",""
"Tom Babin-Arnaud Verrons","C2H","108.75","329.55","273.4",""
"Christian Boob-Frederic Boob","C2H","118.73","318.4","385.82",""
"Adrien Mesmoudi-Tomy Dandonneau","C2H","128.79","696.31","499.16",""
"Jerome Blanchet-Anthony Roux","C2H","128.87","273.6","500.07",""
"Louis Rathier-Titouan Conseil","C2H","144.24","678.93","673.21",""
