"Championnat Nationale 2 Slalom - Longeville Les Metz - Qualification - Manche 2 - 2018-07-07","Qualification - Manche 2","2018-07-07","Nationale 2","239"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Celia Grandadam","C1D","140.79","-","-",""
"Solene Lafitte","C1D","141.09","-","-",""
"Eva Dauvergne","C1D","141.75","-","-",""
"Eva Marchand","C1D","144.67","-","-",""
"Charlotte Grenier","C1D","147.88","-","-",""
"Chloe Gatuingt","C1D","165.67","-","-",""
"Lolita Seguy","C1D","265.14","-","-",""
"Romane Regnier","C1D","Des","-","-",""
"Pauline Soenen","C1D","Des","-","-",""
"Pierre Marie Roussel","C1H","95.07","-","-",""
"Adrien Fischer","C1H","95.81","-","-",""
"Benoit Chantry","C1H","96.57","-","-",""
"Aaron Penning","C1H","97.7","-","-",""
"Jules Vonderscher","C1H","98.82","-","-",""
"Marcantoine Hacquart","C1H","98.83","-","-",""
"Paul Cascarino","C1H","100.44","-","-",""
"Michael Philibert","C1H","100.74","-","-",""
"Quentin Moreaux","C1H","101","-","-",""
"Xavier Jourdain","C1H","102.15","-","-",""
"Lubin Huet","C1H","103.03","-","-",""
"Gabin Siau","C1H","103.49","-","-",""
"Tomy Dandonneau","C1H","103.79","-","-",""
"Gauthier Gonseth","C1H","103.81","-","-",""
"Glen Le Meur","C1H","104.71","-","-",""
"Matheo Lebaindre","C1H","104.82","-","-",""
"Medhi Deguil","C1H","105.23","-","-",""
"Jules Chaumet","C1H","106.09","-","-",""
"Gaspard Perrio","C1H","107.6","-","-",""
"Lucas Latimier","C1H","107.74","-","-",""
"Yvan Leblond","C1H","108.34","-","-",""
"Leo Vuitton","C1H","108.78","-","-",""
"Alexis Mercoirol","C1H","109.16","-","-",""
"Leo Dujourd'hui","C1H","109.55","-","-",""
"Fabien Tournadre","C1H","110.97","-","-",""
"Louis Rathier","C1H","111.83","-","-",""
"Samuel Vallienne","C1H","115.13","-","-",""
"Maxime Kabir","C1H","118.11","-","-",""
"Julien Fougeron","C1H","118.37","-","-",""
"Loœc Pottier","C1H","120.75","-","-",""
"Julien Beneteau","C1H","127.29","-","-",""
"Laurent Coudurier","C1H","161.91","-","-",""
"Hugo Eouzan-chaffotec","C1H","171.93","-","-",""
"Vincent Froger","C1H","260.6","-","-",""
"Robin Pottelette","C1H","Dsq","-","-",""
