"Championnat de France Slalom Masters - Bourg St Maurice - Finale - 2018-07-22","Finale","2018-07-22","Championnats de France","39"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Baptiste Delaplace","C1H","92.56","109.97","145.51",""
"Matthieu Le Gall","C1H","98.97","255.98","222.56",""
"Benoit Chantry","C1H","99.13","252.16","224.48",""
"Charly Chassigneux","C1H","102.37","148.59","263.42",""
"Xavier Jourdain","C1H","107.12","272.57","320.52",""
"Gauthier Gonseth","C1H","108.3","321.2","334.7",""
"Philippe Thevenin","C1H","108.75","306.06","340.11",""
"Vincent Hannedouche","C1H","121.4","288.15","492.16",""
"Thomas Levert","C1H","127.52","295.44","565.73",""
"Medhi Deguil","C1H","189.63","380.58","1312.27",""
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","114.45","349.77","346.09",""
"Christian Boob-Frederic Boob","C2H","115.12","376.52","353.79",""
"Jeancharles Reby-Gregory Ganthier","C2H","120.48","382.95","415.27",""
"Cedric Forgit-Martin Braud","C2H","127.77","402.27","498.93",""
"Xavier Jourdain-Francois Durand","C2H","132.39","450.58","551.93",""
"Emilie Ballan-Matthieu Walfard","C2M","","-","-",""
"Stephanie Kaczmarek-Herve Clerc","C2M","","-","-",""
"Emilie Chamouleau-Christophe Marechal","C2M","","-","-",""
"Frederic Boob-Frederique Merle","C2M","","-","-",""
"Anneline Triomphe","K1D","108.57","186.7","245.56",""
"Sophie Colbus","K1D","116.5","243.82","334.12",""
"Nagwa Lanchec El Desouki","K1D","128.62","335.44","469.49",""
"Frederique Merle","K1D","129.57","321.03","480.11",""
"Stephanie Kaczmarek","K1D","132.91","320.25","517.4",""
"Emilie Chamouleau","K1D","134.69","367.47","537.29",""
"Fanny Mino-vercellio","K1D","138.4","420.84","578.73",""
"Sylviane Quemerais","K1D","145.75","361.3","660.81",""
"Jocelyne Roupioz","K1D","289.57","617.85","2267.12",""
"Elodie Thomasset","K1D","387.3","965.4","3358.64",""
"Matthieu Le Gall","K1H","88.14","157.5","145.35",""
"Benoit Chantry","K1H","91.86","145.32","192.3",""
"Xavier Jourdain","K1H","91.91","185.38","192.93",""
"Arnaud Lapeze","K1H","92.16","492.71","196.09",""
"Johan De Mareuil","K1H","93.65","217.14","214.89",""
"Christophe Marechal","K1H","95.56","208.84","239",""
"Herve Busson","K1H","99.34","252.49","286.71",""
"Charles Edouard Dherment","K1H","101.84","230.88","318.26",""
"Damien Ganthier","K1H","102.72","282.01","329.36",""
"Vincent Hannedouche","K1H","110.24","276.71","424.27",""
