"Championnat de France Slalom Cadets, Juniors, C2D senior et C2M senior - Bourg St Maurice - Finale - 2018-07-26","Bourg St Maurice","Finale","finale","2018-07-26","Championnats de France","93"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Laurene Roisin","C1D","148.58","174.94","330.25",""
"Tifenn Primet","C1D","151.77","250.88","357.97",""
"Oceane Baylacq","C1D","153.16","306.52","370.04",""
"Charline Berger Martin","C1D","156.22","280.47","396.64",""
"Alice Evlachev","C1D","158.75","384.2","418.63",""
"Amaurie Guilleret","C1D","159.26","289.68","423.06",""
"Camille Castryck","C1D","160.65","353.39","435.13",""
"Auregane Philip","C1D","176.05","323.61","568.95",""
"Laurine Salesse","C1D","190.55","357.82","694.96",""
"Perrine Joubert","C1D","231.36","385.21","1049.58",""
"Doriane Delassus","C1D","233.53","217.48","1068.44",""
"Angele Hug","C1D","249.06","154.96","1203.39",""
"Lucille Meunier-cheyssac","C1D","311.13","338.76","1742.76",""
"Nahia Oteiza","C1D","397.06","455.27","2489.46",""
"Margaux Barbier","C1D","475.76","463.92","3173.35",""
"Elena Hugues","C1D","510.06","244.66","3471.4",""
"Solene Lafitte","C1D","530.9","438.61","3652.5",""
"Jules Bernardet","C1H","105.92","89.35","91.03",""
"Nicolas Gestin","C1H","105.95","66.86","91.34",""
"Alexis Bobon","C1H","107.81","106.42","109.8",""
"Adrien Fischer","C1H","110.23","158.81","133.84",""
"Yohann Senechault","C1H","112.97","142.67","161.04",""
"Loic Trenchant","C1H","116.29","279.07","194.02",""
"Tomy Dandonneau","C1H","117.57","281.61","206.73",""
"Hector Combes","C1H","118.13","149.19","212.3",""
"Julien Pajaud","C1H","118.84","200.09","219.34",""
"Paul Cascarino","C1H","124.47","294.14","275.26",""
"Gabin Siau","C1H","126.63","289.02","296.71",""
"Guillaume Caron","C1H","132.9","374.96","358.97",""
"Pitt Rohrer","C1H","148.69","399.31","515.79",""
"Hugo Baillet","C1H","165.37","385.56","681.43",""
"Henri Chenu","C1H","165.78","214.55","685.51",""
"Hugo Latimier","C1H","171.58","145.39","743.11",""
"Isaac Dufrene","C1H","181.7","302.8","843.62",""
"Thomas L'huillier","C1H","404.16","168.57","3052.88",""
"Etienne Wiche","C1H","423.56","332.93","3245.54",""
"Glen Le Meur","C1H","497.14","318.82","3976.27",""
