"Finale de la Coupe de France Nationale 1 Slalom - Bourg St Maurice - Finale - 2018-07-29","Bourg St Maurice","Finale","finale","2018-07-29","Nationale 1","49"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lucie Prioux","C1D","111.5","41.34","40.82",""
"Marjorie Delassus","C1D","126.19","70.69","179.84",""
"Margaux Henry","C1D","128.24","109.24","199.25",""
"Doriane Delassus","C1D","128.53","217.48","201.99",""
"Laurene Roisin","C1D","128.77","174.94","204.26",""
"Ella Bregazzi","C1D","136.29","112.02","275.43",""
"Cecile Tixier","C1D","143.51","75.52","343.76",""
"Claire Jacquet","C1D","189.06","73.21","774.82",""
"Tiphaine Duboc","C1D","263.32","172.57","1477.59",""
"Laurine Naveau","C1D","274.99","201.45","1588.03",""
"Nicolas Gestin","C1H","95.83","66.86","22.09",""
"Martin Thomas","C1H","95.99","47.06","23.82",""
"Yves Bourhis","C1H","98.29","93.46","48.69",""
"Valentin Marteil","C1H","99.0","82.39","56.37",""
"Lucas Roisin","C1H","100.13","44.4","68.59",""
"Antoine Gaillard","C1H","100.14","80.62","68.7",""
"Sebastien De Kerleau","C1H","106.6","71.22","138.57",""
"Hector Combes","C1H","110.46","126.43","180.32",""
"Theo Roisin","C1H","114.42","108.99","223.14",""
"Jules Bernardet","C1H","159.39","75.62","709.53",""
"Hugo Cailhol-Nicolas Scianimanico","C2H","105.93","129.43","79.25",""
"Marcantoine Hacquart-Emilien Kempf","C2H","129.93","211.17","327.02",""
"Hugo Mouffle-Theau Le Loch","C2H","133.29","336.09","361.71",""
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","152.49","328.48","559.93",""
"Charly Chassigneux-Fabien Tournadre","C2H","307.81","312.79","2163.45",""
"Yves Prigent-Margaux Henry","C2M","122.06","155.81","140.76",""
"Yann Rivallant-Lea Wetzel","C2M","173.64","960.66","628.89",""
"Melenn Aubry-Estelle Hellard","C2M","185.66","309.29","742.65",""
"Thibault Blaise-Julia Budzinski","C2M","199.31","438.15","871.83",""
"Marjorie Delassus","K1D","105.64","51.19","47.3",""
"Marie-zelia Lafont","K1D","107.8","33.27","69.0",""
"Romane Prigent","K1D","114.35","56.23","134.84",""
"Alixe Degremont","K1D","116.14","97.69","152.82",""
"Lisa Mouffle","K1D","116.46","88.6","156.04",""
"Fanchon Janssen","K1D","120.03","98.38","191.91",""
"Angele Hug","K1D","121.92","95.35","210.91",""
"Solene Graille","K1D","124.28","94.83","234.62",""
"Lucie Prioux","K1D","170.07","66.34","694.81",""
"Cecile Tixier","K1D","183.32","144.25","827.97",""
"Yves Prigent","K1H","93.45","35.32","46.88",""
"Mathieu Biazizzo","K1H","93.93","30.34","52.33",""
"Benjamin Jacon","K1H","95.32","67.89","68.12",""
"Pierre Bourliaud","K1H","99.12","46.54","111.27",""
"Pierre Grapotte","K1H","100.46","89.46","126.49",""
"Loic Bertoia","K1H","103.66","86.68","162.83",""
"Thomas Durand","K1H","151.13","47.14","701.92",""
"Pierre Giudicelli","K1H","199.49","58.39","1251.11",""
"Edgar Prigent","K1H","205.21","55.9","1316.07",""
"Isaac Dufrene","K1H","308.46","73.05","2488.62",""
