"SÈlectif RÈgional Slalom (Double) - Montreuil - Course n∞2 | Qualification - 2018-09-30","Course n∞2 | Qualification","2018-09-30","RÈgional","228"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Tiphaine Duboc","C1D","104.33","172.57","192.21",""
"Emilie Delahaye","C1D","118.42","425.44","348.81",""
"Anais Bernardy","C1D","120.85","405.55","375.82",""
"Eva Marchand","C1D","127.12","456.92","445.51",""
"Camille De Araujo","C1D","136.63","599.78","551.21",""
"Lou Boisnard","C1D","138.23","456.93","569",""
"Chloe Gatuingt","C1D","143.07","467.96","622.79",""
"Leontine Dubuisson","C1D","145.62","671.38","651.13",""
"Clemence Douche","C1D","147.61","574.37","673.24",""
"Elise Vegnaduzzo","C1D","148.29","-","680.81",""
"Charline Dole","C1D","154.62","768.66","751.16",""
"Alexia Evrard","C1D","177","2039.61","999.91",""
"Romane Regnier","C1DM","125.15","444.01","423.62",""
"Elise Masseline","C1DM","140.42","685.84","593.34",""
"Clara Delahaye","C1DM","143.88","538.58","631.79",""
"Pauline Lybrecht","C1DM","145.29","798","647.46",""
"Lisa Manach","C1DM","154.7","884.1","752.06",""
"Solene Douche","C1DM","165.77","1095.06","875.09",""
"Nicolas Ducrocq","C1H","93.4","158.78","219.03",""
"Michael Philibert","C1H","94.65","240.05","234.91",""
"Thibaud Vielliard","C1H","96.18","129.56","254.34",""
"Gaspard Perrio","C1H","96.21","244.57","254.72",""
"Charles Dampeyrou","C1H","97.49","326.85","270.98",""
"Corentin Oulhen","C1H","97.64","102.73","272.89",""
"Hugo Robin","C1H","98.31","359.88","281.4",""
"Gwenole Noyalet","C1H","99.37","376.89","294.86",""
"Glen Le Meur","C1H","100.13","314.36","304.52",""
"Timothee Cornu","C1H","101.54","227.87","322.43",""
"Mewen Debliquy","C1H","102.87","315.9","339.32",""
"Hugo Baillet","C1H","105.6","380.97","373.99",""
"Edern Le Ruyet","C1H","105.89","66.68","377.69",""
"Nicolas Bernardy","C1H","107.78","345.37","401.69",""
"Yvan Leblond","C1H","109.5","324.44","423.54",""
"Thomas Durand","C1H","110.48","425.2","435.98",""
"Pierrick Gosselin","C1H","111.6","-","450.22",""
"Olivier Gesbert","C1H","111.87","418.98","453.64",""
"Francois Durand","C1H","112.13","501.09","456.94",""
"Fabien Bonvalet","C1H","112.89","457.67","466.59",""
"Louis Marescot","C1H","112.97","533","467.61",""
"Quentin Angot","C1H","113.55","468.72","474.98",""
"Nicolas Feuillard","C1H","118.01","417.87","531.63",""
"Robin Dheilly","C1H","118.97","475.81","543.83",""
"Baptiste Duboc","C1H","122.28","594.07","585.87",""
"Louis Debureaux","C1H","126.11","1301.62","634.53",""
"Melvin Queudeville","C1H","126.53","2034.66","639.86",""
"Jeremy Huguenin","C1H","126.87","616.79","644.18",""
"Paul Lecomte","C1H","127.9","689.34","657.27",""
"Samuel Bonvalet","C1H","131.44","666.58","702.23",""
"Thibaut Evrard","C1H","134.85","707.7","745.55",""
"Sebastien Masseline","C1H","136.98","771.17","772.6",""
"Alan Le Goff","C1H","137.51","-","779.33",""
"Maxence Galy","C1H","165.13","949.21","1130.17",""
"Julien Mizzi","C1H","201.57","396.48","1593.04",""
"Vincent Hannedouche","C1H","Nt","-","-",""
"Noe Perreau","C1H","Nt","-","-",""
"Hugo Tellier","C1HM","111.71","564.35","451.6",""
"Loic Dufour","C1HM","132.52","622.11","715.95",""
"Nathan Huguenin","C1HM","135.89","693.88","758.75",""
"Gabin Louchez","C1HM","171.4","717.33","1209.81",""
"Louis Marvillet","C1HM","Nt","-","-",""
"Lisa Bou…-Charline Dole","C2D","Nt","-","-",""
"Thibaud Vielliard-Nicolas Ducrocq","C2H","108.66","309.3","350.13",""
"Hugo Regnier-Arthur Mizzi","C2H","110.62","299.17","373.9",""
"Michael Philibert-Gaspard Perrio","C2H","124.52","362.72","542.43",""
"Bertrand Avril-Nicolas Dupres","C2H","129.68","560.67","605",""
"Pierrick Gosselin-Florian Gosselin","C2H","132.33","-","637.13",""
"Yvan Leblond-Hugo Baillet","C2H","132.54","677.21","639.67",""
"Tom Marchand-Romain Margerie","C2HM","129.34","624.72","600.88",""
"Cosme Duboc-Florian Jumetz","C2HM","147.13","893.91","816.58",""
"Thibaud Vielliard-Tiphaine Duboc","C2M","116.93","317.45","332.25",""
"Bertrand Avril-Chloe Gatuingt","C2M","125.67","400.26","429.4",""
"Quentin Angot-Leontine Dubuisson","C2M","149.88","638.75","698.48",""
"Delphine Brunet-Samuel Bonvalet","C2M","167.72","773.23","896.77",""
"Clara Delahaye-Leni Perreau","C2MM","139.35","921.79","581.44",""
"Pauline Lybrecht-Hugo Tellier","C2MM","160.86","1031.15","820.52",""
"Louis Marvillet-Lisa Manach","C2MM","175.03","1045.58","978.01",""
