"SÈlectif RÈgional de Slalom - Jarnac - Finale - 2018-09-30","Jarnac","Finale","finale","2018-09-30","RÈgional","227"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Charline Berger Martin","C1D","124.74","280.47","333.51","finale a"
"Perrine Joubert","C1D","131.38","385.21","403.81","finale a"
"Solene Lafitte","C1D","135.06","438.61","442.77","finale a"
"Emilie Chamouleau","C1D","141.08","493.2","506.51","finale a"
"Alexia Bechu","C1D","146.34","814.81","562.19","finale a"
"Alice Bureau","C1D","172.07","1054.12","834.6","finale a"
"Ana Thoraux","C1DM","152.75","1727.53","630.06","finale a"
"Melody Gireaud","C1DM","162.71","753.66","735.51","finale a"
"Margot Zaninotto","C1DM","165.79","778.25","768.11","finale a"
"Oceane Sedrue","C1DM","165.84","839.22","768.64","finale a"
"Charlie Barloy","C1DM","198.53","1173.19","1114.73","finale a"
"Faysal Ali Zazou","C1H","102.69","239.4","255.38","finale a"
"Anthony Roux","C1H","103.87","148.5","269.66","finale a"
"Henri Chenu","C1H","106.09","214.55","296.52","finale a"
"Thierry Derouineau","C1H","108.95","335.04","331.12","finale a"
"Adrien Roux","C1H","110.26","347.43","346.98","finale a"
"Christophe Marechal","C1H","112.82","378.34","377.95","finale a"
"Gurgen Brun","C1H","114.29","285.74","395.74","finale a"
"Charley Sannier Durand","C1H","114.53","586.81","398.63","finale a"
"Tanguy Zaninotto","C1H","115.14","420.29","406.02","finale a"
"Louis Rathier","C1H","115.47","368.34","410.01","finale a"
"Valentin Courtiade","C1H","115.56","362.54","411.1","finale a"
"Frederic Boob","C1H","116.51","426.43","422.6","finale a"
"Dylan Renneteau","C1H","116.51","508.44","422.6","finale a"
"Dylan Sourbe","C1H","117.79","443.38","438.08","finale a"
"Clement Gillaizeau","C1H","119.22","432.16","455.39","finale a"
"Julien Beneteau","C1H","119.95","425.8","464.22","finale a"
"Christian Boob","C1H","120.68","501.55","473.04","finale a"
"Theo Jeanlouis","C1H","121.33","462.64","480.91","finale a"
"Adrien Ricaud","C1H","125.82","614.1","535.25","finale a"
"Clement Brotier","C1HM","117.53","626.92","434.93","finale a"
"Emilien Courtiade","C1HM","118.19","391.21","442.92","finale a"
"Edouard Patry","C1HM","138.94","662.61","693.99","finale a"
"Matt…o Rainaud","C1HM","139.78","812.92","704.15","finale a"
"Emeric Nieser","C1HM","141.07","897.15","719.75","finale a"
"Cerise Babin-Juliette Derouineau","C2D","156.94","646.5","546.6","finale a"
"Margot Zaninotto-Oceane Sedrue","C2DM","191.9","913.77","888.25","finale a"
"Christian Boob-Frederic Boob","C2H","121.73","352.7","418.81","finale a"
"Adrien Roux-Guillaume Lopes","C2H","130.62","633.8","521.47","finale a"
"Adrien Ricaud-Dylan Renneteau","C2H","130.91","526.67","524.83","finale a"
"Clement Riera-Maxime Blondeau","C2H","136.36","973.75","587.78","finale a"
"Louis Rathier-Titouan Conseil","C2H","138.88","610.4","616.88","finale a"
