"Coupe d'Automne - Yenne - Demi-finale - 2018-10-21","Yenne","Demi-finale","demi","2018-10-21","Nationale 1","102"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Fanchon Janssen","C1D","127.08","96.7","237.64",""
"Angele Hug","C1D","132.9","149.35","289.11",""
"Emma Vuitton","C1D","134.77","252.99","305.64",""
"Tiphaine Duboc","C1D","135.73","171.63","314.13",""
"Tifenn Primet","C1D","139.65","253.17","348.8",""
"Julia Budzinski","C1D","153.27","233.04","469.25",""
"Camille Castryck","C1D","158.33","355.72","514.0",""
"Lucille Meunier-cheyssac","C1D","158.46","331.06","515.15",""
"Perrine Joubert","C1D","171.5","385.21","630.47",""
"Charline Berger Martin","C1D","182.69","264.44","729.43",""
"Anne-lise Moisan-ehrwein","C1D","185.79","197.75","756.84",""
"Azenor Philip","C1D","233.19","194.26","1176.02",""
"Amaurie Guilleret","C1D","260.5","264.15","1417.53",""
"Auregane Philip","C1D","282.59","326.4","1612.89",""
"Elena Hugues","C1D","402.55","261.43","2673.74",""
"Laurene Roisin","C1D","412.91","174.94","2765.37",""
"Jules Bernardet","C1H","94.33","75.62","67.19",""
"Lucas Roisin","C1H","97.38","44.4","98.01",""
"Sebastien De Kerleau","C1H","97.88","71.22","103.07",""
"Baptiste Delaplace","C1H","99.62","109.11","120.65",""
"Nicolas Peschier","C1H","99.72","74.23","121.66",""
"Valentin Marteil","C1H","100.28","74.64","127.32",""
"Adrien Fischer","C1H","101.54","146.06","140.06",""
"Emilien Kempf","C1H","101.82","109.47","142.89",""
"Nicolas Gestin","C1H","101.93","52.96","144.0",""
"Gireg Hamoniaux","C1H","103.66","140.69","161.48",""
"Yohann Senechault","C1H","104.98","142.67","174.82",""
"Yann Rivallant","C1H","105.42","138.96","179.27",""
"Jean Pierre Bourhis","C1H","107.3","155.47","198.27",""
"Alexis Bobon","C1H","108.04","95.62","205.75",""
"Nicolas Ducrocq","C1H","109.41","158.78","219.6",""
"Gaspard Perrio","C1H","110.85","235.65","234.15",""
"Corentin Oulhen","C1H","112.73","102.73","253.15",""
"Thomas Rosset","C1H","125.08","165.85","377.97",""
"Hector Combes","C1H","125.94","126.43","386.66",""
"Hugo Regnier-Arthur Mizzi","C2H","132.7","305.81","394.02",""
"Michael Philibert-Gaspard Perrio","C2H","141.88","351.94","482.59",""
"Louis Rathier-Titouan Conseil","C2H","168.11","610.4","735.63",""
"Nicolas Detheve-Nil Georgel","C2H","192.2","370.79","968.04",""
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","248.23","328.6","1508.59",""
"Tom Babin-Arnaud Verrons","C2H","248.28","308.98","1509.07",""
"Rafael Lerusse-Glen Le Meur","C2H","315.24","502.43","2155.06",""
"Flora Huvelin","K1D","102.91","65.95","80.27",""
"Lea Turmeau","K1D","105.6","52.77","105.53",""
"Fanchon Janssen","K1D","108.44","96.67","132.2",""
"Coline Charel","K1D","108.78","151.91","135.39",""
"Emma Vuitton","K1D","109.39","105.2","141.12",""
"Carole Bouzidi","K1D","110.22","32.03","148.92",""
"Lea Wetzel","K1D","110.95","171.14","155.77",""
"Angele Hug","K1D","114.73","93.65","191.27",""
"Laurene Roisin","K1D","115.99","202.22","203.11",""
"Charline Berger Martin","K1D","116.07","190.39","203.86",""
"Viviana Daille","K1D","116.22","144.06","205.27",""
"Eva Pietracha","K1D","116.88","165.92","211.47",""
"Alixe Degremont","K1D","118.86","97.69","230.06",""
"Marine Leveque","K1D","122.07","166.35","260.21",""
"Clemence Lartigue","K1D","124.2","218.8","280.21",""
"Tiphaine Duboc","K1D","124.93","163.28","287.07",""
"Lisa Mouffle","K1D","133.66","88.6","369.05",""
"Berenice Kolenc","K1D","157.95","54.54","597.17",""
"Solene Graille","K1D","215.09","94.83","1133.78",""
"Romane Prigent","K1D","219.39","56.23","1174.16",""
"Simon Hene","K1H","88.41","57.31","52.03",""
"Malo Quemeneur","K1H","88.42","31.12","52.14",""
"Etienne Daille","K1H","88.94","39.12","57.66",""
"Maxime Bottex","K1H","89.02","88.95","58.5",""
"Pierre Bourliaud","K1H","89.54","46.54","64.02",""
"Lucas Latimier","K1H","90.11","91.32","70.07",""
"Jonas Turmeau","K1H","90.52","97.24","74.42",""
"Benjamin Travostino","K1H","91.06","96.69","80.15",""
"Titouan Dupras","K1H","91.33","79.44","83.02",""
"Pierre Grapotte","K1H","91.8","92.43","88.01",""
"Sami Rocher","K1H","92.85","73.66","99.15",""
"Louison Turmeau","K1H","94.05","125.82","111.88",""
"Florian Busson","K1H","94.42","128.78","115.81",""
"Hugo Regnier","K1H","94.56","79.65","117.3",""
"Paul Cornut-chauvinc","K1H","94.88","90.82","120.69",""
"Noe Perreau","K1H","95.15","165.36","123.56",""
"Jean Charles Hacquart","K1H","95.32","150.11","125.36",""
"Thomas Rosset","K1H","96.81","76.41","141.17",""
"Raphael Olla","K1H","96.85","153.01","141.6",""
"Pierre Marie Roussel","K1H","97.52","139.46","148.71",""
"Pierre Giudicelli","K1H","98.57","58.39","159.85",""
"Arnaud Verrons","K1H","98.81","170.88","162.4",""
