"48Ëme Grand Prix de Pau Slalom - 64320 Bizanos - Course n∞2 | Finale","64320 Bizanos","Course n∞2 | Finale","finale","2018-10-28","RÈgional","304"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Cecile Tixier","C1D","96.06","75.52","68.57","finale a"
"Marjorie Delassus","C1D","98.69","70.69","97.15","finale a"
"Doriane Delassus","C1D","105.51","207.4","171.24","finale a"
"Emma Vuitton","C1D","111.15","234.11","232.51","finale a"
"Laura Pellicer","C1D","112.21","248.13","244.03","finale a"
"Tifenn Primet","C1D","131.1","254.06","449.25","finale a"
"Anne-lise Moisan-ehrwein","C1D","162.76","212.64","793.21","finale a"
"Julia Budzinski","C1D","221.13","232.3","1427.35","finale a"
"Romane Regnier","C1DM","177.54","435.07","953.78","finale a"
"Nicolas Scianimanico","C1H","88.05","97.94","118.21","finale a"
"Pierre Antoine Tillard","C1H","88.79","48.12","127.4","finale a"
"Liam Jegou","C1H","89.44","86.81","135.47","finale a"
"Hector Combes","C1H","89.93","126.43","141.55","finale a"
"Valentin Marteil","C1H","90.07","74.64","143.29","finale a"
"Nathan Hossin","C1H","91.45","133.75","160.42","finale a"
"Kilian Foulon","C1H","91.48","61.18","160.8","finale a"
"Johan Pucheou","C1H","92.45","195.09","172.84","finale a"
"Nicolas Gestin","C1H","93.05","52.96","180.29","finale a"
"Thomas Rosset","C1H","93.79","168.17","189.48","finale a"
"Loic Trenchant","C1H","95.14","207.93","206.24","finale a"
"Alexandre Ghirardi","C1H","95.7","230.2","213.19","finale a"
"Alexis Bobon","C1H","96.08","95.62","217.91","finale a"
"Thibault Blaise","C1H","96.51","89.76","223.25","finale a"
"Hugo Latimier","C1H","96.6","145.4","224.37","finale a"
"Valentin Courtiade","C1H","97.72","231.81","238.27","finale a"
"Julien Pajaud","C1H","99.36","200.09","258.64","finale a"
"Corentin Oulhen","C1H","100.63","99.66","274.4","finale a"
"Marc Sarramea","C1H","101.16","221.87","280.98","finale a"
"Anthony Roux","C1H","101.27","148.5","282.35","finale a"
"Galaad Pereyron","C1H","102.65","188.88","299.48","finale a"
"Marvin Tulpin","C1H","103.25","195.44","306.93","finale a"
"Gaspard Perrio","C1H","103.87","231.44","314.63","finale a"
"Maxime Kabir","C1H","104.94","324.27","327.92","finale a"
"Hugo Eouzan-chaffotec","C1H","105.23","326.02","331.52","finale a"
"Yohann Senechault","C1H","107.12","140.5","354.98","finale a"
"Yann Rivallant","C1H","141.43","138.4","780.98","finale a"
"Emilien Courtiade","C1HM","114.82","368.54","450.58","finale a"
"Maxime Forcadette","C1HM","122.4","493.34","544.7","finale a"
"Antton Erdois","C1HM","123.61","446.42","559.73","finale a"
"Emeric Nieser","C1HM","135.42","621.0","706.36","finale a"
"Clement Brotier","C1HM","185.51","537.36","1328.28","finale a"
"Thomas Rosset-Nicolas Scianimanico","C2H","109.28","295.81","320.13","finale a"
"Romain Branjauneau-Samuel Vallienne","C2H","110.05","405.27","329.25","finale a"
"Hugo Mouffle-Theau Le Loch","C2H","112.75","335.13","361.25","finale a"
"Florian Busson-Alex Louveau","C2H","122.24","333.52","473.72","finale a"
"Pauline Guiet","K1D","92.24","46.48","89.15","finale a"
"Carole Bouzidi","K1D","92.82","32.03","95.84","finale a"
"Berenice Kolenc","K1D","93.73","54.54","106.34","finale a"
"Emma Vuitton","K1D","96.08","105.2","133.45","finale a"
"Romane Prigent","K1D","96.25","56.23","135.41","finale a"
"Alixe Degremont","K1D","96.86","97.69","142.45","finale a"
"Marjorie Delassus","K1D","99.48","47.45","172.68","finale a"
"Doriane Delassus","K1D","99.68","143.04","174.99","finale a"
"Cecile Tixier","K1D","100.14","139.76","180.29","finale a"
"Viviana Daille","K1D","100.81","143.92","188.02","finale a"
"Coline Charel","K1D","103.95","125.95","224.25","finale a"
"Flora Huvelin","K1D","104.07","63.89","225.63","finale a"
"Charline Berger Martin","K1D","105.38","166.21","240.75","finale a"
"Lisa Mouffle","K1D","107.91","88.6","269.94","finale a"
"Camille Castryck","K1D","111.2","301.41","307.9","finale a"
"Clara Grangeon","K1D","126.73","374.9","487.06","finale a"
"Laurine Salesse","K1D","184.73","238.07","1156.22","finale a"
"Elena Hugues","K1D","219.14","346.09","1553.21","finale a"
"Cerise Babin","K1DM","138.45","354.75","622.28","finale a"
"Romane Regnier","K1DM","167.05","323.77","952.25","finale a"
"Anatole Delassus","K1H","82.55","61.24","101.17","finale a"
"Pierre-louis Saussereau","K1H","82.55","97.51","101.17","finale a"
"Mathieu Biazizzo","K1H","82.69","30.34","102.99","finale a"
"Sami Rocher","K1H","82.85","73.66","105.08","finale a"
"Malo Quemeneur","K1H","83.11","25.08","108.47","finale a"
"Edgar Prigent","K1H","83.25","59.4","110.29","finale a"
"Quentin Burgi","K1H","83.35","35.82","111.6","finale a"
"Martin Dougoud","K1H","83.52","36.22","113.81","finale a"
"Paul Cornut-chauvinc","K1H","83.95","90.82","119.42","finale a"
"Julien Pajaud","K1H","84.0","67.05","120.07","finale a"
"Benjamin Jacon","K1H","84.13","66.75","121.77","finale a"
"Etienne Daille","K1H","84.36","39.12","124.76","finale a"
"Thomas Bersinger","K1H","84.53","54.15","126.98","finale a"
"Yves Prigent","K1H","84.54","36.15","127.11","finale a"
"Hippolyte Cail","K1H","85.37","134.23","137.93","finale a"
"Tom Babin","K1H","86.16","154.03","148.23","finale a"
"Florian Busson","K1H","86.21","128.16","148.88","finale a"
"Thomas Rosset","K1H","86.28","76.41","149.79","finale a"
