"Sélectif Régional de Slalom - 70110 Villersexel - Qualifications - 2018-11-04","Qualifications","2018-11-04","Régional","46"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Melyne Jost","C1D","126.71","740.73","549.69",""
"Loann Delle Dananchet","C1H","107.32","408.1","503.69",""
"Olivier Urbain","C1H","108.03","485.33","512.88",""
"Dyclan Plessis","C1H","112.39","463.88","569.36",""
"Christophe Billaud","C1H","116.93","747.97","628.18",""
"Oscar Pasteur","C1H","130.16","819.6","799.57",""
"Anthony Menissier","C1H","162.31","482.02","1216.06",""
"Arnaud Caillet","C1HM","111.73","552.76","560.82",""
"Maxime Devis","C1HM","116.68","629.65","624.94",""
"Morgane Paulet-Gaelle Aumer","C2D","154.44","-","729.35",""
"Arnaud Caillet-Maxence Raymond","C2HM","130.1","-","722.18",""
"Gaelle Aumer-Olivier Urbain","C2M","122.2","510.56","498.56",""
"Sandra Carisey-Alexis Caspar","C2M","135","-","643.66",""
"Pauline Clerc","K1D","112.89","412.84","472.3",""
"Morgane Paulet","K1D","120.63","556.85","565.47",""
"Melyne Jost","K1D","122.33","435.42","585.94",""
"Sandra Carisey","K1D","134.04","-","726.89",""
"CÉleste Colin","K1D","137.65","-","770.35",""
"Audrey Masson","K1D","Abs","-","-",""
"Sarah Rothenbuhler","K1D","Abs","-","-",""
"Jules Bevalot","K1H","91.01","183.84","351.34",""
"Loic Thielen","K1H","96.96","302.63","432.28",""
"Alexis Pacholak","K1H","97.08","262.3","433.91",""
"Matthew Vuillard","K1H","97.38","385.67","437.99",""
"Olivier Urbain","K1H","99.47","366.91","466.42",""
"Christophe Billaud","K1H","100.39","469.15","478.93",""
"Dyclan Plessis","K1H","101.48","355.43","493.76",""
"Loann Delle Dananchet","K1H","102.73","449.47","510.76",""
"Eddy Cassard","K1H","103.16","430.96","516.61",""
"Jean Guyot","K1H","107.75","638.24","579.05",""
"Oscar Pasteur","K1H","108.55","507.97","589.93",""
"Frederic Caillet","K1H","109.72","1094.38","605.84",""
"Anthony Menissier","K1H","110.26","548.11","613.19",""
"Timothee Foltz","K1H","117.43","-","710.72",""
"Edy Gasser","K1H","126.56","-","834.91",""
"Guillaume Louis","K1H","131.98","-","908.63",""
"Philippe Thevenin","K1H","Abs","-","-",""
"Jonathan Ferreira","K1H","Abs","-","-",""
"Luca Gabelli","K1H","Abs","-","-",""
"Kevin Vienny","K1H","Abs","-","-",""
"Arnaud Caillet","K1HM","107.68","492.47","578.09",""
"Maxime Devis","K1HM","108.85","482.2","594.01",""
"Maxence Raymond","K1HM","110.68","649.78","618.9",""
"Aloys Morel","K1HM","114.71","838.26","673.72",""
"Nolan Lequesne","K1HM","125.69","1459.78","823.07",""
"Fabien Hantz","OUV","110.25","-","613.05",""
