"Sélectif Régional Slalom (Double) - 09000 Foix - Course n°2 | Qualification - 2018-11-04","09000 Foix","Course n°2 | Qualification","qualif","2018-11-04","Régional","164"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lucie Prioux","C1D","111.58","35.01","148.0",""
"Ella Bregazzi","C1D","116.48","112.02","198.26",""
"Angele Hug","C1D","116.64","149.35","199.9",""
"Emma Vuitton","C1D","117.42","227.66","207.9",""
"Charline Berger Martin","C1D","125.6","257.73","291.79",""
"Elorri Erdois","C1D","131.98","432.95","357.22",""
"Margot Beziat","C1D","133.28","377.5","370.56",""
"Nahia Oteiza","C1DM","196.19","423.12","1015.76",""
"Luc Sarramea","C1H","96.72","103.17","137.31",""
"Jules Bernardet","C1H","97.27","71.64","143.75",""
"Yann Rivallant","C1H","100.5","138.4","181.61",""
"Kilian Foulon","C1H","101.23","61.18","190.17",""
"Lucas Roisin","C1H","101.49","44.4","193.21",""
"Nathan Hossin","C1H","102.51","133.75","205.17",""
"Theo Roisin","C1H","102.71","108.99","207.51",""
"Marc Sarramea","C1H","104.6","221.87","229.67",""
"Pierre Gelle","C1H","106.51","366.93","252.05",""
"Dominik Gosset","C1H","108.01","322.58","269.64",""
"Henri Chenu","C1H","108.23","225.5","272.21",""
"Baptiste Tappero","C1H","109.34","704.69","285.22",""
"Leo Vuitton","C1H","109.36","302.42","285.46",""
"Joris Santoro","C1H","109.51","345.22","287.22",""
"Hugo Cailhol","C1H","110.47","251.49","298.48",""
"Terence Saramandif","C1H","111.5","324.65","310.54",""
"Thomas Rosset","C1H","111.9","167.98","315.23",""
"Robin Andre","C1H","118.06","451.14","387.43",""
"Theau Le Loch","C1H","118.3","358.38","390.25",""
"Benoit Pacteau","C1H","119.4","365.04","403.14",""
"Hugues Lesimple","C1H","120.36","467.57","414.4",""
"Gaspard Trichard","C1H","124.9","615.72","467.6",""
"Baptiste Saul","C1H","125.76","483.79","477.68",""
"Karl Bouthegourd","C1H","126.32","384.48","484.25",""
"Valentin Jossemit","C1H","128.15","839.83","505.7",""
"Pierre Fillinger","C1H","129.08","578.73","516.6",""
"Arthur Cousty","C1H","141.04","456.04","656.79",""
"Hugo Crespo","C1H","141.52","419.93","662.41",""
"Clement Serres","C1H","145.18","877.56","705.31",""
"Loic Leymonerie","C1H","146.39","1012.84","719.49",""
"Antton Erdois","C1HM","123.84","443.31","455.18",""
"Nathan Pasiak","C1HM","141.23","628.01","659.01",""
"Baptiste Tappero-Dimitri Durannot","C2H","119.07","395.54","335.83",""
"Benjamin Reig-Cyril Boulet","C2H","122.29","292.72","371.86",""
"Nicolas Baudoin-Benjamin Jacon","C2H","122.47","413.79","373.87",""
"Mathys Michel-Nathan Pasiak","C2HM","272.48","1385.69","2052.23",""
"Benjamin Jacon-Lucie Prioux","C2M","121.93","372.84","254.15",""
"Angele Hug","K1D","104.18","96.25","138.3",""
"Solene Graille","K1D","105.18","94.83","149.19",""
"Emma Vuitton","K1D","105.45","105.2","152.13",""
"Charline Berger Martin","K1D","105.92","166.21","157.25",""
"Viviana Daille","K1D","106.01","143.92","158.23",""
"Clemence Lartigue","K1D","106.2","205.28","160.3",""
"Joey Bercon","K1D","106.39","161.67","162.36",""
"Lucie Prioux","K1D","107.85","66.34","178.27",""
"Lise Denat","K1D","113.54","345.71","240.24",""
"Marine Izac","K1D","113.8","363.04","243.07",""
"Elorri Erdois","K1D","115.6","324.85","262.68",""
"Margot Beziat","K1D","115.89","477.18","265.84",""
"Florianne Gautier","K1D","117.73","302.78","285.87",""
"Maeva Bachelot","K1D","123.17","367.84","345.12",""
"Amelie Leclercq","K1D","127.69","422.25","394.35",""
"Alice Bureau","K1D","133.67","547.25","459.48",""
"Pauline Rouilhet","K1D","142.62","604.73","556.95",""
"Nahia Oteiza","K1DM","124.49","323.4","359.5",""
"Thomas Durand","K1H","88.99","47.14","98.85",""
"Benjamin Jacon","K1H","89.26","66.75","102.18",""
"Antoine Launay","K1H","91.25","90.69","126.67",""
"Pierre Giudicelli","K1H","92.5","71.74","142.05",""
"Thomas Rosset","K1H","92.54","76.41","142.55",""
"Gurgen Brun","K1H","94.27","80.72","163.84",""
"Leo Vuitton","K1H","94.34","143.98","164.7",""
"Nicolas Baudoin","K1H","94.66","72.69","168.64",""
"Theo Desvignes","K1H","94.93","83.49","171.96",""
"Hugo Cailhol","K1H","95.48","60.18","178.73",""
"Olivier Cail","K1H","95.82","172.48","182.91",""
"Elliot Perez","K1H","95.87","229.96","183.53",""
"Zeph Scamps","K1H","96.07","166.01","185.99",""
"Raphael Lassechere","K1H","96.49","121.54","191.16",""
"Lucas Augu","K1H","96.84","189.15","195.47",""
"Hippolyte Cail","K1H","96.85","134.18","195.59",""
"Paul Cornut-chauvinc","K1H","97.09","90.82","198.54",""
"Tom Bouchardon","K1H","97.65","149.54","205.43",""
"Jeremie Palazy","K1H","97.66","148.44","205.56",""
"Gawaine Chikh","K1H","97.89","215.53","208.39",""
"Luc Sarramea","K1H","98.43","187.76","215.03",""
"Damien Laborde","K1H","98.46","209.97","215.4",""
"Romain Chabrol","K1H","100.17","247.3","236.45",""
"Felix Praderie","K1H","100.37","250.18","238.91",""
"Edouard Chenal","K1H","100.44","257.66","239.77",""
"Antoine Laye","K1H","101.15","255.24","248.51",""
"Marc Sarramea","K1H","101.58","225.47","253.8",""
"Fabien Paleau","K1H","101.82","310.73","256.76",""
"Nour Ait Kaddour","K1H","102.05","263.0","259.59",""
"Luc Doye","K1H","102.05","215.9","259.59",""
"Virgile Pigache-donnet","K1H","102.09","227.63","260.08",""
"Cyprien Cail","K1H","102.52","257.07","265.37",""
"Dimitri Durannot","K1H","102.81","293.69","268.94",""
"Jules Bernardet","K1H","103.12","229.92","272.75",""
"Guilhem Viguier","K1H","103.6","297.73","278.66",""
"Bertrand Bercon","K1H","103.77","327.24","280.75",""
"Arthur Cousty","K1H","103.9","360.72","282.35",""
"Theo Ducasse","K1H","104.09","265.21","284.69",""
"Karl Bouthegourd","K1H","104.23","298.92","286.42",""
"Alexis Dorey","K1H","105.23","289.45","298.72",""
"Yannis Dast","K1H","105.23","341.31","298.72",""
"Gregoire Pouille","K1H","105.53","528.73","302.42",""
"Esteban Illido","K1H","105.76","276.05","305.25",""
"Fantin Delage-garez","K1H","105.87","324.09","306.6",""
"Valentin Berland","K1H","105.9","301.95","306.97",""
"Alexandre Medge","K1H","106.0","478.37","308.2",""
"Titouan Conseil","K1H","106.29","434.17","311.77",""
"Etienne Saint Picq","K1H","106.35","313.15","312.51",""
"Pablo Chaminade","K1H","107.48","302.62","326.41",""
"Jean Christophe Erdois","K1H","107.89","360.04","331.46",""
"Hugo Crespo","K1H","108.23","292.53","335.64",""
"Theo Douady","K1H","108.61","322.15","340.32",""
"Quentin Clerc","K1H","108.69","316.92","341.31",""
"Victor Lagleyze","K1H","109.28","354.79","348.57",""
"Clement Caillard","K1H","109.48","342.01","351.03",""
"Nicolas Saurat","K1H","109.71","305.47","353.86",""
"Quentin Bonniol","K1H","109.89","351.29","356.07",""
"Theau Le Loch","K1H","110.01","301.36","357.55",""
"Antoine Saul","K1H","111.19","229.54","372.07",""
"Tonin Desmet","K1H","112.55","468.64","388.81",""
"Frederic Reus","K1H","112.91","413.45","393.24",""
"Romain Brouard","K1H","113.67","511.4","402.6",""
"Remi Dolcin Tillant","K1H","113.86","494.23","404.93",""
"Robin Andre","K1H","114.51","341.43","412.93",""
"Erwan Quellec","K1H","115.16","371.86","420.93",""
"Gabriel Saul","K1H","115.54","429.61","425.61",""
"Lohan Wyon","K1H","116.08","500.93","432.26",""
"Pierre Escuret","K1H","116.4","520.2","436.19",""
"Simon Tourtois","K1H","116.52","498.67","437.67",""
"Tom Charles","K1H","117.25","452.41","446.65",""
"Valentin Affortit","K1H","117.39","493.13","448.38",""
"Baptiste San Nicolas","K1H","118.09","458.36","456.99",""
"Loic Leymonerie","K1H","119.79","512.97","477.92",""
"Marin Saint Macary","K1H","121.61","442.13","500.31",""
"Pierrick Bresson","K1H","123.87","481.6","528.13",""
"Nicolas Neveu","K1H","125.51","603.19","548.31",""
"Damien Caillard","K1H","127.07","710.63","567.51",""
"Baptiste Moret","K1H","127.1","526.79","567.88",""
"Benoit Sergent","K1H","129.57","427.21","598.28",""
"Sylvain Lauth","K1H","134.44","642.06","658.21",""
"Clement Serres","K1H","139.8","916.68","724.18",""
"Jules Maitre","K1H","140.92","869.9","737.97",""
"Mateo Destruel","K1H","141.18","675.41","741.17",""
"Tom Deconchy","K1H","143.78","137.6","773.16",""
"Thomas Ukalovic","K1H","148.76","251.63","834.45",""
"Tino Forgues","K1H","152.0","246.44","874.33",""
"Vincent Falchi","K1H","183.7","718.09","1264.47",""
"Leo Larroque","K1H","292.77","896.76","2606.81",""
"Edgar Paleaubrasseur","K1HM","105.45","327.45","301.43",""
"Antton Erdois","K1HM","110.76","414.7","366.78",""
"Matteo Roubaud","K1HM","115.0","510.23","418.96",""
"Timeo Canonico","K1HM","115.28","456.0","422.41",""
"Florian Malaval","K1HM","116.56","490.35","438.16",""
"Clement Claret","K1HM","118.06","496.69","456.62",""
"Antoine Raby","K1HM","118.65","605.48","463.88",""
"Mathys Michel","K1HM","122.7","655.56","513.73",""
"Owen Merpillat","K1HM","123.85","535.42","527.88",""
"Arsene Labarthe","K1HM","155.4","687.68","916.17",""
"Nicolas Leman","K1HM","178.48","1099.5","1200.22",""
"Lukas Estanguet-santamaria","K1HM","208.14","317.98","1565.25",""
"Miguel Irungaraylarronde","K1HM","223.19","525.0","1750.47",""
