"Sélectif Régional de Slalom - 68330 Huningue - Course n°1 | Finale - 2018-11-10","Course n°1 | Finale","2018-11-10","Régional","150"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Azenor Philip","C1D","102.72","200.15","229.82","Course n°1 | Finale A"
"Julia Budzinski","C1D","112.69","232.3","347.82","Course n°1 | Finale A"
"Lucille Meunier-cheyssac","C1D","135.09","331.06","612.95","Course n°1 | Finale A"
"Tifenn Primet","C1D","158.6","254.06","891.22","Course n°1 | Finale A"
"Thibault Blaise","C1H","86.31","89.76","181.53","Course n°1 | Finale A"
"Gelindo Chiarello","C1H","87.68","260.36","200.06","Course n°1 | Finale A"
"Marvin Tulpin","C1H","88.71","195.44","213.99","Course n°1 | Finale A"
"Simon Werro","C1H","89.61","274.39","226.17","Course n°1 | Finale A"
"Thomas L'huillier","C1H","90.08","168.57","232.52","Course n°1 | Finale A"
"Loic Trenchant","C1H","90.56","205.14","239.02","Course n°1 | Finale A"
"Jan Pischek","C1H","93.33","338.96","276.49","Course n°1 | Finale A"
"Lukas Werro","C1H","93.71","253.4","281.63","Course n°1 | Finale A"
"GÉrÔme Martin","C1H","98.25","419.2","343.04","Course n°1 | Finale A"
"Jan Rohrer","C1H","98.41","414.38","345.2","Course n°1 | Finale A"
"Manuel Munsch","C1H","99.08","365.98","354.27","Course n°1 | Finale A"
"Enki Georgel","C1H","100.53","378.96","373.88","Course n°1 | Finale A"
"Frederic Momot","C1H","102.6","378.27","401.88","Course n°1 | Finale A"
"Jean Marc Trenchant","C1H","102.94","441.67","406.48","Course n°1 | Finale A"
"Michel Bert","C1H","103.22","402.15","410.27","Course n°1 | Finale A"
"Anthony Menissier","C1H","111.38","482.02","520.64","Course n°1 | Finale A"
"Alexis Sevrez","C1H","114.31","491.76","560.28","Course n°1 | Finale A"
"Pierre Biagui","C1H","115.5","577.91","576.38","Course n°1 | Finale A"
"Matthieu Walfard","C1H","128.66","552.25","754.38","Course n°1 | Finale A"
"Baptiste Podor","C1H","134.76","510.13","836.9","Course n°1 | Finale A"
"Camille Hurez-Julia Budzinski","C2D","141.87","745.81","564.03","Course n°1 | Finale A"
"Bastien Caillet-Jules Andrien","C2H","128.63","668.18","674.89","Course n°1 | Finale A"
"Lionel Borde-Michel Bert","C2H","130.07","661.87","693.48","Course n°1 | Finale A"
"Alexis Sevrez-Louis Gasser","C2H","134.43","755.53","749.78","Course n°1 | Finale A"
"Evan Trenchant-Clement Fremy","C2HM","134.13","886.74","745.9","Course n°1 | Finale A"
"Louis Guggenbuhl-Zakaria Radouani","C2HM","Des","-","-","Course n°1 | Finale A"
"Lucille Meunier-cheyssac-Jules Ferber","C2M","138.6","707.67","654.49","Course n°1 | Finale A"
"Baptiste Podor-Zelie Wendling","C2M","139.59","690.82","666.21","Course n°1 | Finale A"
"Marie Amelie Silvin","K1D","97.65","244.58","241.41","Course n°1 | Finale A"
"Camille Hurez","K1D","97.74","267.26","242.54","Course n°1 | Finale A"
"Meryl Steinmann","K1D","98.94","289.93","257.62","Course n°1 | Finale A"
"Azenor Philip","K1D","100.56","314.28","277.98","Course n°1 | Finale A"
"Angelique Guilcher","K1D","100.8","231.48","281","Course n°1 | Finale A"
"Anais Mouhoub","K1D","100.94","357.08","282.76","Course n°1 | Finale A"
"Lolita Seguy","K1D","102.26","292.37","299.35","Course n°1 | Finale A"
"Tifenn Primet","K1D","106.54","316.52","353.15","Course n°1 | Finale A"
"Anne Fischer","K1D","109.28","453.37","387.59","Course n°1 | Finale A"
"Zelie Wendling","K1D","116.43","407.89","477.45","Course n°1 | Finale A"
"Lukas Werro","K1H","78.56","68.57","129.83","Course n°1 | Finale A"
"GÉrÔme Martin","K1H","79.64","195.46","145.17","Course n°1 | Finale A"
"Maxime Bottex","K1H","81.37","76.08","169.74","Course n°1 | Finale A"
"Jules Cresp","K1H","81.42","189.27","170.45","Course n°1 | Finale A"
"Manuel Munsch","K1H","81.73","111.11","174.85","Course n°1 | Finale A"
