"Sélectif Régional de Slalom - 19140 Uzerche - Finale - 2018-11-25","Finale","2018-11-25","Régional","108"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lucie Prioux","C1D","103.7","35.01","124.17","Finale A"
"Perrine Joubert","C1D","121.71","340.98","312.86","Finale A"
"Nathan Hossin","C1H","97.08","133.75","200.11","Finale A"
"Benjamin Jacon","C1H","98.59","238.27","218.19","Finale A"
"Paul Tallet Pinet","C1H","100.12","256.75","236.51","Finale A"
"Faysal Ali Zazou","C1H","105.52","222.16","301.17","Finale A"
"Frederic Boob","C1H","110.53","419.31","361.16","Finale A"
"Emile Verdier","C1H","113.99","474.35","402.59","Finale A"
"Nicolas Baudoin","C1H","115.45","361.4","420.06","Finale A"
"Charley Sannier Durand","C1H","128.07","392.15","571.17","Finale A"
"Thierry Derouineau","C1H","174.92","290.86","1132.14","Finale A"
"Aurele Neveu","C1HM","129.84","643.09","592.37","Finale A"
"Romain Magnier","C1HM","141.27","755.51","729.23","Finale A"
"Benjamin Jacon-Nathan Hossin","C2H","111.12","289.08","307.74","Finale A"
"Christian Boob-Frederic Boob","C2H","115.03","347.67","352.44","Finale A"
"Charley Sannier Durand-Tom Baillon","C2H","128.83","447.31","510.16","Finale A"
"Romain Magnier-Robin Le Fellic","C2HM","163.41","1261.44","905.4","Finale A"
"Manon Prioux","K1D","101.09","180.33","162.43","Finale A"
"Lucie Prioux","K1D","102.1","66.34","173.67","Finale A"
"Violaine Vennin","K1D","109.14","250.28","252","Finale A"
"Perrine Joubert","K1D","116.65","261.33","335.55","Finale A"
"Alice Bureau","K1D","137.29","496.03","565.2","Finale A"
"Valentine Jussy","K1D","155.17","549.38","764.13","Finale A"
"Julie Dequeant","K1D","Abs","-","-","Finale A"
"Elea Mathieu-noel","K1DM","138.67","561.22","580.55","Finale A"
"Lindsay Frenot","K1DM","156.46","785","778.48","Finale A"
"Nicolas Baudoin","K1H","83.43","72.69","86.62","Finale A"
"Gurgen Brun","K1H","84.39","80.72","98.69","Finale A"
"Benjamin Jacon","K1H","85.95","66.75","118.3","Finale A"
"Raphael Lassechere","K1H","89.58","121.54","163.94","Finale A"
"Alexis Dorey","K1H","91.65","289.85","189.96","Finale A"
"Christophe Marechal","K1H","92.56","195.07","201.4","Finale A"
"Sam Traquet","K1H","93.29","178.44","210.58","Finale A"
"Dylan Sourbe","K1H","93.62","207.69","214.73","Finale A"
"Nathan Hossin","K1H","97.94","223.84","269.04","Finale A"
"Marc Brossard","K1H","98.55","353.99","276.71","Finale A"
"Arthur Huet","K1H","98.88","306.19","280.86","Finale A"
"Adrien Pardoux","K1H","99.09","362.08","283.5","Finale A"
"NaËl Rajoub","K1H","99.29","306.78","286.02","Finale A"
"Collin Pouradier","K1H","99.96","300.41","294.44","Finale A"
"Victor Lagleyze","K1H","100.63","321.42","302.86","Finale A"
"Jacques Precigout","K1H","101.02","324.45","307.77","Finale A"
"Arthur Lagleyze","K1H","102.82","287.61","330.4","Finale A"
"Titouan Conseil","K1H","105.54","352.03","364.59","Finale A"
"Olivier Cain","K1H","105.56","370.95","364.85","Finale A"
"Alexandre Medge","K1H","106.47","437.01","376.29","Finale A"
"Guillaume Arnaud","K1H","109.69","389.82","416.77","Finale A"
"Benjamin Georges","K1H","109.89","417.34","419.28","Finale A"
"Tom Baillon","K1H","111.49","420.42","439.4","Finale A"
"Simon Tourtois","K1H","112.03","495.23","446.19","Finale A"
"Camille Balsac","K1H","120.26","457.16","549.66","Finale A"
"Florian Torche","K1H","150.79","299.17","933.5","Finale A"
"Hugues Lesimple","K1H","166.17","351.8","1126.86","Finale A"
"Maxime Blondeau","K1HM","104.14","409.14","346.99","Finale A"
"Antoine Raby","K1HM","117.71","477.01","517.6","Finale A"
"Owen Merpillat","K1HM","125.21","441.16","611.89","Finale A"
"MattÉo Rainaud","K1HM","125.38","452.31","614.03","Finale A"
"Aurele Neveu","K1HM","131.05","633.11","685.32","Finale A"
"Romain Magnier","K1HM","135.94","537.24","746.8","Finale A"
"Malo Fevin","K1HM","193.84","607.93","1474.74","Finale A"
"Justin Poupard","K1HM","Des","-","-","Finale A"
"Raphael Lassechere","C1H","109.44","416.58","353.11","Finale B"
"Hugues Lesimple","C1H","113.8","421.84","405.31","Finale B"
"Christophe Geoffroy","C1H","117.23","453.1","446.39","Finale B"
"Olivier Cain","C1H","124.12","847.26","528.89","Finale B"
"Christian Boob","C1H","125.08","496.77","540.38","Finale B"
"Gaspard Trichard","C1H","126.55","542.56","557.98","Finale B"
"Adrien Pardoux","C1H","126.86","485.76","561.69","Finale B"
"Victor Lagleyze","C1H","130.42","594.38","604.32","Finale B"
"Martin Thermidor","C1H","Abs","-","-","Finale B"
"Robin Le Fellic","C1HM","Abd","-","-","Finale B"
