"Manche de la Coupe de France National 2 Slalom - 22000 St Brieuc - Finale - 2019-02-17","22000 St Brieuc","Finale","finale","2019-02-17","Nationale 2","160"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Camille Castryck","C1D","118.16","349.6","231.8","finale a"
"Anais Bernardy","C1D","118.88","576.47","239.37","finale a"
"Lucille Meunier-cheyssac","C1D","121.04","355.52","262.07","finale a"
"Clara Grangeon","C1D","141.43","459.44","476.36","finale a"
"Nicolas Ducrocq","C1H","96.54","158.78","149.52","finale a"
"Mewen Debliquy","C1H","98.89","308.21","177.75","finale a"
"Gaspard Perrio","C1H","99.29","230.27","182.55","finale a"
"Samuel Vallienne","C1H","100.79","304.15","200.57","finale a"
"Issam Chakir","C1H","100.93","245.85","202.25","finale a"
"Thomas Launay","C1H","101.31","225.97","206.82","finale a"
"Timothee Cornu","C1H","103.35","215.7","231.32","finale a"
"Hugo Eouzan-chaffotec","C1H","104.41","340.3","244.05","finale a"
"Paul Tallet Pinet","C1H","105.03","259.67","251.5","finale a"
"Glen Le Meur","C1H","105.95","303.95","262.55","finale a"
"Luc Hellard","C1H","107.47","304.91","280.8","finale a"
"Solen Le Bourles","C1H","108.17","323.24","289.21","finale a"
"Michael Philibert","C1H","108.2","238.02","289.58","finale a"
"Gwenole Noyalet","C1H","108.6","394.09","294.38","finale a"
"Yvan Leblond","C1H","112.8","334.58","344.83","finale a"
"Amaurie Guilleret-Margaux Mourlon","C2D","199.22","1066.51","922.66","finale a"
"Nicolas Ducrocq-Gaspard Perrio","C2H","111.7","360.16","270.62","finale a"
"Alan Mahe-Matheo Lebaindre","C2H","123.23","391.55","402.82","finale a"
"Herve Busson-Vincent Froger","C2H","129.48","508.37","474.48","finale a"
"Romain Branjauneau-Samuel Vallienne","C2H","135.14","455.23","539.38","finale a"
"Tiphaine Duboc-Michael Philibert","C2M","143.57","525.14","498.86","finale a"
"Fabien Le Nechet-Maela Le Corre","C2M","145.14","510.3","515.35","finale a"
"Teddy Poulard-Alize Bachelot","C2M","169.97","449.17","776.31","finale a"
"Lubin Huet-Jann Le Corre","C2M","172.28","509.33","800.59","finale a"
"Tiphaine Duboc","K1D","106.12","172.18","174.35","finale a"
"Lise Vinet","K1D","108.91","292.36","205.49","finale a"
"MaÏa Gombert","K1D","110.84","273.74","227.03","finale a"
"Camille Castryck","K1D","111.68","289.86","236.41","finale a"
"Sarah Despres","K1D","112.14","261.93","241.54","finale a"
"Amaurie Guilleret","K1D","113.22","230.6","253.6","finale a"
"Camille Hurez","K1D","114.49","250.28","267.77","finale a"
"Alice Azam","K1D","114.63","202.72","269.32","finale a"
"Angelique Guilcher","K1D","114.97","245.74","273.12","finale a"
"Justine Clerc","K1D","115.17","284.9","275.35","finale a"
"Myriam Le Joncourt","K1D","117.35","404.35","299.69","finale a"
"Sophie Colbus","K1D","117.5","272.93","301.36","finale a"
"Manon Durand","K1D","118.19","328.74","309.06","finale a"
"Margot Perrin","K1D","119.02","308.39","318.32","finale a"
"Eva Marchand","K1D","119.55","385.89","324.23","finale a"
"Romane Regnier","K1D","122.05","315.4","352.14","finale a"
"Clara Delahaye","K1D","124.06","330.13","374.58","finale a"
"Tifenn Primet","K1D","126.33","327.21","399.91","finale a"
"Mylene Guilcher","K1D","126.95","393.86","406.83","finale a"
"Zoe Huet","K1D","178.73","335.82","984.73","finale a"
"Matheo Lebaindre","K1H","90.4","122.2","130.07","finale a"
"Paul Gestin","K1H","91.03","174.83","138.01","finale a"
"Loan Queffelec","K1H","92.68","221.5","158.82","finale a"
"Maxime Aubertin","K1H","92.83","265.17","160.71","finale a"
"Titouan Castryck","K1H","93.23","253.6","165.76","finale a"
"Anthony Drouhin","K1H","93.87","150.92","173.83","finale a"
"Sebastien Routhier","K1H","94.04","189.33","175.97","finale a"
"Alex Louveau","K1H","94.56","151.22","182.53","finale a"
"Joris Hello","K1H","94.59","208.57","182.91","finale a"
"Nicolas Mevel","K1H","95.27","172.85","191.48","finale a"
"Nicolas Feuillard","K1H","95.49","195.86","194.26","finale a"
"Killian Flegeau","K1H","95.66","233.7","196.4","finale a"
"Benoit Chantry","K1H","95.7","148.51","196.91","finale a"
