"Manche de la Coupe de France National 2 Slalom - 37000 Tours - Finale","37000 Tours","Finale","finale","2019-03-10","Nationale 2","301"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Camille Castryck","C1D","110.23","278.5","131.72","finale a"
"Laura Pellicer","C1D","121.28","303.32","240.35","finale a"
"Caroline Scherer","C1D","161.5","334.71","635.72","finale a"
"Perrine Joubert","C1D","170.04","359.5","719.67","finale a"
"Lucille Meunier-cheyssac","C1D","179.29","300.33","810.6","finale a"
"Romane Regnier","C1D","181.66","384.24","833.9","finale a"
"Laurine Salesse","C1D","202.24","274.29","1036.21","finale a"
"Emilie Delahaye","C1D","223.84","480.35","1248.54","finale a"
"Auregane Philip","C1D","229.82","369.82","1307.34","finale a"
"Nicolas Ducrocq","C1H","97.15","156.06","139.57","finale a"
"Mewen Debliquy","C1H","98.11","244.37","150.35","finale a"
"Thomas Launay","C1H","100.96","212.09","182.37","finale a"
"Marc Sarramea","C1H","101.91","225.01","193.05","finale a"
"Yvan Leblond","C1H","105.03","299.92","228.1","finale a"
"Tomy Dandonneau","C1H","107.27","240.93","253.27","finale a"
"Gaspard Perrio","C1H","107.33","206.47","253.94","finale a"
"Jules Vonderscher","C1H","108.34","258.96","265.29","finale a"
"Benoit Chantry","C1H","109.25","241.13","275.51","finale a"
"Terence Saramandif","C1H","110.05","271.97","284.5","finale a"
"Martin Daviet","C1H","110.85","234.01","293.48","finale a"
"Matheo Lebaindre","C1H","113.33","311.26","321.34","finale a"
"Gaetan Hamelin","C1H","116.91","314.76","361.57","finale a"
"Maxime Kabir","C1H","117.04","294.72","363.03","finale a"
"Paul Cascarino","C1H","117.89","271.57","372.57","finale a"
"Charles Dampeyrou","C1H","118.05","284.66","374.38","finale a"
"Alex Baldoni","C1H","123.54","333.38","436.05","finale a"
"Dominik Gosset","C1H","126.46","341.67","468.86","finale a"
"Glen Le Meur","C1H","133.22","280.8","544.8","finale a"
"Lubin Huet","C1H","143.56","267.81","660.97","finale a"
"Faysal Ali Zazou","C1H","150.73","219.91","741.52","finale a"
"Timothee Cornu","C1H","151.77","210.65","753.21","finale a"
"Melenn Aubry","C1H","162.54","339.34","874.21","finale a"
"Paul Tallet Pinet","C1H","168.54","242.2","941.61","finale a"
"Alexandre Ghirardi","C1H","173.58","235.3","998.24","finale a"
"Etienne Wiche","C1H","538.51","284.8","5098.13","finale a"
"Herve Busson-Vincent Froger","C2H","166.45","499.9","833.13","finale a"
"Philippe Thevenin-Christophe Marechal","C2H","209.0","2332.72","1289.44","finale a"
"Erwan Degreve-Kilian Godart","C2H","340.59","483.5","2700.62","finale a"
"Tiphaine Duboc-Michael Philibert","C2M","151.24","558.28","534.86","finale a"
"Luc Sarramea-Carla Lacroix","C2M","223.54","430.14","1245.59","finale a"
"Fabien Le Nechet-Maela Le Corre","C2M","251.23","462.22","1517.8","finale a"
"Caroline Bourry","K1D","107.93","186.19","174.83","finale a"
"Laura Pellicer","K1D","112.23","218.86","219.72","finale a"
