"Championnat de France Universitaire - Cesson Sevigne - Qualification - 2019-03-13","Cesson Sevigne","Qualification","qualif","2019-03-13","Championnats de France","89"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Tiphaine Duboc","C1D","113.88","164.75","196.88",""
"Azenor Philip","C1D","127.52","209.3","333.8",""
"Anais Bernardy","C1D","127.92","1018.37","337.81",""
"Viviana Daille","C1D","128.03","299.72","338.92",""
"Manon Durand","C1D","131.74","359.27","376.15",""
"Emilie Delahaye","C1D","147.11","480.35","530.44",""
"Lou Boisnard","C1D","190.73","486.59","968.29",""
"Yves Bourhis","C1H","96.52","77.81","161.04",""
"Corentin Oulhen","C1H","97.39","99.66","171.02",""
"Hugo Latimier","C1H","98.35","132.07","182.03",""
"Luc Sarramea","C1H","102.53","103.17","229.98",""
"Jean Pierre Bourhis","C1H","102.62","156.49","231.01",""
"Thomas Launay","C1H","103.4","196.43","239.96",""
"Baptiste Le Poncin","C1H","107.4","152.2","285.85",""
"Gaspard Perrio","C1H","107.73","206.47","289.63",""
"Nicolas Ducrocq","C1H","108.42","148.11","297.55",""
"Arthur Mizzi","C1H","114.9","358.86","371.89",""
"Pierre Troubady","C1H","115.58","-","379.68",""
"Killian Flegeau","C1H","116.44","589.57","389.55",""
"Charley Sannier Durand","C1H","118.38","415.44","411.81",""
"Vincent Idriss Achaoui","C1H","121.82","400.78","451.27",""
"Timothee Le Mort","C1H","126.9","432.89","509.54",""
"Guillaume Maillot","C1H","136.86","713.91","623.8",""
"Thomas Dubois Dunilac","C1H","258.7","-","2021.51",""
"Jean Pierre Bourhis-Matheo Lebaindre","C2H","123.11","353.97","401.87",""
"Yves Bourhis-Paul Gestin","C2H","133.02","-","510.39",""
"Arthur Mizzi-Gaspard Perrio","C2H","133.9","-","520.02",""
"Raphael Grehan-Thibaut Collignon","C2H","147.44","-","668.29",""
"Guillaume Maillot-Pierre Troubady","C2H","147.64","-","670.48",""
"Erwan Degreve-Kilian Godart","C2H","159.62","483.5","801.66",""
"Yann Becker-Vincent Idriss Achaoui","C2H","209.67","627.6","1349.72",""
"Anais Bernardy-Gaspard Perrio","C2M","132.23","-","381.08",""
"Lilou Segura-Hugo Latimier","C2M","158.89","-","648.68",""
"Anais Mouhoub-Nicolas Dalleau","C2M","186.29","-","923.72",""
"Viviana Daille","K1D","105.45","145.13","177.84",""
"Lea Turmeau","K1D","105.89","52.77","182.53",""
"Tiphaine Duboc","K1D","106.18","168.22","185.62",""
"Lise Vinet","K1D","112.99","261.77","258.21",""
"Emilie Delahaye","K1D","118.42","329.67","316.08",""
"Coline Bertin","K1D","119.34","451.92","325.9",""
"Zoe Bruchon","K1D","121.62","203.53","350.2",""
"Phenicia Dupras","K1D","123.53","307.16","370.57",""
"Manon Durand","K1D","124.08","308.53","376.42",""
"Auregane Philip","K1D","126.11","259.13","398.06",""
"Anais Mouhoub","K1D","128.78","436.04","426.53",""
"Morgane Quemerais","K1D","129.63","375.99","435.59",""
"Clothilde Le Louarn","K1D","130.66","420.57","446.56",""
"Lou Boisnard","K1D","137.78","372.0","522.46",""
"Chloe Faverjon","K1D","138.57","418.04","530.88",""
"Lucie Adisson","K1D","143.48","778.84","583.21",""
"Emilie Armani","K1D","145.07","372.47","600.17",""
"Pol Oulhen","K1H","85.63","53.16","85.23",""
"Luca Dos Santos","K1H","89.53","151.37","132.2",""
"Arthur Mizzi","K1H","90.52","134.14","144.13",""
"Pierre Grapotte","K1H","92.74","75.57","170.87",""
"Matheo Lebaindre","K1H","95.41","122.72","203.03",""
"Titouan Dupras","K1H","96.05","73.0","210.74",""
"Pol Euzenes","K1H","96.2","173.3","212.54",""
"Luc Sarramea","K1H","96.43","195.31","215.31",""
"Raphael Olla","K1H","96.44","131.88","215.43",""
"Loan Queffelec","K1H","96.75","179.76","219.17",""
"Killian Flegeau","K1H","96.77","206.24","219.41",""
"Sebastien Routhier","K1H","97.43","182.91","227.36",""
"Paul Gestin","K1H","98.14","168.66","235.91",""
"Nicolas Ducrocq","K1H","101.13","336.63","271.93",""
"Jules Cresp","K1H","101.99","187.57","282.29",""
"Alan Mahe","K1H","102.56","239.02","289.15",""
"Theo Ducasse","K1H","103.21","267.23","296.98",""
"Corentin Oulhen","K1H","104.09","340.49","307.58",""
"Jean Philippe Roche","K1H","106.19","285.14","332.88",""
"Kilian Godart","K1H","106.29","288.15","334.08",""
"Maxime Berthaut","K1H","106.36","361.81","334.92",""
"Timothee Le Mort","K1H","110.48","262.71","384.55",""
"Yann Becker","K1H","113.78","384.56","424.3",""
"Thibaut Collignon","K1H","116.03","435.67","451.4",""
"Nicolas Saurat","K1H","116.61","337.98","458.39",""
"Guillaume Maillot","K1H","117.24","471.59","465.98",""
"Vincent Idriss Achaoui","K1H","118.47","425.19","480.79",""
"Axel Meheust","K1H","118.97","358.93","486.81",""
"Nicolas Dalleau","K1H","119.86","738.64","497.53",""
"Clement Coulon","K1H","121.2","515.78","513.67",""
"NaËl Rajoub","K1H","123.67","327.94","543.43",""
"Ewen Polette","K1H","124.04","-","547.88",""
"Antoine Carreaud","K1H","127.79","540.32","593.05",""
"Robin Godel","K1H","134.28","-","671.23",""
"Erwan Degreve","K1H","141.05","393.44","752.77",""
"Riwan Le Roy","K1H","155.04","827.22","921.29",""
"Thomas Dubois Dunilac","K1H","294.6","-","2602.32",""
"Pierre Grimoux","K1H","371.0","-","3522.58",""
