"Compétition Régionale de Slalom - 70190 Voray Sur L Ognon - Finale","70190 Voray Sur L Ognon","Finale","finale","2019-03-24","Régional","62"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Pauline Clerc","C1D","231.39","844.63","1543.58","finale a"
"Benjamin Maubert","C1H","110.41","349.12","419.0","finale a"
"Jules Bevalot","C1H","113.27","444.78","453.94","finale a"
"Loann Delle Dananchet","C1H","114.59","413.7","470.06","finale a"
"Patrice Campioni","C1H","116.94","415.93","498.77","finale a"
"Arnaud Caillet","C1H","125.74","569.78","606.27","finale a"
"Maxime Devis","C1H","129.27","618.01","649.39","finale a"
"Ludovic Kessler","C1HM","147.45","1320.76","871.49","finale a"
"Claude Menissier-Gerard Menissier","C2H","123.09","589.26","505.55","finale a"
"Eddy Cassard-Sebastien Varin","C2H","198.63","561.72","1386.42","finale a"
"Oscar Pasteur-Maxime Devis","C2H","240.19","1820.7","1871.05","finale a"
"Pauline Clerc-Arnaud Caillet","C2M","148.13","785.64","653.6","finale a"
"Baptiste Guillaubez-Camille Vion Delphin","C2M","187.37","1124.23","1073.04","finale a"
"Pauline Clerc","K1D","122.26","400.53","458.03","finale a"
"Camille Vion Delphin","K1D","133.05","574.14","580.5","finale a"
"Melyne Jost","K1D","136.43","459.77","618.88","finale a"
"Morgane Paulet","K1D","145.34","568.72","720.01","finale a"
"Lucile Bessot","K1D","153.04","827.86","807.42","finale a"
"Margaux Cornet","K1D","204.89","774.97","1395.99","finale a"
"Alexis Pacholak","K1H","95.48","278.23","294.93","finale a"
"Jules Bevalot","K1H","95.92","178.9","300.58","finale a"
"Davy Egraz","K1H","98.38","251.69","332.13","finale a"
"Loann Delle Dananchet","K1H","107.81","490.21","453.09","finale a"
"Maxime Devis","K1H","109.01","509.32","468.48","finale a"
"Damien Burteaux","K1H","109.57","396.91","475.67","finale a"
"Virgile Bessot","K1H","110.42","540.17","486.57","finale a"
"Dyclan Plessis","K1H","112.5","383.72","513.25","finale a"
"Eddy Cassard","K1H","112.56","435.24","514.02","finale a"
"Lucas Matkovic","K1H","114.62","556.82","540.44","finale a"
"Anthony Menissier","K1H","117.93","542.29","582.9","finale a"
"Oscar Pasteur","K1H","119.86","507.2","607.66","finale a"
"Frederic Caillet","K1H","124.81","631.4","671.15","finale a"
"Arnaud Caillet","K1H","125.71","510.51","682.69","finale a"
"Jonathan Ferreira","K1H","165.41","500.41","1191.92","finale a"
"Baptiste Guillaubez","K1HM","111.4","924.04","499.14","finale a"
"Luca Chapatte","K1HM","117.2","651.53","573.54","finale a"
"Yuha Egraz","K1HM","123.39","778.62","652.93","finale a"
"Loris Allamachere","K1HM","137.83","889.58","838.16","finale a"
"RaphaËl Cantenot","K1HM","173.95","1196.32","1301.47","finale a"
"Leon Beyreuther","K1HM","195.3","839.9","1575.32","finale a"
"Philippe Thevenin","C1H","111.39","327.93","435.98","finale b"
"Anthony Menissier","C1H","122.14","500.44","567.3","finale b"
"Dyclan Plessis","C1H","125.6","496.94","609.56","finale b"
"Oscar Pasteur","C1H","134.49","729.92","718.17","finale b"
"Christophe Billaud","C1H","162.45","729.44","1059.73","finale b"
"Lucie Lemaire","K1D","151.59","1397.28","795.95","finale b"
"Lou Alpy","K1D","241.52","2232.13","1816.79","finale b"
"Matthew Vuillard","K1H","104.88","376.83","420.51","finale b"
"Philippe Thevenin","K1H","116.64","534.5","571.35","finale b"
"Mathieu Jacquelin","K1H","117.85","802.9","586.87","finale b"
"Christophe Billaud","K1H","118.06","503.78","589.57","finale b"
"Maxence Raymond","K1H","124.34","682.62","670.12","finale b"
"Jean Guyot","K1H","130.58","630.22","750.16","finale b"
"Max Cantenot","K1H","142.44","942.97","902.29","finale b"
"Aloys Morel","K1H","142.74","776.62","906.14","finale b"
"Gabin Beraud","K1H","151.88","1325.58","1023.38","finale b"
"Mattheo Szkuta","K1H","165.1","616.51","1192.95","finale b"
"Kevin Vienny","K1H","195.73","800.62","1585.84","finale b"
"Gabin Belot","K1H","211.35","2625.99","1786.2","finale b"
"Emilien Toinard","K1H","213.24","2901.15","1810.44","finale b"
"Theo Traore","K1HM","155.64","1104.83","1071.6","finale b"
"Fabien Vacelet","K1HM","162.35","1530.17","1157.67","finale b"
