"Compétition Régionale de Slalom - 70190 Voray Sur L Ognon - Qualification","70190 Voray Sur L Ognon","Qualification","qualif","2019-03-24","Régional","63"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Pauline Clerc","C1D","174.76","752.75","936.5",""
"Benjamin Maubert","C1H","110.06","349.12","411.72",""
"Loann Delle Dananchet","C1H","111.97","413.7","435.11",""
"Jules Bevalot","C1H","112.76","-","444.78",""
"Patrice Campioni","C1H","118.08","415.93","509.93",""
"Arnaud Caillet","C1H","120.75","569.78","542.63",""
"Maxime Devis","C1H","121.18","618.01","547.9",""
"Philippe Thevenin","C1H","122.42","327.93","563.07",""
"Anthony Menissier","C1H","123.48","500.44","576.06",""
"Dyclan Plessis","C1H","128.61","496.94","638.88",""
"Oscar Pasteur","C1H","141.14","729.92","792.31",""
"Christophe Billaud","C1H","165.52","729.44","1090.86",""
"Ludovic Kessler","C1HM","164.05","1582.03","1072.86",""
"Claude Menissier-Gerard Menissier","C2H","128.96","612.07","571.38",""
"Eddy Cassard-Sebastien Varin","C2H","150.8","561.72","826.67",""
"Oscar Pasteur-Maxime Devis","C2H","235.84","-","1820.7",""
"Pauline Clerc-Arnaud Caillet","C2M","160.68","-","785.64",""
"Baptiste Guillaubez-Camille Vion Delphin","C2M","192.28","-","1124.23",""
"Pauline Clerc","K1D","126.0","400.53","497.67",""
"Melyne Jost","K1D","138.1","459.77","635.36",""
"Camille Vion Delphin","K1D","142.31","574.14","683.27",""
"Morgane Paulet","K1D","147.76","568.72","745.28",""
"Lucile Bessot","K1D","162.68","827.86","915.06",""
"Margaux Cornet","K1D","163.94","774.97","929.39",""
"Lucie Lemaire","K1D","205.06","-","1397.28",""
"Lou Alpy","K1D","278.43","-","2232.13",""
"Davy Egraz","K1H","96.62","251.69","306.3",""
"Jules Bevalot","K1H","98.6","178.9","331.76",""
"Alexis Pacholak","K1H","98.78","278.23","334.07",""
"Maxime Devis","K1H","108.04","509.32","453.14",""
"Virgile Bessot","K1H","108.5","540.17","459.05",""
"Eddy Cassard","K1H","109.07","435.24","466.38",""
"Loann Delle Dananchet","K1H","110.85","490.21","489.27",""
"Damien Burteaux","K1H","111.69","396.91","500.07",""
"Arnaud Caillet","K1H","114.89","510.51","541.21",""
"Dyclan Plessis","K1H","114.89","383.72","541.21",""
"Lucas Matkovic","K1H","114.96","564.18","542.11",""
"Anthony Menissier","K1H","116.15","542.29","557.41",""
"Jonathan Ferreira","K1H","116.18","500.41","557.8",""
"Oscar Pasteur","K1H","116.64","507.2","563.71",""
"Frederic Caillet","K1H","122.38","644.18","637.52",""
"Mathieu Jacquelin","K1H","123.48","802.9","651.66",""
"Luca Gabelli","K1H","124.75","441.87","667.99",""
"Matthew Vuillard","K1H","125.0","376.83","671.21",""
"Philippe Thevenin","K1H","125.06","465.76","671.98",""
"Mattheo Szkuta","K1H","125.27","616.51","674.68",""
"Maxence Raymond","K1H","126.06","682.62","684.83",""
"Jean Guyot","K1H","130.58","630.22","742.95",""
"Christophe Billaud","K1H","133.4","503.78","779.21",""
"Kevin Vienny","K1H","146.51","800.62","947.78",""
"Gabin Beraud","K1H","157.17","1445.95","1084.84",""
"Max Cantenot","K1H","174.38","942.97","1306.13",""
"Aloys Morel","K1H","197.63","776.62","1605.07",""
"Gabin Belot","K1H","277.03","-","2625.99",""
"Emilien Toinard","K1H","298.43","-","2901.15",""
"Baptiste Guillaubez","K1HM","116.65","924.04","563.84",""
"Luca Chapatte","K1HM","123.47","-","651.53",""
"Yuha Egraz","K1HM","131.69","789.32","757.22",""
"Leon Beyreuther","K1HM","136.67","1020.81","821.26",""
"Loris Allamachere","K1HM","142.42","1034.83","895.19",""
"RaphaËl Cantenot","K1HM","165.84","-","1196.32",""
"Theo Traore","K1HM","210.0","1104.83","1764.13",""
"Fabien Vacelet","K1HM","246.57","1178.08","2234.34",""
