"Manche de la coupe de France National 3 Slalom Sud-Ouest - 64390 Sauveterre De Bearn - Finale - 2019-04-21","Finale","2019-04-21","Nationale 3","111"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Amelie Leclercq","C1D","134.63","492.47","665.6","Finale A"
"Valentin Courtiade","C1H","93.7","314.06","321.76","Finale A"
"Thierry Derouineau","C1H","94.62","364.51","334.88","Finale A"
"Hugo Crespo","C1H","97.05","456.59","369.55","Finale A"
"Antton Erdois","C1H","99.87","446.1","409.78","Finale A"
"Loris Shayam Affre","C1H","100.55","445.22","419.48","Finale A"
"Clement Brotier","C1H","101.33","443.7","430.61","Finale A"
"Charley Sannier Durand","C1H","102.5","403.52","447.3","Finale A"
"Axel Colin","C1H","105.76","489.36","493.81","Finale A"
"Amaury Brucher","C1H","157.18","492.61","1227.38","Finale A"
"Cerise Babin-Juliette Derouineau","C2D","160.56","983.86","835.11","Finale A"
"Maxence Merpillat-Raphael Lassechere","C2H","107.38","770.33","447.29","Finale A"
"Emilien Courtiade-Loris Shayam Affre","C2H","110.8","576.47","493.86","Finale A"
"Antton Erdois-Nahia Oteiza","C2M","113.77","795.15","405.2","Finale A"
"Cerise Babin-Clement Brotier","C2M","122.09","544.12","509.06","Finale A"
"Amelie Leclercq","K1D","107.14","423.58","405.28","Finale A"
"Juliette Derouineau","K1D","110.19","439.85","445.72","Finale A"
"Laurence Pessoni","K1D","113.19","590.03","485.48","Finale A"
"Noeline Pierre","K1D","114.73","531.13","505.9","Finale A"
"Camille Santa Cruz","K1D","120.13","558.08","577.49","Finale A"
"Solene Lafitte","K1D","166.75","587.12","1195.49","Finale A"
"Ianis Fleury","K1H","86.03","307.2","273.7","Finale A"
"Loris Shayam Affre","K1H","86.78","328.29","284.94","Finale A"
"Amaury Brucher","K1H","87.04","273.77","288.83","Finale A"
"Sebastien Mouyen Bie","K1H","89.11","467.97","319.84","Finale A"
"Fantin Delage-garez","K1H","89.22","302.13","321.49","Finale A"
"NaËl Rajoub","K1H","89.52","307.64","325.98","Finale A"
"Maxence Davy","K1H","89.94","431.13","332.27","Finale A"
"Yon Dandonneau","K1H","89.98","326.28","332.87","Finale A"
"Paul Gobert","K1H","90.39","312.65","339.01","Finale A"
"Fabien Paleau","K1H","90.84","320.88","345.75","Finale A"
"Lukas Estanguet-santamaria","K1H","91.49","321.14","355.49","Finale A"
"Owen Merpillat","K1H","91.53","522.72","356.09","Finale A"
"Simon Tourtois","K1H","91.71","425.84","358.78","Finale A"
"Angus Cruickshank","K1H","92.35","320.07","368.37","Finale A"
"Axel Colin","K1H","92.44","388.83","369.72","Finale A"
"Thomas Buffet","K1H","92.46","411.23","370.02","Finale A"
"Edgar Paleaubrasseur","K1H","92.46","399.08","370.02","Finale A"
"Nicolas Saurat","K1H","93.16","315.87","380.51","Finale A"
"Antoine Raby","K1H","94.01","398.38","393.24","Finale A"
"Jerome Trousson","K1H","94.31","346.22","397.73","Finale A"
"Timeo Canonico","K1H","94.52","447.75","400.88","Finale A"
"Edouard Patry","K1H","95.15","534.05","410.32","Finale A"
"Julien Doumecq","K1H","95.78","431.65","419.75","Finale A"
"Tom Delens","K1H","96.12","399.07","424.85","Finale A"
"Arthur Caillaud-gault","K1H","96.26","449.36","426.94","Finale A"
"Basile Drapier","K1H","96.62","435.97","432.34","Finale A"
"Clement Brotier","K1H","96.63","524.45","432.49","Finale A"
"Flavien Portier","K1H","97.23","523.92","441.47","Finale A"
"Clement Claret","K1H","97.45","450.7","444.77","Finale A"
