"Manche de la Coupe de France National 3 Slalom Nord - 80310 Picquigny - Finale - 2019-04-21","Finale","2019-04-21","Nationale 3","186"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Margaux Fabijan","C1D","147.01","442.92","520.28","Finale A"
"Adele Charlaigre","C1D","149.48","436.6","545.57","Finale A"
"Camille De Araujo","C1D","153.19","694.62","583.55","Finale A"
"Chloe Gatuingt","C1D","157.27","499.04","625.32","Finale A"
"Elise Vegnaduzzo","C1D","175.5","652.42","811.95","Finale A"
"Elise Masseline","C1D","179.15","553.07","849.32","Finale A"
"Charline Dole","C1D","182.1","683.94","879.52","Finale A"
"Lison Gautrelet","C1D","182.39","605.2","882.49","Finale A"
"Clemence Douche","C1D","224.95","634.24","1318.2","Finale A"
"Mathis Piepho","C1H","116.88","373.67","382.76","Finale A"
"Anthony Thuillier","C1H","119.69","422.4","415.63","Finale A"
"Hugo Tellier","C1H","119.69","453.53","415.63","Finale A"
"Benjamin Thiboust","C1H","120.01","388.45","419.38","Finale A"
"Maxime Savalle","C1H","120.02","381.5","419.5","Finale A"
"Robin Dheilly","C1H","124.51","485.77","472.03","Finale A"
"Nicolas Feuillard","C1H","124.98","459.9","477.54","Finale A"
"Eric Beaumont","C1H","125.12","431.27","479.17","Finale A"
"Jean Aussant","C1H","128.48","491.6","518.49","Finale A"
"Julien Fougeron","C1H","128.57","409.94","519.54","Finale A"
"Teddy Poulard","C1H","129","434.5","524.57","Finale A"
"Fabien Bonvalet","C1H","129.29","393.05","527.96","Finale A"
"Titouan Aussant","C1H","129.73","568.67","533.1","Finale A"
"Paul Lecomte","C1H","130.54","758.02","542.59","Finale A"
"Quentin Angot","C1H","132.31","461.26","563.3","Finale A"
"Matthieu Walfard","C1H","139.17","536.73","643.56","Finale A"
"Chloe Gatuingt-Leontine Dubuisson","C2D","179.98","716.89","716.08","Finale A"
"Camille De Araujo-Loan Battistuzzi","C2D","194.91","551.45","857.17","Finale A"
"Salome Huet-Nine Meyer","C2D","234.37","946.65","1230.08","Finale A"
"Charlotte Chauvey-Julie Dupas","C2D","Abd","-","-","Finale A"
"Anthony Thuillier-Nathan Boudaillez","C2H","138.26","494.84","559.38","Finale A"
"Fabien Bonvalet-Mathis Pomares","C2H","146.61","673.08","652.64","Finale A"
"Hugo Baillet-Thibaut Evrard","C2H","148.91","841.24","678.33","Finale A"
"Hugo Tellier-Florian Jumetz","C2H","211.03","636.77","1372.09","Finale A"
"Jeremy Huguenin-Melvin Queudeville","C2H","Des","-","-","Finale A"
"Axel Guilleret-Amaurie Guilleret","C2M","148.06","474.97","531.03","Finale A"
"Anthony Thuillier-Charline Dole","C2M","149.64","492.53","547.21","Finale A"
"Chloe Gatuingt-Quentin Angot","C2M","153.32","716.94","584.89","Finale A"
"Florence Marchal-Jacques Nardeau","C2M","164.58","570.42","700.16","Finale A"
"Leontine Dubuisson-Bertrand Avril","C2M","165.18","674.83","706.3","Finale A"
"Geoffroy Lauth-Delphine Brunet","C2M","171.61","629.13","772.12","Finale A"
"Matteo Figueiredo Alves-Wissal Mouinet","C2M","172.98","697.52","786.15","Finale A"
"Nathan Boudaillez-Lisa BouÉ","C2M","174.61","760.39","802.84","Finale A"
"Julie Dupas","K1D","128.28","402.91","409.88","Finale A"
"Nina Pesce-roue","K1D","133.22","464.3","463.59","Finale A"
"Elise Vegnaduzzo","K1D","139.31","536.56","529.8","Finale A"
"Coline Regnier","K1D","139.65","511.75","533.5","Finale A"
"CÉlya Foucard","K1D","140.12","534.3","538.61","Finale A"
"Lisa Manach","K1D","142.57","495.93","565.24","Finale A"
"Lea Feuillard","K1D","147.2","509.09","615.57","Finale A"
"Emma Pouilly","K1D","147.42","608.83","617.97","Finale A"
"Elodie Berrot","K1D","148.3","1258.89","627.54","Finale A"
"Charlotte Chauvey","K1D","149.72","459.95","642.98","Finale A"
"Salome Huet","K1D","152.04","575.56","668.2","Finale A"
"Eloise Riviere","K1D","152.94","594.25","677.98","Finale A"
"Elise Masseline","K1D","154","459.77","689.51","Finale A"
"Pauline Lybrecht","K1D","158.15","644.99","734.63","Finale A"
"Axel Guilleret","K1H","102.32","295.91","272.27","Finale A"
"Loic Monbel","K1H","103.11","283.62","281.97","Finale A"
"Melvin Queudeville","K1H","105.57","302","312.19","Finale A"
"Theo Loury","K1H","107.55","372.03","336.52","Finale A"
"Titouan Aussant","K1H","108.45","448.4","347.57","Finale A"
"Hugo Pidoux","K1H","109.03","358.46","354.7","Finale A"
"Sebastien De Berchem","K1H","109.29","373.08","357.89","Finale A"
"Yohan Marck","K1H","110.47","333.93","372.39","Finale A"
"Jean Aussant","K1H","111.41","376.52","383.94","Finale A"
"Tom Barthelemy","K1H","111.69","356.66","387.38","Finale A"
"Thibaut Evrard","K1H","111.72","341.7","387.75","Finale A"
"Hugo Baillet","K1H","112.41","480.16","396.22","Finale A"
