"Manche de la coupe de France National 3 Slalom Sud-Ouest - 64390 Sauveterre De Bearn - Finale","64390 Sauveterre De Bearn","Finale","finale","2019-04-21","Nationale 3","109"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Amelie Leclercq","C1D","134.63","492.47","665.6","finale a"
"Valentin Courtiade","C1H","93.7","314.06","321.76","finale a"
"Thierry Derouineau","C1H","94.62","364.51","334.88","finale a"
"Hugo Crespo","C1H","97.05","456.59","369.55","finale a"
"Antton Erdois","C1H","99.87","446.1","409.78","finale a"
"Loris Shayam Affre","C1H","100.55","445.22","419.48","finale a"
"Clement Brotier","C1H","101.33","443.7","430.61","finale a"
"Charley Sannier Durand","C1H","102.5","403.52","447.3","finale a"
"Axel Colin","C1H","105.76","489.36","493.81","finale a"
"Amaury Brucher","C1H","157.18","492.61","1227.38","finale a"
"Cerise Babin-Juliette Derouineau","C2D","160.56","983.86","835.11","finale a"
"Maxence Merpillat-Raphael Lassechere","C2H","107.38","770.33","447.29","finale a"
"Emilien Courtiade-Loris Shayam Affre","C2H","110.8","576.47","493.86","finale a"
"Antton Erdois-Nahia Oteiza","C2M","113.77","795.15","405.2","finale a"
"Cerise Babin-Clement Brotier","C2M","122.09","544.12","509.06","finale a"
"Amelie Leclercq","K1D","107.14","423.58","405.28","finale a"
"Juliette Derouineau","K1D","110.19","439.85","445.72","finale a"
"Laurence Pessoni","K1D","113.19","590.03","485.48","finale a"
"Noeline Pierre","K1D","114.73","531.13","505.9","finale a"
"Camille Santa Cruz","K1D","120.13","558.08","577.49","finale a"
"Solene Lafitte","K1D","166.75","587.12","1195.49","finale a"
"Ianis Fleury","K1H","86.03","307.2","273.7","finale a"
"Loris Shayam Affre","K1H","86.78","328.29","284.94","finale a"
"Amaury Brucher","K1H","87.04","273.77","288.83","finale a"
"Sebastien Mouyen Bie","K1H","89.11","467.97","319.84","finale a"
"Fantin Delage-garez","K1H","89.22","302.13","321.49","finale a"
"NaËl Rajoub","K1H","89.52","307.64","325.98","finale a"
"Maxence Davy","K1H","89.94","431.13","332.27","finale a"
"Yon Dandonneau","K1H","89.98","326.28","332.87","finale a"
"Paul Gobert","K1H","90.39","312.65","339.01","finale a"
"Fabien Paleau","K1H","90.84","320.88","345.75","finale a"
"Lukas Estanguet-santamaria","K1H","91.49","321.14","355.49","finale a"
"Owen Merpillat","K1H","91.53","522.72","356.09","finale a"
"Simon Tourtois","K1H","91.71","425.84","358.78","finale a"
"Angus Cruickshank","K1H","92.35","320.07","368.37","finale a"
"Axel Colin","K1H","92.44","388.83","369.72","finale a"
"Thomas Buffet","K1H","92.46","411.23","370.02","finale a"
"Edgar Paleaubrasseur","K1H","92.46","399.08","370.02","finale a"
"Nicolas Saurat","K1H","93.16","315.87","380.51","finale a"
"Antoine Raby","K1H","94.01","398.38","393.24","finale a"
"Jerome Trousson","K1H","94.31","346.22","397.73","finale a"
"Timeo Canonico","K1H","94.52","447.75","400.88","finale a"
"Edouard Patry","K1H","95.15","534.05","410.32","finale a"
"Julien Doumecq","K1H","95.78","431.65","419.75","finale a"
"Tom Delens","K1H","96.12","399.07","424.85","finale a"
"Arthur Caillaud-gault","K1H","96.26","449.36","426.94","finale a"
"Basile Drapier","K1H","96.62","435.97","432.34","finale a"
"Clement Brotier","K1H","96.63","524.45","432.49","finale a"
"Flavien Portier","K1H","97.23","523.92","441.47","finale a"
"Clement Claret","K1H","97.45","450.7","444.77","finale a"
"Emeric Nieser","K1H","97.6","505.52","447.02","finale a"
"Julien Dubarry","K1H","97.62","435.06","447.31","finale a"
"Aurele Neveu","K1H","98.63","487.12","462.44","finale a"
"Frederic Reus","K1H","98.74","425.56","464.09","finale a"
"Marin Saint Macary","K1H","98.92","447.03","466.79","finale a"
"Thomas TerrÉ","K1H","99.83","400.05","480.42","finale a"
"Yannis Dast","K1H","99.88","354.06","481.17","finale a"
"Thibault Marque","K1H","103.21","541.89","531.05","finale a"
"Hoel Carnot","K1H","105.03","484.13","558.31","finale a"
"Raphael Lassechere","C1H","98.71","380.26","398.23","finale b"
"Thomas TerrÉ","C1H","106.08","1848.81","503.38","finale b"
"Fantin Delage-garez","C1H","107.49","490.9","523.48","finale b"
"Paul Gobert","C1H","107.87","452.26","528.91","finale b"
"Emeric Nieser","C1H","109.17","774.61","547.45","finale b"
"Jeremy Bretteville","C1H","111.16","526.72","575.85","finale b"
"Julien Coric","C1H","112.79","551.45","599.1","finale b"
"Edgar Paleaubrasseur","C1H","162.93","647.01","1314.41","finale b"
"Aurele Neveu","C1H","178.08","647.03","1530.55","finale b"
"Souhayla Khattabi","K1D","110.71","463.26","457.61","finale b"
"Pauline Rouilhet","K1D","119.05","625.73","568.17","finale b"
"Chloe Bonnet","K1D","131.91","1693.6","738.65","finale b"
"Emma Angladette","K1D","134.38","894.32","771.38","finale b"
"Marine Cottu","K1D","181.24","719.99","1392.58","finale b"
"Pablo Chaminade","K1H","92.43","317.69","374.57","finale b"
"Tristan Ruiz","K1H","94.38","453.94","403.78","finale b"
"Pascal Dongarra","K1H","95.82","399.06","425.35","finale b"
"Remi Dolcin Tillant","K1H","97.29","483.9","447.37","finale b"
"Matheo Nassieu","K1H","99.0","552.64","472.99","finale b"
"Pierrealain Clerc","K1H","99.14","491.02","475.08","finale b"
"Lohan Wyon","K1H","101.18","478.58","505.64","finale b"
"Lucas Mauer","K1H","101.27","684.93","506.99","finale b"
"Sylvain Lauth","K1H","102.02","570.84","518.23","finale b"
