"Finale de la Coupe de France National 2 Slalom - 73700 Bourg St Maurice - Finale","73700 Bourg St Maurice","Finale","finale","2019-07-07","Nationale 2","46"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Laurine Salesse","C1D","135.98","229.58","220.44",""
"Lucille Meunier-cheyssac","C1D","141.47","282.41","268.32",""
"Laurine Naveau","C1D","152.7","319.39","366.27",""
"Romane Regnier","C1D","178.5","359.86","591.3",""
"Annaelle Meheut","C1D","180.46","478.0","608.39",""
"Perrine Joubert","C1D","197.01","258.46","752.74",""
"Elorri Erdois","C1D","280.73","419.96","1482.96",""
"Marthealice Beaurepaire","C1D","295.42","413.83","1611.08",""
"Youlia Estanguet","C1D","302.35","346.32","1671.53",""
"Nahia Oteiza","C1D","382.22","443.66","2368.17",""
"Nicolas Ducrocq","C1H","109.97","154.72","130.59",""
"Marc Sarramea","C1H","110.36","177.18","134.49",""
"Timothee Cornu","C1H","113.33","194.59","164.08",""
"Gaspard Perrio","C1H","116.2","182.83","192.7",""
"Mewen Debliquy","C1H","117.09","175.36","201.57",""
"Etienne Wiche","C1H","117.71","262.77","207.75",""
"Matthieu Le Gall","C1H","118.28","212.04","213.43",""
"Issam Chakir","C1H","118.71","196.91","217.72",""
"Leo Vuitton","C1H","121.14","225.95","241.93",""
"Theo Desvignes","C1H","167.35","203.49","702.57",""
"Emilien Kempf-Alexis Collin","C2H","140.93","853.32","375.35",""
"Romain Branjauneau-Samuel Vallienne","C2H","143.15","370.49","396.47",""
"Herve Busson-Vincent Froger","C2H","268.88","576.02","1592.8",""
"Luc Sarramea-Carla Lacroix","C2M","207.74","359.78","846.33",""
"Romane Bronchet-Romain Bruneau","C2M","240.28","900.6","1130.14",""
"Alexis Collin-Alicia Gallot","C2M","333.21","1325.26","1940.69",""
"Anneline Triomphe","K1D","121.89","171.77","163.39",""
"Solene Grenier","K1D","127.5","215.73","215.36",""
"Zoe Bruchon","K1D","129.93","199.43","237.86",""
"Eva Marchand","K1D","131.17","263.3","249.36",""
"Marie Amelie Silvin","K1D","131.24","223.84","250.0",""
"Camille Hurez","K1D","134.89","255.63","283.81",""
"Sarah Despres","K1D","140.33","209.24","334.2",""
"MaÏa Gombert","K1D","143.02","241.47","359.11",""
"Caroline Bourry","K1D","174.06","168.84","646.61",""
"Tiphaine Duboc","K1D","281.61","184.83","1642.78",""
"Pierre Marie Roussel","K1H","105.36","138.69","137.15",""
"Gael Adisson","K1H","106.45","124.99","148.56",""
"Louison Turmeau","K1H","107.3","135.88","157.46",""
"Valentin Courtiade","K1H","108.12","170.27","166.04",""
"Romain Bruneau","K1H","109.61","191.42","181.64",""
"Thibaud Lacour","K1H","110.66","216.98","192.63",""
"Alex Louveau","K1H","112.72","140.22","214.19",""
"Arnaud Verrons","K1H","112.99","156.32","217.01",""
"Lucas Augu","K1H","118.39","158.53","273.53",""
"Jeremie Palazy","K1H","154.29","143.34","649.28",""
