"Championnat de France Slalom par Equipe de Clubs - 57050 Longeville Les Metz - Championnat de France Slalom par Equipe de Clubs - 2019-07-26","Championnat de France Slalom par Equipe de Clubs","2019-07-26","Championnats de France","117"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Nicolas Scianimanico-Pierre Antoine Tillard-Tomy Dandonneau","EC1","104.34","-","3000",""
"Gaspard Perrio-Tiphaine Duboc-Nicolas Ducrocq","EC1","108.39","-","2896",""
"Baptiste Delaplace-Sebastien De Kerleau-Yann Rivallant","EC1","108.55","-","2792",""
"Hector Combes-Issam Chakir-Alexandre Ghirardi","EC1","109.08","-","2688",""
"Theo Reby-Jean Charles Hacquart-Marvin Tulpin","EC1","109.93","-","2583",""
"Gauthier Gonseth-Maxime Bottex-Antoine Gaillard","EC1","109.95","-","2479",""
"Hugo Latimier-Yoan Del Rey-Gauthier Klauss","EC1","110.61","-","2375",""
"Mathis Piepho-Yohann Senechault-Paul Cascarino","EC1","114.56","-","500",""
"Christophe Augu-Henri Despont-Kilian Foulon","EC1","116.22","-","2167",""
"Samuel Vallienne-Florian Busson-Guillaume Caron","EC1","117.3","-","2063",""
"Nicolas Gestin-Gireg Hamoniaux-Pascal Marrec","EC1","120.42","-","1958",""
"Gaspard Trichard-Louis Rathier-Titouan Conseil","EC1","120.9","-","1854",""
"Mewen Debliquy-Julien Mizzi-Romane Regnier","EC1","121.96","-","1750",""
"Andreas Dupuy-Etienne Nardeau-Aaron Penning","EC1","127.03","-","1646",""
"Alex Baldoni-Laurine Salesse-Youlia Estanguet","EC1","127.23","-","500",""
"Nil Georgel-Guillaume Gonseth-Cedric Mace","EC1","136.22","-","500",""
"Roman Souffez-Mathis Poree-Marin Salmon","EC1","137.61","-","500",""
"Claude Menissier-Thomas Koechlin-Frederic Momot","EC1","139.13","-","1229",""
"Franck Delachair-Baptiste Le Poncin-Philippe Quemerais","EC1","154.41","-","1125",""
"Thierry Derouineau-Faysal Ali Zazou-Charley Sannier Durand","EC1","155.38","-","1021",""
"Mathis Pomares-Fabien Bonvalet-Elise Masseline","EC1","167.17","-","917",""
"Titouan Carbon-Gaspard Gonseth-Jules Sourieau","EC1","174.83","-","500",""
"Zakaria Radouani-Oskar Hillion-Maxime Forcadette","EC1","182.25","-","708",""
"Timothee Clep-Paul Lecomte-Hugo Tellier","EC1","225.88","-","604",""
"Chloe Gatuingt-Leontine Dubuisson-Clemence Douche","EC1","323.9","-","500",""
"Gregory Ganthier-Emilien Kempf-Alexis Collin","EC2","141.14","-","3000",""
"Erwan Rouch-Arthur Grandemange-Clement Travert","EC2","159.37","-","500",""
"Loic Dufour","EIN","144.77","-","3000",""
"Alixe Degremont-Pauline Guiet-Marjorie Delassus","EKD","102.51","-","3000",""
"Carole Bouzidi-Mylene Ferry-Viviana Daille","EKD","110.79","-","2750",""
"Fanchon Janssen-Joana Palermo-Alexane Galmiche","EKD","111.8","-","2500",""
"Lea Baldoni-Doriane Delassus-Carla Lacroix","EKD","120.2","-","500",""
"Maœa Gombert-Margot Perrin-Mylene Guilcher","EKD","125.5","-","500",""
"Zoe Laurent-Jade Robin-Alicia Gallot","EKD","135.24","-","1750",""
"Loan Battistuzzi-Adele Charlaigre-Emilie Delahaye","EKD","138.02","-","1500",""
"Kesia Georgel-Marie Amelie Silvin-Iana Gonseth","EKD","139.55","-","1250",""
"Lilou Le Roux Divanac'h-Eva Marchand-Juna Marquet","EKD","165.54","-","1000",""
"Maude Dominique-Fiona Gille-Camille Hurez","EKD","192.94","-","750",""
"Lisa Manach-Charlotte Chauvey-Julie Dupas","EKD","204.33","-","500",""
"Lucas Latimier-Mathieu Biazizzo-Martin Daviet","EKH","90.18","-","3000",""
"Mathis Soudi-Yves Prigent-Hugo Regnier","EKH","91.5","-","2968",""
"Edgar Prigent-Guillaume Graille-Anatole Delassus","EKH","92.3","-","2935",""
"Gurgen Brun-Benjamin Jacon-Nicolas Baudoin","EKH","92.65","-","2903",""
"Simon Hene-Quentin Burgi-Charlie Barbier","EKH","92.96","-","2870",""
"Zeph Scamps-Pierre Giudicelli-Theo Desvignes","EKH","94.71","-","2838",""
"Pierre Bourliaud-Thomas Rosset-Benjamin Travostino","EKH","94.99","-","2805",""
"Hugo Monasse-Maxime Aubertin-Corentin Monasse","EKH","96.52","-","500",""
"Emmanuel Walczak-Enrick Cunsolo-Mathieu Doby","EKH","97.53","-","2740",""
"Matheo Lebaindre-Malo Quemeneur-Youn Aubry","EKH","99.35","-","2708",""
"Pol Euzenes-Valentin Brindeau-Pol Oulhen","EKH","99.88","-","2675",""
"Nathan Flageul-William Desnos-Sami Rocher","EKH","101.61","-","2643",""
"Paul Cornut-chauvinc-Gino Benini-Raphael Massot","EKH","101.91","-","2610",""
"Thomas Ukalovic-Lucas Augu-Terence Saramandif","EKH","102.51","-","2578",""
"Julien Fougeron-Vincent Delahaye-Melvin Queudeville","EKH","103.02","-","2545",""
"Paul Gobert-Adrien Mesmoudi-Cedric Landreau","EKH","103.4","-","500",""
"Mohamed Saœd Bekkadour-Noe Monier-Etienne Wiche","EKH","103.7","-","2481",""
"Baptiste Podor-Jerome Olhagaray-Silvere Desongins","EKH","104.44","-","2448",""
"Amaury Brucher-Eden Quevremont-Ianis Fleury","EKH","104.98","-","2416",""
"Lisa Mouffle-Thomas Bersinger-Solene Graille","EKH","105.95","-","500",""
"Loan Queffelec-Timothee Cornu-Arthur Mizzi","EKH","106.83","-","500",""
"Romain Branjauneau-Gaston Guilmard-Romain Bruneau","EKH","106.84","-","2318",""
"Raphael Lassechere-Antoine Roux-Nathan Hossin","EKH","106.85","-","500",""
"Lukas Estanguet-santamaria-Baptiste Delemotte-Yon Dandonneau","EKH","106.89","-","500",""
"Pierre Biagui-Robin Pottelette-Loric Bertrand Delorme","EKH","107.77","-","2221",""
"Antoine Marion-Theo Douady-Edouard Chenal","EKH","108.16","-","500",""
"Alexis Pacholak-Quentin Robert-Matthew Vuillard","EKH","108.24","-","2156",""
"Tom Milon-Martin Dubois-Clement Dubois","EKH","108.5","-","2123",""
"Hugo Martin -laemle-Julien Saguet-Thomas Schmitt","EKH","109.14","-","2091",""
