"SÈlectif rÈgional SLALOM & Manche 2/B ""Coupe rÈgionale Grand-Est""  - 67600 Selestat - Course n∞2 | Finale - 2019-09-22 Course n∞2 | Finale","67600 Selestat","Course n∞2 | Finale","finale","2019-09-22","RÈgional","200"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Lucille Meunier-cheyssac","C1D","111.49","268.61","318.34","finale a"
"Anastasia Pagel","C1D","114.4","425.3","352.35","finale a"
"Elena Hugues","C1D","114.74","295.82","356.33","finale a"
"Lolita Seguy","C1D","115.12","558.93","360.77","finale a"
"Claire Haab","C1D","115.39","401.7","363.92","finale a"
"Meryl Steinmann","C1D","119.39","381.39","410.68","finale a"
"Margot Perrin","C1D","124.02","481.49","464.8","finale a"
"Claire Colin","C1DM","135.01","539.08","593.25","finale a"
"Marion Galster","C1DM","155.0","766.16","826.92","finale a"
"Flavia Formica","C1DM","179.57","931.46","1114.12","finale a"
"Thomas L'huillier","C1H","95.12","127.75","285.83","finale a"
"Pierre Marie Roussel","C1H","95.14","318.43","286.09","finale a"
"Hugo Latimier","C1H","96.62","89.07","305.86","finale a"
"Jan Pischek","C1H","100.08","364.38","352.08","finale a"
"Christophe Despres","C1H","102.6","340.89","385.75","finale a"
"Loic Trenchant","C1H","104.1","149.33","405.79","finale a"
"Alexis Sevrez","C1H","104.27","416.09","408.06","finale a"
"Vivien Stemmelen","C1H","105.77","536.18","428.09","finale a"
"Jean Marc Trenchant","C1H","107.14","442.17","446.4","finale a"
"Jules Latimier","C1H","107.53","391.63","451.61","finale a"
"Otello Willmann Rosso","C1H","107.84","690.68","455.75","finale a"
"Hugo Monasse","C1H","108.43","507.82","463.63","finale a"
"Valentin Bostoen","C1H","110.69","546.18","493.82","finale a"
"Michel Bert","C1H","112.44","446.65","517.2","finale a"
"Anthony Menissier","C1H","113.38","509.33","529.76","finale a"
"Corentin Monasse","C1H","118.54","390.09","598.68","finale a"
"Joris Schaffner","C1H","121.2","467.66","634.23","finale a"
"Matthieu Koffel","C1H","123.6","910.32","666.28","finale a"
"Jules Vonderscher","C1H","178.71","333.81","1402.48","finale a"
"Antoine Guerne","C1HM","109.03","453.91","471.64","finale a"
"Salim Jemai","C1HM","110.79","813.75","495.15","finale a"
"Quentin Maillefer","C1HM","112.8","497.52","522.01","finale a"
"Jan Gabin Pischek","C1HM","120.73","630.15","627.94","finale a"
