"Sélectif Régional de Slalom - Orléans - Course n°2 | Finale","Orléans","Course n°2 | Finale","finale","2019-09-29","Régional","96"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Julie Dequeant","C1D","148.55","596.49","551.19","finale a"
"Perrine Augu","C1DM","141.31","480.64","476.9","finale a"
"Soizic Demaline","C1DM","158.95","1932.5","657.89","finale a"
"SÉrÉna Guibane","C1DM","203.48","968.73","1114.78","finale a"
"Charly Chassigneux","C1H","106.97","191.4","281.36","finale a"
"Riwan Guillermic","C1H","111.54","300.74","334.95","finale a"
"Paul Tallet Pinet","C1H","111.64","258.5","336.12","finale a"
"Marc Brodiez","C1H","113.85","430.27","362.04","finale a"
"Benjamin Harreau","C1H","118.87","500.28","420.9","finale a"
"Benjamin Thouvignon","C1H","119.73","443.59","430.99","finale a"
"Lucas Augu","C1H","121.65","428.77","453.49","finale a"
"Jeremy Bretteville","C1H","121.66","509.38","453.61","finale a"
"Collin Pouradier","C1H","121.66","500.35","453.61","finale a"
"Christian Auvolat","C1H","125.92","693.9","503.57","finale a"
"Killian Berlu","C1H","126.17","619.3","506.5","finale a"
"Maxime Moreau","C1HM","138.63","881.18","652.6","finale a"
"Robin Le Fellic","C1HM","138.66","1075.47","652.95","finale a"
"Leo Bonsens","C1HM","156.07","687.57","857.1","finale a"
"Thomas Sudron","C1HM","179.81","956.91","1135.47","finale a"
"Paul Tallet Pinet-Benoit Lecluse","C2H","129.41","979.95","475.51","finale a"
"Jeanfrancis Battesti-Pascal Brodiez","C2H","146.88","695.96","671.05","finale a"
"Thomas De Boysson-Childeric Thoreau","C2H","151.62","706.11","724.1","finale a"
"Nicolas Bougnon-Enzo Tisset","C2H","191.11","1215.05","1166.1","finale a"
"Julie Dequeant","K1D","130.43","471.68","448.17","finale a"
"Hortense Alexis","K1D","132.36","1277.75","469.2","finale a"
"Valentine Jussy","K1D","132.88","600.58","474.87","finale a"
"Lindsay Frenot","K1D","136.91","599.14","518.77","finale a"
"Virginie Picault","K1D","164.41","820.31","818.41","finale a"
"Perrine Augu","K1DM","125.3","488.25","392.28","finale a"
"Soizic Demaline","K1DM","152.59","1129.45","689.61","finale a"
"SÉrÉna Guibane","K1DM","153.0","680.37","694.08","finale a"
"Marie Alexis","K1DM","156.89","1180.47","736.47","finale a"
"Lucas Augu","K1H","95.45","145.05","202.24","finale a"
"Benjamin Harreau","K1H","98.2","221.31","236.1","finale a"
"Thomas Ukalovic","K1H","98.46","164.12","239.3","finale a"
"Collin Pouradier","K1H","99.52","289.74","252.35","finale a"
"Thibaud Lacour","K1H","100.29","206.12","261.83","finale a"
"Antoine Marion","K1H","102.93","285.96","294.33","finale a"
"Antonin Barraud","K1H","103.38","284.31","299.87","finale a"
"Jerome Trousson","K1H","107.55","334.45","351.22","finale a"
"Benjamin Thouvignon","K1H","107.94","245.33","356.02","finale a"
"Riwan Guillermic","K1H","109.53","390.43","375.59","finale a"
"Killian Berlu","K1H","111.86","508.35","404.28","finale a"
"Simon Labet","K1H","112.15","508.0","407.85","finale a"
"Beranger Doulle","K1H","115.41","517.82","447.99","finale a"
"Selyan Bourgognon","K1H","115.91","529.31","454.14","finale a"
"Ludovic Couture","K1H","117.31","527.48","471.38","finale a"
"Christian Auvolat","K1H","117.7","458.04","476.18","finale a"
"Romain Brouard","K1H","117.76","424.29","476.92","finale a"
"Paul Tallet Pinet","K1H","117.91","505.69","478.77","finale a"
"Childeric Thoreau","K1H","119.56","427.77","499.08","finale a"
"Nicolas Arnoult","K1H","122.19","515.65","531.46","finale a"
"Romain Magnier","K1H","122.39","489.65","533.93","finale a"
"Jeremy Bretteville","K1H","122.99","502.77","541.31","finale a"
"Leo Hohler","K1H","127.0","538.41","590.69","finale a"
"Maxime Moreau","K1HM","116.49","753.0","461.29","finale a"
"Leo Bonsens","K1HM","124.9","696.79","564.83","finale a"
"Robin Le Fellic","K1HM","130.87","675.6","638.33","finale a"
"Thomas Sudron","K1HM","134.08","601.09","677.86","finale a"
"Camille Gibouleau","K1HM","137.39","746.19","718.61","finale a"
"Louis Garon","K1HM","142.43","738.56","780.66","finale a"
"Antoine Marion","C1H","123.09","654.3","475.38","finale b"
"Thomas Ukalovic","C1H","125.91","636.24","508.44","finale b"
"Romain Brouard","C1H","125.95","695.24","508.91","finale b"
"Thibaud Lacour","C1H","126.61","464.65","516.65","finale b"
"Romain Magnier","C1H","134.65","612.56","610.93","finale b"
"Pascal Brodiez","C1H","135.09","726.18","616.09","finale b"
"Selyan Bourgognon","C1H","138.03","745.62","650.56","finale b"
"Jeanfrancis Battesti","C1H","147.24","796.72","758.56","finale b"
"Simon Labet","C1H","153.66","1343.05","833.84","finale b"
"Pierre Chassigneux","C1H","154.66","849.01","845.56","finale b"
"Matthieu Dehais","C1H","179.72","1190.9","1139.41","finale b"
"Guillaume Arnaud","K1H","114.06","397.01","436.37","finale b"
"Jikael Merlet","K1H","121.03","537.59","522.18","finale b"
"Thomas De Boysson","K1H","121.55","492.62","528.58","finale b"
"Leo Leblanc","K1H","124.25","859.69","561.83","finale b"
"Nicolas Leconte","K1H","125.48","487.31","576.97","finale b"
"Pascal Willano","K1H","125.7","647.84","579.68","finale b"
"Hugo Bardot","K1H","127.9","573.41","606.77","finale b"
"Benoit Lecluse","K1H","128.18","576.48","610.21","finale b"
"Victor Devoille","K1H","128.79","1015.06","617.72","finale b"
"Gregory Pailler","K1H","129.63","569.1","628.07","finale b"
"Steve Bruniquel","K1H","131.09","821.72","646.04","finale b"
"Nicolas Petipez","K1H","133.42","688.93","674.73","finale b"
"Matthieu Dehais","K1H","136.56","849.94","713.39","finale b"
"Yann Dhieux","K1H","146.6","649.94","837.0","finale b"
"Pierre Chassigneux","K1H","150.47","934.53","884.65","finale b"
"Denis Marrocos","K1H","154.48","892.42","934.02","finale b"
"Jean-marc Vallee","K1H","154.66","755.64","936.24","finale b"
"Victor Perrot","K1H","154.68","906.03","936.48","finale b"
"David Lacube","K1H","168.54","1153.85","1107.13","finale b"
"Nicolas Bougnon","K1H","176.85","650.71","1209.44","finale b"
"Noe Boidin","K1HM","124.36","997.02","563.18","finale b"
"Qeis Khalfaoui","K1HM","127.34","800.51","599.87","finale b"
"Pierre Renault Bleeker","K1HM","132.76","816.66","666.6","finale b"
"Thomas Auvolat","K1HM","164.94","1806.55","1062.81","finale b"
