"SÈlectif RÈgional Slalom (Double) - 42520 St Pierre De Boeuf - Course n∞2 | Finale - 2019-10-13","Course n∞2 | Finale","2019-10-13","RÈgional","285"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Angele Hug","C1D","106.95","105.59","129.9","Course n∞2 | Finale A"
"Tifenn Primet","C1D","123.61","256.59","304.03","Course n∞2 | Finale A"
"Viviana Daille","C1D","123.84","307.94","306.44","Course n∞2 | Finale A"
"Charlotte Grenier","C1D","139.67","473.58","471.9","Course n∞2 | Finale A"
"Mylene Ferry","C1D","140.49","411.9","480.47","Course n∞2 | Finale A"
"Leonie Reichert","C1DM","199.44","1321.39","1096.63","Course n∞2 | Finale A"
"Jules Bernardet","C1H","93.71","53.18","131.44","Course n∞2 | Finale A"
"Gireg Hamoniaux","C1H","95.96","138.94","158.32","Course n∞2 | Finale A"
"Sebastien De Kerleau","C1H","98.86","108.04","192.96","Course n∞2 | Finale A"
"Baptiste Delaplace","C1H","101.76","98.38","227.6","Course n∞2 | Finale A"
"Maxime Bottex","C1H","101.97","301.89","230.11","Course n∞2 | Finale A"
"Martin Daviet","C1H","102.39","223.07","235.13","Course n∞2 | Finale A"
"Etienne Wiche","C1H","105.91","227.92","277.18","Course n∞2 | Finale A"
"Gauthier Gonseth","C1H","107.72","356.46","298.79","Course n∞2 | Finale A"
"Frederic Amalbert","C1H","108.85","365.2","312.3","Course n∞2 | Finale A"
"Benjamin Guyon","C1H","109.42","289.72","319.11","Course n∞2 | Finale A"
"Ancelin Gourjault","C1H","110.24","363.65","328.89","Course n∞2 | Finale A"
"Nil Georgel","C1H","110.65","456.99","333.8","Course n∞2 | Finale A"
"Enki Georgel","C1H","111.27","383.59","341.2","Course n∞2 | Finale A"
"Jan Pischek","C1H","111.43","364.38","343.11","Course n∞2 | Finale A"
"Benjamin Maubert","C1H","114.34","319.56","377.87","Course n∞2 | Finale A"
"Gabin Siau","C1H","116.68","240.64","405.83","Course n∞2 | Finale A"
"Jules Bevalot","C1H","Abs","-","-","Course n∞2 | Finale A"
"Robin Le Fellic","C1HM","152.99","732.91","839.57","Course n∞2 | Finale A"
"Titouan Carbon","C1HM","235.62","752.99","1826.62","Course n∞2 | Finale A"
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","118.74","461.84","365.96","Course n∞2 | Finale A"
"Thomas Schmitt-Yann Rivallant","C2H","120.74","359.35","388.77","Course n∞2 | Finale A"
"Frederic Amalbert-Alexandre Georgel","C2H","122.77","396.55","411.91","Course n∞2 | Finale A"
"Etienne Wiche-Benjamin Guyon","C2H","125.45","484.01","442.47","Course n∞2 | Finale A"
"Philippe Senechal-Xavier Rat","C2H","Abd","-","-","Course n∞2 | Finale A"
"Corentin Talancieux-Anouk Alberti","C2M","147.22","1277.87","550.81","Course n∞2 | Finale A"
"Mathieu Monier-Chloe Faverjon","C2M","147.39","480.56","552.59","Course n∞2 | Finale A"
"Viviana Daille","K1D","102.42","143.75","148.87","Course n∞2 | Finale A"
"Mylene Ferry","K1D","103.4","166.4","159.74","Course n∞2 | Finale A"
"Angele Hug","K1D","105.24","54.17","180.17","Course n∞2 | Finale A"
"Anneline Triomphe","K1D","106.25","170.53","191.38","Course n∞2 | Finale A"
"Solene Grenier","K1D","107.19","215.14","201.81","Course n∞2 | Finale A"
"Fransiska Granzow","K1D","108.06","322.25","211.47","Course n∞2 | Finale A"
