"Challenge Bastien Damien. Beaurainville / Montreuil - 62170 Montreuil - Course n∞2 | Qualification","62170 Montreuil","Course n∞2 | Qualification","qualif","2019-10-13","RÈgional","147"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Tiphaine Duboc","C1D","108.96","131.43","235.62",""
"Romane Regnier","C1D","116.11","352.67","313.99",""
"Pauline Lybrecht","C1D","138.85","657.74","563.24",""
"Charline Dole","C1D","139.69","649.29","572.45",""
"Elise Vegnaduzzo","C1D","140.59","626.17","582.31",""
"Manon Le Lay","C1D","145.85","-","639.97",""
"Julie Dupas","C1D","156.98","573.29","761.97",""
"Emma Pouilly","C1DM","152.54","640.7","713.3",""
"Nicolas Ducrocq","C1H","99.02","140.75","281.72",""
"Yvan Leblond","C1H","104.67","274.36","352.49",""
"Hugo Tellier","C1H","104.8","377.11","354.12",""
"Hugo Regnier","C1H","107.79","295.56","391.58",""
"Virgile Bourlet De La Vallee","C1H","110.73","413.32","428.4",""
"Guillaume Doutreix","C1H","110.81","394.79","429.4",""
"Maxime Cousin","C1H","112.27","413.17","447.7",""
"Matheo Dupont","C1H","120.23","529.4","547.41",""
"Paul Lecomte","C1H","121.98","556.16","569.33",""
"Pierrick Gosselin","C1H","123.44","-","587.62",""
"Louis Marescot","C1H","123.48","454.71","588.12",""
"Thibaut Evrard","C1H","126.27","721.03","623.07",""
"Baptiste Duboc","C1H","129.05","581.56","657.9",""
"Benoit Guernic","C1H","131.01","792.19","682.45",""
"Denis Parizia","C1H","132.18","699.7","697.11",""
"Jean Messialle","C1H","132.5","780.33","701.11",""
"Samuel Lhote","C1H","143.04","770.93","833.16",""
"Louis Marvillet","C1H","147.9","1079.05","894.03",""
"Xavier Perreau","C1H","169.19","1087.59","1160.72",""
"Tom Raynaud","C1H","185.87","896.61","1369.67",""
"Pierric Clipet","C1HM","119.56","607.15","539.02",""
"Timothee Clep","C1HM","129.1","864.22","658.52",""
"Sacha Lebertre","C1HM","148.36","880.68","899.79",""
"Quentin Dubelloy","C1HM","154.32","992.27","974.45",""
"Antoine Fournier","C1HM","164.72","1026.02","1104.73",""
"Leo Le Sort","C1HM","166.16","-","1122.78",""
"Nathan Morris","C1HM","176.37","1115.81","1250.66",""
"Romain Podevin","C1HM","178.06","1375.66","1271.84",""
"Raphael Paul Donatien","C1HM","239.77","-","2044.87",""
"Nicolas Ducrocq-Luca Dos Santos","C2H","133.32","518.21","635.48",""
"Denis Parizia-Yohan Marck","C2H","155.18","783.02","896.87",""
"Jean Messialle-Florent Bernard","C2H","155.49","1085.97","900.58",""
"Paul Lecomte-Quentin Podevin","C2H","155.83","946.13","904.64",""
"Nicolas Ducrocq-Charline Dole","C2M","132.29","583.08","491.34",""
"Lucas Jacob-Manon Le Lay","C2M","142.53","1099.72","603.58",""
"Samuel Lhote-Lisa Bou…","C2M","194.74","-","1175.85",""
"Timothee Clep-Emma Pouilly","C2MM","160.71","1157.47","802.85",""
"Antoine Fournier-Lea Brioiskheroufi","C2MM","219.59","1759.77","1448.24",""
"Tiphaine Duboc","K1D","105.39","184.83","268.05",""
"Romane Regnier","K1D","111.06","284.58","334.05",""
"Manon Le Lay","K1D","117.53","458.23","409.36",""
"Lisa Manach","K1D","126.31","492.08","511.56",""
"Julie Dupas","K1D","127.71","360.18","527.86",""
"Elise Vegnaduzzo","K1D","132.51","504.74","583.72",""
"Lisa Bou…","K1D","136.45","687.72","629.58",""
"Pauline Lybrecht","K1D","137.12","591.1","637.38",""
"Charline Dole","K1D","144.01","738.16","717.58",""
"Angeline Dheilly","K1D","149.53","908.92","781.83",""
"Lola Arroyo","K1D","175.0","943.38","1078.3",""
