"SÈlectif RÈgional Slalom de l'Isle de la Serre - 01150 Lagnieu - Course n∞1 | Finale - 2019-10-26","01150 Lagnieu","Course n∞1 | Finale","finale","2019-10-26","RÈgional","222"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Viviana Daille","C1D","123.18","316.83","261.63","finale a"
"Kesia Georgel","C1D","133.51","416.06","364.09","finale a"
"Charlotte Grenier","C1D","157.89","473.55","605.9","finale a"
"Lynn Giordano Bobee","C1DM","420.74","3502.03","3212.96","finale a"
"Gireg Hamoniaux","C1H","100.42","138.13","178.18","finale a"
"Sebastien De Kerleau","C1H","100.69","115.42","181.24","finale a"
"Loic Trenchant","C1H","103.16","149.33","209.24","finale a"
"Benjamin Jacon","C1H","106.28","255.18","244.6","finale a"
"Nathan Hossin","C1H","106.94","133.47","252.09","finale a"
"Tanguy Adisson","C1H","108.07","208.35","264.89","finale a"
"Baptiste Delaplace","C1H","109.46","103.58","280.65","finale a"
"Matthieu Le Gall","C1H","109.61","201.43","282.34","finale a"
"Benjamin Guyon","C1H","110.53","293.55","292.78","finale a"
"Etienne Wiche","C1H","115.44","227.92","348.44","finale a"
"Aurelien Merieux Danneaux","C1H","115.98","338.91","354.55","finale a"
"Maxime Bottex","C1H","116.08","301.87","355.68","finale a"
"Gauthier Gonseth","C1H","116.97","356.36","365.78","finale a"
"Nil Georgel","C1H","120.67","456.97","407.72","finale a"
"Nicolas Detheve","C1H","157.97","413.79","830.53","finale a"
"Gabin Siau","C1H","166.38","240.62","925.85","finale a"
"Martin Daviet","C1H","168.2","223.07","946.48","finale a"
"Ianis Triomphe","C1HM","128.86","519.56","500.56","finale a"
"Luca Chapatte","C1HM","138.73","616.04","612.44","finale a"
"Axel Brossat","C1HM","168.26","968.44","947.17","finale a"
"Maya Georgel-Leonie Reichert","C2DM","530.61","2217.7","3897.87","finale a"
"Nicolas Detheve-Nil Georgel","C2H","185.05","477.15","1042.14","finale a"
"Etienne Wiche-Benjamin Guyon","C2H","199.76","483.87","1201.3","finale a"
"Hugo Tellier-Florian Jumetz","C2H","210.48","628.17","1317.29","finale a"
"Antoine Carrere-Benjamin Peuch","C2HM","712.16","3346.07","6745.51","finale a"
"Mathieu Monier-Chloe Faverjon","C2M","155.21","513.72","579.32","finale a"
"Iana Gonseth-Joao Normand","C2MM","168.53","598.88","711.44","finale a"
