"Sélectif Régional Slalom (Double) - 64320 Bizanos - Course n°2 | Finale","64320 Bizanos","Course n°2 | Finale","finale","2019-10-27","Régional","286"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Marjorie Delassus","C1D","100.82","50.27","83.37","finale a"
"Margaux Henry","C1D","106.43","90.03","141.26","finale a"
"Doriane Delassus","C1D","107.69","157.92","154.27","finale a"
"Emma Vuitton","C1D","108.06","212.79","158.08","finale a"
"Ella Bregazzi","C1D","109.19","80.51","169.75","finale a"
"Laurene Roisin","C1D","111.86","153.64","197.3","finale a"
"Tiphaine Duboc","C1D","112.98","131.43","208.86","finale a"
"Camille Castryck","C1D","117.33","171.96","253.75","finale a"
"Youlia Estanguet","C1D","131.68","356.33","401.84","finale a"
"Pierre Antoine Tillard","C1H","90.61","42.87","111.58","finale a"
"Antoine Gaillard","C1H","91.06","83.51","116.89","finale a"
"Lucas Roisin","C1H","91.66","64.92","123.97","finale a"
"Alexis Bobon","C1H","93.03","56.61","140.13","finale a"
"Alexandre Ghirardi","C1H","94.29","206.57","154.99","finale a"
"Marc Sarramea","C1H","94.45","160.75","156.87","finale a"
"Yohann Senechault","C1H","94.79","77.4","160.88","finale a"
"Edern Le Ruyet","C1H","95.6","43.86","170.44","finale a"
"Mewen Debliquy","C1H","97.87","175.36","197.21","finale a"
"Valentin Marteil","C1H","97.88","80.64","197.33","finale a"
"Nicolas Ducrocq","C1H","98.63","140.75","206.17","finale a"
"Kilian Foulon","C1H","99.21","52.36","213.02","finale a"
"Mathurin Madore","C1H","100.44","163.59","227.52","finale a"
"Hector Combes","C1H","100.53","125.9","228.58","finale a"
"Luc Sarramea","C1H","100.98","92.33","233.89","finale a"
"Tomy Dandonneau","C1H","101.77","240.1","243.21","finale a"
"Gaspard Perrio","C1H","102.63","159.89","253.35","finale a"
"Nicolas Scianimanico","C1H","103.0","113.36","257.72","finale a"
"Julien Mizzi","C1H","104.1","266.25","270.69","finale a"
"Adrien Fischer","C1H","147.11","123.83","777.97","finale a"
