"Championnat RÈgional de Slalom - 22300 Lannion - Finale","22300 Lannion","Finale","finale","2019-12-15","RÈgional","193"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Romane Regnier","C1D","117.47","338.28","201.96","finale a"
"Claire Moal","C1D","123.72","355.17","265.96","finale a"
"Eva Marchand","C1D","124.97","317.48","278.76","finale a"
"Helene Raguenes","C1D","140.8","459.78","440.85","finale a"
"L…na Quemerais","C1DM","134.06","522.94","371.84","finale a"
"Yves Bourhis","C1H","95.84","121.42","120.67","finale a"
"Valentin Marteil","C1H","96.16","80.64","124.41","finale a"
"Jean Pierre Bourhis","C1H","96.76","153.78","131.43","finale a"
"Nicolas Gestin","C1H","97.45","53.55","139.51","finale a"
"Cedric Joly","C1H","99.18","37.25","159.75","finale a"
"Gaspard Perrio","C1H","100.37","159.89","173.68","finale a"
"Timothee Cornu","C1H","100.38","180.68","173.8","finale a"
"Corentin Oulhen","C1H","100.51","102.23","175.32","finale a"
"Mewen Debliquy","C1H","101.41","175.36","185.85","finale a"
"Baptiste Le Poncin","C1H","102.06","181.93","193.46","finale a"
"Glen Le Meur","C1H","104.04","216.69","216.63","finale a"
"Gwenole Noyalet","C1H","106.49","297.31","245.3","finale a"
"Hugo Regnier","C1H","107.94","299.53","262.27","finale a"
"Luc Hellard","C1H","108.21","310.17","265.43","finale a"
"Marin Salmon","C1H","108.84","368.15","272.8","finale a"
"Matheo Lebaindre","C1H","109.67","292.1","282.52","finale a"
"Julien Mizzi","C1H","110.23","237.56","289.07","finale a"
"Medhi Deguil","C1H","111.53","387.88","304.28","finale a"
"Mathis Poree","C1H","114.14","373.43","334.83","finale a"
"Martin Cornu","C1HM","113.38","432.28","325.94","finale a"
"Elouan Debliquy","C1HM","122.17","463.36","428.8","finale a"
"Malik Mahe","C1HM","161.77","948.09","892.24","finale a"
"Julien Rocaboy-Melaine Pichard","C2H","116.24","377.93","297.58","finale a"
"Romane Regnier","K1D","109.18","258.31","186.33","finale a"
"Claire Moal","K1D","110.78","238.9","203.72","finale a"
"Anne Boixel","K1D","111.25","237.84","208.83","finale a"
"Eva Marchand","K1D","113.37","254.97","231.88","finale a"
"Morgane Quemerais","K1D","117.93","366.6","281.48","finale a"
"Clara Grangeon","K1D","122.82","391.59","334.65","finale a"
"Sylviane Quemerais","K1D","124.95","403.53","357.81","finale a"
"Veronique Vourch","K1D","135.49","461.72","472.43","finale a"
"Helene Raguenes","K1D","136.33","407.5","481.56","finale a"
"Anais Bernardy","K1D","155.11","213.19","685.78","finale a"
