"Compétition Régionale de Slalom - 29800 Landerneau - Finale - 2020-01-19","Finale","2020-01-19","Régional","60"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Eva Marchand","C1D","119.66","309.93","300.58","Finale A"
"Gwendoline Hall","C1D","164.6","1143.86","781.99","Finale A"
"Aurelie Hall","C1D","191.43","1136.65","1069.39","Finale A"
"Clara Perrot","C1DM","208.28","1038.13","1249.89","Finale A"
"Sarah Petibon","C1DM","303.14","2767.35","2266.04","Finale A"
"Yves Bourhis","C1H","95.1","116.64","183.02","Finale A"
"Jean Pierre Bourhis","C1H","97.51","148.4","212.53","Finale A"
"Corentin Oulhen","C1H","97.86","102.23","216.81","Finale A"
"Marin Salmon","C1H","107.27","347.79","332.01","Finale A"
"Mathis Poree","C1H","116.22","363.32","441.58","Finale A"
"Roman Souffez","C1H","124.04","638.69","537.31","Finale A"
"Denis Voisin","C1H","130.86","473.57","620.82","Finale A"
"Timothe Balbous","C1HM","166.77","1307.71","1060.44","Finale A"
"Gwendoline Hall-Aurelie Hall","C2D","218.18","1625.98","1176.16","Finale A"
"Sarah Petibon-Clara Perrot","C2DM","210.62","2051.37","1101.4","Finale A"
"Florian Szabo-Pacome Michel","C2H","195.83","1232.75","1307.22","Finale A"
"Camille Jonneaux-Matheo Lebaindre","C2M","148.2","699.46","606.3","Finale A"
"Mathieu Le Gall-Lisa Salou","C2M","190.35","1042.14","1057.82","Finale A"
"Gwendoline Hall","K1D","124.13","493.43","430.84","Finale A"
"Juna Marquet","K1D","124.89","521.34","439.48","Finale A"
"Lilou Le Roux Divanac'h","K1D","137.06","631.88","577.92","Finale A"
"Camille Jonneaux","K1D","138.45","707.72","593.73","Finale A"
"Aurelie Hall","K1D","139.66","951.32","607.5","Finale A"
"Lisa Salou","K1D","150.74","738.95","733.54","Finale A"
"Clara Perrot","K1DM","137.85","583.05","586.91","Finale A"
"Sarah Petibon","K1DM","174.89","1192.44","1008.26","Finale A"
"Valentin Brindeau","K1H","89.96","132.46","175.16","Finale A"
"Matheo Lebaindre","K1H","90.42","147.17","181.07","Finale A"
"Pol Euzenes","K1H","90.68","183.45","184.42","Finale A"
"Paul Gestin","K1H","92.61","171.48","209.23","Finale A"
"Nicolas Mevel","K1H","95.88","191.16","251.26","Finale A"
"Yves Bourhis","K1H","96.37","291.04","257.56","Finale A"
"Oscar Donval","K1H","101.92","372.57","328.9","Finale A"
"Tom Seguillon","K1H","104.97","434.27","368.11","Finale A"
"Pierre-yves Lebreton","K1H","106.27","390.94","384.82","Finale A"
"Malo Marquet","K1H","112.74","424.83","467.99","Finale A"
"Marin Salmon","K1H","112.86","405.34","469.53","Finale A"
"Clement Salaun","K1H","124.36","713.33","617.36","Finale A"
"Albin Salaun","K1H","146.24","1033.83","898.61","Finale A"
"Briac Legendre","K1H","154.79","874.35","1008.52","Finale A"
"Mathis Colin","K1HM","149.4","1207.48","939.24","Finale A"
"Timothe Balbous","K1HM","150.78","1111.57","956.97","Finale A"
"Quentin Maisonneuve","K1HM","154.31","1425.34","1002.35","Finale A"
"Diwan Le Goff","K1HM","224.76","2104.21","1907.95","Finale A"
"Nicolas Mevel","C1H","118.58","524.58","475.47","Finale B"
"Titouan Briand","C1H","148.73","819.59","844.59","Finale B"
"Pacome Michel","C1H","153.14","1011.05","898.58","Finale B"
"Florian Szabo","C1H","154.85","787.38","919.5","Finale B"
"Eva Marchand","K1D","111.17","242.84","288.4","Finale B"
"Sylvain Premel","K1H","108.4","601.22","417.2","Finale B"
"Mathis Poree","K1H","109.47","749.32","430.95","Finale B"
"Mathieu Le Gall","K1H","114.12","507.98","490.73","Finale B"
"Florian Szabo","K1H","114.5","632.37","495.61","Finale B"
"Hoel Carnot","K1H","115.09","488.53","503.2","Finale B"
"Gaetan Le Jeune","K1H","116.63","612.47","522.99","Finale B"
"Pacome Michel","K1H","123.83","731.15","615.54","Finale B"
"Tanguy Rolland","K1H","123.98","721.9","617.47","Finale B"
"Valentin Rolland","K1H","128.18","782.62","671.46","Finale B"
"Titouan Briand","K1H","130.56","740.43","702.06","Finale B"
"Roman Souffez","K1H","137.59","763.19","792.42","Finale B"
