"Manche de la Coupe de France National 2 Slalom - 22300 Lannion - Finale","22300 Lannion","Finale","finale","2020-02-23","Nationale 2","173"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Amaurie Guilleret","C1D","148.61","292.88","328.36","finale a"
"Clara Delahaye","C1D","159.33","405.25","425.33","finale a"
"Emilie Delahaye","C1D","163.47","529.32","462.78","finale a"
"Margaux Fabijan","C1D","168.5","357.87","508.28","finale a"
"Margot Perrin","C1D","175.11","475.18","568.07","finale a"
"Louis Rathier","C1H","114.52","265.85","167.98","finale a"
"Paul Cascarino","C1H","118.49","258.96","209.02","finale a"
"Gwenole Noyalet","C1H","119.33","354.91","217.7","finale a"
"Thomas Launay","C1H","119.51","198.33","219.56","finale a"
"Samuel Vallienne","C1H","121.1","269.14","235.99","finale a"
"Benoit Chantry","C1H","122.22","235.86","247.58","finale a"
"Hugo Regnier","C1H","125.34","289.99","279.83","finale a"
"Luc Hellard","C1H","125.53","334.21","281.79","finale a"
"Emeric Bertrand","C1H","127.5","328.57","302.17","finale a"
"Guillaume Caron","C1H","127.61","343.57","303.3","finale a"
"Hugo Baillet","C1H","131.87","387.87","347.33","finale a"
"Hugo Tellier","C1H","132.12","363.86","349.93","finale a"
"Thierry Derouineau","C1H","132.42","331.6","353.02","finale a"
"Mathis Poree","C1H","132.76","363.32","356.54","finale a"
"Alexis Sevrez","C1H","144.29","369.9","475.74","finale a"
"Fabien Bonvalet","C1H","178.73","381.45","831.79","finale a"
"Louis Rathier-Titouan Conseil","C2H","149.48","402.7","459.15","finale a"
"Hugo Tellier-Florian Jumetz","C2H","164.77","582.43","610.04","finale a"
"Bertrand Avril-Nicolas Dupres","C2H","181.28","602.07","772.96","finale a"
"Pierre Hellard-Youn Aubry","C2H","332.23","698.99","2262.57","finale a"
"Nicolas Ducrocq-Tiphaine Duboc","C2M","158.36","422.49","416.56","finale a"
"Axel Guilleret-Amaurie Guilleret","C2M","166.71","489.07","492.09","finale a"
"Chloe Gatuingt-Quentin Angot","C2M","227.54","657.34","1042.35","finale a"
"Alexis Sevrez-Charlotte Chauvey","C2M","248.01","911.31","1227.52","finale a"
"Romane Regnier","K1D","132.88","251.67","260.53","finale a"
"Alice Azam","K1D","133.4","300.87","265.52","finale a"
"Clara Delahaye","K1D","134.72","317.13","278.2","finale a"
"Margot Perrin","K1D","135.16","288.61","282.43","finale a"
"Camille Hurez","K1D","136.38","268.17","294.14","finale a"
"Myriam Le Joncourt","K1D","136.55","340.67","295.78","finale a"
"Estelle Hellard","K1D","137.95","302.27","309.23","finale a"
"Margaux Fabijan","K1D","138.22","356.14","311.83","finale a"
"Adele Charlaigre","K1D","140.17","413.27","330.55","finale a"
"Manon Le Lay","K1D","140.84","570.51","336.99","finale a"
"Tifenn Primet","K1D","143.02","748.82","357.93","finale a"
"Angelique Guilcher","K1D","143.36","271.44","361.2","finale a"
"Mylene Guilcher","K1D","145.41","420.57","380.89","finale a"
"Sylviane Quemerais","K1D","147.46","443.88","400.59","finale a"
"Laurie Beaurepere","K1D","147.6","458.6","401.92","finale a"
