"Manche de la Coupe de France National 3 Slalom - 62990 Beaurainville - Finale - 2020-03-08","Finale","2020-03-08","Nationale 3","168"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Nina Pesce-roue","C1D","136.61","463.96","507.68","Finale A"
"Pauline Lybrecht","C1D","141.28","587.02","558.43","Finale A"
"Elise Masseline","C1D","146.71","485.25","617.44","Finale A"
"Coline Regnier","C1D","148.74","651.97","639.51","Finale A"
"Julie Dupas","C1D","154.38","510.8","700.81","Finale A"
"Estelle Brodin","C1D","155.39","899.32","711.79","Finale A"
"Mylene Despres","C1D","189.2","580.41","1079.27","Finale A"
"Lorrie Delattre","C1H","108.46","294.95","370.12","Finale A"
"Matheo Dupont","C1H","109.76","517.57","386.26","Finale A"
"Florian Jumetz","C1H","111.5","589.97","407.87","Finale A"
"Guillaume Doutreix","C1H","117.67","436.76","484.53","Finale A"
"Paul Dupre","C1H","117.69","444.15","484.77","Finale A"
"Thibaut Evrard","C1H","123.61","557.84","558.31","Finale A"
"Timothee Clep","C1H","126.76","642.58","597.44","Finale A"
"Eric Beaumont","C1H","127.44","445.15","605.87","Finale A"
"Pierric Clipet","C1H","127.59","598.29","607.74","Finale A"
"Robin Dheilly","C1H","138.04","490.2","737.55","Finale A"
"Benjamin Soroka","C1H","170.2","537.16","1137.02","Finale A"
"Louison Decarsin","C1H","247.41","578.35","2096.1","Finale A"
"Emeric Bertrand-Franck Cahagne","C2H","133.34","538.4","603.88","Finale A"
"Benjamin Soroka-Edouard Gracias","C2H","136.72","599.83","643.96","Finale A"
"Mathis Piepho-Paul Cascarino","C2H","136.79","667.57","644.79","Finale A"
"Fabien Bonvalet-Mathis Pomares","C2H","153.28","693.95","840.3","Finale A"
"Thibaut Evrard-Matheo Dupont","C2H","185.38","908.57","1220.91","Finale A"
"Axel Colin-Clement Brault","C2H","192.67","976.69","1307.36","Finale A"
"Pauline Lybrecht-Hugo Tellier","C2M","154.8","1024.6","705.38","Finale A"
"Pierric Clipet-Coline Regnier","C2M","160.35","795.82","765.7","Finale A"
"Axel Colin-Nina Pesce-roue","C2M","165.45","551.62","821.13","Finale A"
"Eloise Riviere-Antoine Martin","C2M","190.25","1188.62","1090.68","Finale A"
"Chloe Gatuingt-Olivier Dulouard","C2M","222.61","846.33","1442.39","Finale A"
"Clemence Douche-Bertrand Avril","C2M","287.55","1097.25","2148.22","Finale A"
"Lisa Manach","K1D","129.27","483","514.93","Finale A"
"Emma Pouilly","K1D","131.71","575.53","543.1","Finale A"
"Estelle Brodin","K1D","136.02","650.75","592.84","Finale A"
"Eloise Riviere","K1D","212.16","570.28","1471.66","Finale A"
"Zoe Dronne","K1D","265.64","573.1","2088.94","Finale A"
"Elodie Thomasset","K1D","308.46","787.43","2583.17","Finale A"
"Blanche Leborgne","K1D","Des","-","-","Finale A"
"Jade Cascarino","K1D","Des","-","-","Finale A"
"Vincent Hannedouche","K1H","97.11","304.82","289.45","Finale A"
"Yohan Marck","K1H","99.22","328.57","316.97","Finale A"
"Jean Messialle","K1H","102.03","306.23","353.62","Finale A"
"Hugo Tellier","K1H","102.84","405.28","364.18","Finale A"
"Paul Dupre","K1H","102.99","403.19","366.14","Finale A"
"Louis Debureaux","K1H","104.03","351.4","379.7","Finale A"
"Matteo Figueiredo Alves","K1H","104.22","499.89","382.18","Finale A"
"Benoit Guernic","K1H","104.29","411.67","383.09","Finale A"
"Mathis Piepho","K1H","104.75","347.14","389.09","Finale A"
"Axel Girard","K1H","104.82","419.8","390.01","Finale A"
"Bertrand Avril","K1H","105.97","367.92","405","Finale A"
"Florian Jumetz","K1H","106.28","368.69","409.05","Finale A"
"Tom Raynaud","K1H","106.91","527.85","417.26","Finale A"
"Paul Cascarino","K1H","107.2","404.57","421.05","Finale A"
