"Manche de la Coupe de France National 3 Slalom - 86390 Lathus St Remy - Finale - 2020-03-08","86390 Lathus St Remy","Finale","finale","2020-03-08","Nationale 3","156"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Romane Bronchet","C1D","125.55","424.01","477.68","finale a"
"Alice Daniels","C1D","130.78","488.78","538.32","finale a"
"Zoe Malval","C1D","138.28","544.14","625.28","finale a"
"Noeline Pierre","C1D","153.16","411.85","797.81","finale a"
"Camille Vuitton","C1D","172.86","536.81","1026.24","finale a"
"Emilie Chamouleau","C1D","190.41","505.9","1229.74","finale a"
"Lynn Giordano Bobee","C1D","253.42","603.58","1960.35","finale a"
"Christophe Marechal","C1H","99.49","363.29","340.31","finale a"
"Aurele Neveu","C1H","104.16","635.18","402.19","finale a"
"Emeric Nieser","C1H","104.63","466.25","408.42","finale a"
"Frederic Boob","C1H","105.22","446.47","416.25","finale a"
"Gurgen Brun","C1H","106.42","347.35","432.14","finale a"
"Valentin Courtiade","C1H","106.55","245.2","433.86","finale a"
"Christian Boob","C1H","108.06","506.8","453.87","finale a"
"Nicolas Rouleaud","C1H","108.36","495.96","457.85","finale a"
"Dominik Gosset","C1H","109.82","343.5","477.19","finale a"
"Maxime Blondeau","C1H","111.03","694.49","493.23","finale a"
"Benjamin Roy","C1H","111.85","501.32","504.1","finale a"
"Gaspard Trichard","C1H","111.86","384.61","504.23","finale a"
"Dylan Renneteau","C1H","188.57","308.83","1520.75","finale a"
"Adrien Roux-Guillaume Lopes","C2H","198.35","913.92","1530.88","finale a"
"Yann Vergelin-Arold Pietrain","C2H","227.7","1155.38","1902.14","finale a"
"Alice Bureau-Gaspard Trichard","C2M","221.48","746.49","1590.01","finale a"
"Avril Saut","K1D","117.73","454.03","471.57","finale a"
"Alice Daniels","K1D","122.32","458.8","528.09","finale a"
"Louise Turgis","K1D","123.81","621.74","546.43","finale a"
"Camille Vuitton","K1D","126.34","474.42","577.58","finale a"
"Lauren Leclercq","K1D","126.6","553.69","580.78","finale a"
"Lynn Giordano Bobee","K1D","126.9","590.33","584.48","finale a"
"Alexia Bechu","K1D","130.13","438.46","624.25","finale a"
"Rozmarina Estanguet","K1D","139.58","471.21","740.61","finale a"
"Damien Launay","K1H","90.13","289.2","275.99","finale a"
"Florent Iraundegui","K1H","92.18","258.69","304.51","finale a"
"Adrien Ricaud","K1H","94.93","430.03","342.78","finale a"
"Alex Baldoni","K1H","95.58","342.76","351.82","finale a"
"Jacques Precigout","K1H","95.89","335.99","356.14","finale a"
"Lohan Wyon","K1H","96.32","397.57","362.12","finale a"
"Edgar Paleaubrasseur","K1H","97.53","347.06","378.96","finale a"
"Elian Giondini","K1H","97.81","431.94","382.85","finale a"
"Julien Doumecq","K1H","97.88","328.36","383.83","finale a"
"Denis Guilmard","K1H","98.6","335.53","393.84","finale a"
"Axel Brin","K1H","99.2","507.42","402.19","finale a"
