"50ème Grand Prix de Pau - 64320 Bizanos - Course n°2 | Finale - 2020-09-06","Course n°2 | Finale","2020-09-06","Régional","246"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Claire Jacquet","C1D","102.27","194.37","202.98","Course n°2 | Finale A"
"Lucie Baudu","C1D","102.94","195.77","210.48","Course n°2 | Finale A"
"Ella Bregazzi","C1D","103.09","229.06","212.16","Course n°2 | Finale A"
"Jessica Fox","C1D","104.19","177.68","224.48","Course n°2 | Finale A"
"Margaux Henry","C1D","106.2","170.81","246.98","Course n°2 | Finale A"
"Lucie Prioux","C1D","109.25","574.06","281.13","Course n°2 | Finale A"
"Angele Hug","C1D","111.95","180.96","311.36","Course n°2 | Finale A"
"Emma Vuitton","C1D","117.23","322.82","370.47","Course n°2 | Finale A"
"Laurene Roisin","C1D","160.42","884.66","853.99","Course n°2 | Finale A"
"Cedric Joly","C1H","86.99","115.67","171.05","Course n°2 | Finale A"
"Jules Bernardet","C1H","88.62","131.67","191.9","Course n°2 | Finale A"
"Lucas Roisin","C1H","88.89","362.19","195.35","Course n°2 | Finale A"
"Pierre Antoine Tillard","C1H","89.61","131.32","204.57","Course n°2 | Finale A"
"Martin Thomas","C1H","91.76","205.03","232.08","Course n°2 | Finale A"
"Luc Sarramea","C1H","93.74","165.02","257.41","Course n°2 | Finale A"
"Adrien Fischer","C1H","94.11","170.28","262.14","Course n°2 | Finale A"
"Valentin Marteil","C1H","94.69","116.63","269.57","Course n°2 | Finale A"
"Antoine Gaillard","C1H","94.99","109.93","273.4","Course n°2 | Finale A"
"Marc Sarramea","C1H","98.16","346.75","313.96","Course n°2 | Finale A"
"Theo Roisin","C1H","99.02","410.41","324.97","Course n°2 | Finale A"
"Nicolas Scianimanico","C1H","100.79","240.45","347.61","Course n°2 | Finale A"
"Terence Saramandif","C1H","102.61","177.04","370.9","Course n°2 | Finale A"
"Faysal Ali Zazou","C1H","105.64","223.83","409.67","Course n°2 | Finale A"
"Henri Despont","C1H","109.76","199.32","462.38","Course n°2 | Finale A"
"Alex Baldoni","C1H","110.61","270.36","473.26","Course n°2 | Finale A"
"Emilien Courtiade","C1H","115.52","425.21","536.08","Course n°2 | Finale A"
"Titouan Estanguet","C1HM","133.34","519.68","764.07","Course n°2 | Finale A"
"Ilyam Affre","C1HM","Abd","-","-","Course n°2 | Finale A"
"Luc Sarramea-Carla Lacroix","C2M","131.13","388.82","526.08","Course n°2 | Finale A"
"Alex Baldoni-Laurine Salesse","C2M","215","341.63","1465.04","Course n°2 | Finale A"
"Lucie Baudu","K1D","96.15","239.89","201.15","Course n°2 | Finale A"
"Lucie Prioux","K1D","97.21","302.01","213.75","Course n°2 | Finale A"
"Berenice Kolenc","K1D","97.36","160.1","215.54","Course n°2 | Finale A"
"Angele Hug","K1D","97.44","112.5","216.49","Course n°2 | Finale A"
"Jessica Fox","K1D","97.47","215.04","216.84","Course n°2 | Finale A"
"Alixe Degremont","K1D","98.03","285.91","223.5","Course n°2 | Finale A"
"Marie-zelia Lafont","K1D","98.17","181.27","225.17","Course n°2 | Finale A"
"Emma Vuitton","K1D","98.67","123.5","231.11","Course n°2 | Finale A"
"Coline Charel","K1D","99.04","219.2","235.51","Course n°2 | Finale A"
"Eva Pietracha","K1D","100.76","161.95","255.96","Course n°2 | Finale A"
"Doriane Delassus","K1D","103.38","288.72","287.11","Course n°2 | Finale A"
"Solene Graille","K1D","103.97","173.46","294.12","Course n°2 | Finale A"
"Solene Grenier","K1D","105.5","493.65","312.31","Course n°2 | Finale A"
"Viviana Daille","K1D","108.22","223.9","344.65","Course n°2 | Finale A"
"Ilona Martin -laemle","K1D","108.66","228.34","349.88","Course n°2 | Finale A"
"Carole Bouzidi","K1D","111.45","139.52","383.05","Course n°2 | Finale A"
"Laura Pellicer","K1D","113.38","280.16","405.99","Course n°2 | Finale A"
"Lea Baldoni","K1D","119.4","382.84","477.57","Course n°2 | Finale A"
"Youlia Estanguet","K1D","123.8","293.78","529.89","Course n°2 | Finale A"
"Natacha Delassus","K1D","157.6","182.21","931.72","Course n°2 | Finale A"
"Romane Prigent","K1D","163.74","128.64","1004.73","Course n°2 | Finale A"
"Camille Vuitton","K1DM","146.58","482.12","800.71","Course n°2 | Finale A"
"Ester Narduzzi","K1DM","189.62","508.18","1312.4","Course n°2 | Finale A"
"Clara Sedrue","K1DM","194.03","788.95","1364.84","Course n°2 | Finale A"
"Avril Saut","K1DM","208.76","484.36","1539.96","Course n°2 | Finale A"
"Suzel Cayrat","K1DM","292.47","563.74","2535.18","Course n°2 | Finale A"
"Mathurin Madore","K1H","83.76","46.24","183.3","Course n°2 | Finale A"
"Mathieu Biazizzo","K1H","84.9","76.69","198.62","Course n°2 | Finale A"
"Quentin Burgi","K1H","86.3","220.48","217.43","Course n°2 | Finale A"
"Pierre-louis Saussereau","K1H","86.33","203.49","217.83","Course n°2 | Finale A"
"Anatole Delassus","K1H","86.34","86.1","217.96","Course n°2 | Finale A"
"Simon Hene","K1H","87.4","247.98","232.2","Course n°2 | Finale A"
"Etienne Daille","K1H","88.64","102.96","248.86","Course n°2 | Finale A"
"Pierre Bourliaud","K1H","89.43","244.25","259.48","Course n°2 | Finale A"
"Alan Dollo","K1H","89.86","263.82","265.25","Course n°2 | Finale A"
"Lukas Estanguet-santamaria","K1H","90.08","383.26","268.21","Course n°2 | Finale A"
"Mathis Soudi","K1H","90.19","353.07","269.69","Course n°2 | Finale A"
"Florian Busson","K1H","90.36","147.69","271.97","Course n°2 | Finale A"
"Mathieu Doby","K1H","91.61","209.99","288.76","Course n°2 | Finale A"
"Gael Adisson","K1H","91.76","203.99","290.78","Course n°2 | Finale A"
"Leo Vuitton","K1H","91.8","103.19","291.32","Course n°2 | Finale A"
"Etienne Wiche","K1H","92.52","187.17","300.99","Course n°2 | Finale A"
"Paul Cornut-chauvinc","K1H","92.68","123.91","303.14","Course n°2 | Finale A"
"Lucas Augu","K1H","92.97","146.71","307.03","Course n°2 | Finale A"
"Adrien Mesmoudi","K1H","92.98","571.46","307.17","Course n°2 | Finale A"
"Arnaud Verrons","K1H","93.4","158.15","312.81","Course n°2 | Finale A"
"Theo Desvignes","K1H","93.68","108.52","316.57","Course n°2 | Finale A"
"Djendy Simeant","K1H","94.13","161.68","322.62","Course n°2 | Finale A"
"Luc Sarramea","K1H","94.25","169.05","324.23","Course n°2 | Finale A"
"Mael Hervault","K1H","94.7","183.85","330.28","Course n°2 | Finale A"
"Emilien Courtiade","K1H","94.8","189.99","331.62","Course n°2 | Finale A"
"Thomas Ukalovic","K1H","94.91","173.84","333.1","Course n°2 | Finale A"
"Edouard Chenal","K1H","96.14","164.84","349.62","Course n°2 | Finale A"
"Olivier Cail","K1H","96.19","252.06","350.29","Course n°2 | Finale A"
"Cedric Landreau","K1H","96.39","230.22","352.98","Course n°2 | Finale A"
"Samuel Bonella","K1H","96.79","191.48","358.35","Course n°2 | Finale A"
"Yon Dandonneau","K1H","97.1","264.03","362.52","Course n°2 | Finale A"
"Isaac Dufrene","K1H","97.29","138.89","365.07","Course n°2 | Finale A"
"Paul Gobert","K1H","97.33","250.55","365.61","Course n°2 | Finale A"
"Arthur Contamine","K1H","98.5","237.77","381.33","Course n°2 | Finale A"
"Julien Dekarczyk","K1H","98.65","344.3","383.34","Course n°2 | Finale A"
"Theo Brun","K1H","98.77","249.32","384.95","Course n°2 | Finale A"
"Loan Queffelec","K1H","99.03","224.57","388.45","Course n°2 | Finale A"
"Julien Doumecq","K1H","99.36","380.18","392.88","Course n°2 | Finale A"
"Alex Baldoni","K1H","99.58","309.06","395.84","Course n°2 | Finale A"
"Hippolyte Cail","K1H","100.09","236.68","402.69","Course n°2 | Finale A"
"Baptiste Delemotte","K1H","100.86","199.44","413.03","Course n°2 | Finale A"
"Nicolas Rouleaud","K1H","102.05","270.48","429.02","Course n°2 | Finale A"
"Simon Tourtois","K1H","102.15","322.34","430.36","Course n°2 | Finale A"
"Tom Babin","K1H","102.16","147.72","430.5","Course n°2 | Finale A"
"Max Derame","K1H","102.34","206.21","432.92","Course n°2 | Finale A"
"Loris Shayam Affre","K1H","102.66","257.88","437.21","Course n°2 | Finale A"
"Romain Branjauneau","K1H","102.98","176.99","441.51","Course n°2 | Finale A"
"Xavier Jourdain","K1H","103.11","218.8","443.26","Course n°2 | Finale A"
"Jules Silvin","K1H","103.16","219.18","443.93","Course n°2 | Finale A"
"Edgar Paleaubrasseur","K1H","105.47","345.04","474.97","Course n°2 | Finale A"
"Yannis Dast","K1H","110.17","304.68","538.11","Course n°2 | Finale A"
"Collin Pouradier","K1H","111.51","239.26","556.11","Course n°2 | Finale A"
"Benjamin Renia","K1H","137.42","65.53","904.2","Course n°2 | Finale A"
"Hugo Crepeau","K1H","141.58","142.22","960.08","Course n°2 | Finale A"
"Gino Benini","K1H","144.44","294.98","998.51","Course n°2 | Finale A"
"Mael Bernes","K1H","145.39","226.8","1011.27","Course n°2 | Finale A"
"Guillaume Graille","K1H","146.99","218.78","1032.76","Course n°2 | Finale A"
"Fantin Delage-garez","K1H","150.7","260.76","1082.61","Course n°2 | Finale A"
"Cyprien Cail","K1H","151.48","192.98","1093.08","Course n°2 | Finale A"
"Alexis Dorey","K1H","153.49","643.22","1120.09","Course n°2 | Finale A"
"Gaston Guilmard","K1H","158.86","395.2","1192.23","Course n°2 | Finale A"
"Vincent Laclide","K1H","203.84","260.41","1796.51","Course n°2 | Finale A"
"Titouan Estanguet","K1HM","100.67","412.09","410.48","Course n°2 | Finale A"
"Niels Comte","K1HM","112.28","515.27","566.45","Course n°2 | Finale A"
"Jonah Hanrahan","K1HM","112.47","544.25","569.01","Course n°2 | Finale A"
"Felix Chevallier","K1HM","116.42","551.3","622.07","Course n°2 | Finale A"
"Nolann Lacoudre","K1HM","127.54","522.84","771.46","Course n°2 | Finale A"
"Yuha Egraz","K1HM","174.26","539.7","1399.12","Course n°2 | Finale A"
"Unai Oteiza","K1HM","226.5","548.39","2100.94","Course n°2 | Finale A"
"Natanael Perilhou","K1HM","Abd","-","-","Course n°2 | Finale A"
"Nathan Caprice Michaux","K1HM","Nt","-","-","Course n°2 | Finale A"
"Laura Pellicer","C1D","116.59","333.66","368.3","Course n°2 | Finale B"
"Laurine Salesse","C1D","117.82","1561.54","382.07","Course n°2 | Finale B"
"Youlia Estanguet","C1D","128.75","707.92","504.44","Course n°2 | Finale B"
