"Sélectif Régional Slalom (Double) - Manches n°1 et n°2 de la Coupe Régionale Grand Est - 10000 Troyes - Course n°2 | Qualification Course n°2 | Qualification","10000 Troyes","Course n°2 | Qualification","qualif","2020-09-20","Régional","259"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Amaurie Guilleret","C1D","120.5","305.04","334.38",""
"Julia Budzinski","C1D","123.09","409.65","362.08",""
"Zoe Laurent","C1D","128.91","486.75","424.34",""
"Anne-lise Moisan-ehrwein","C1D","132.84","421.45","466.38",""
"Elena Hugues","C1D","133.14","1351.47","469.59",""
"Lucille Meunier-cheyssac","C1D","137.1","1872.3","511.95",""
"Manon Durand","C1D","138.88","418.54","530.98",""
"Margot Perrin","C1D","140.96","493.04","553.24",""
"Sophie Colbus","C1D","151.0","631.34","660.63",""
"Caroline Scherer","C1D","160.58","510.9","763.12",""
"Kassandra Wagnier","C1D","165.93","739.2","820.34",""
"Clementine Thierus","C1D","216.11","1608.38","1357.12",""
"Jade Dendele","C1DM","161.76","775.74","775.74",""
"Anna Munch","C1DM","168.22","727.0","844.83",""
"Justine Haton","C1DM","210.46","1092.89","1296.67",""
"Satine Meranger","C1DM","229.07","845.91","1495.75",""
"Yohann Senechault","C1H","100.18","232.68","270.1",""
"Paul Cascarino","C1H","103.05","233.28","305.19",""
"Emilien Kempf","C1H","104.62","152.32","324.38",""
"Tanguy Adisson","C1H","105.12","215.15","330.49",""
"Mathis Piepho","C1H","107.91","356.37","364.6",""
"Benoit Chantry","C1H","109.53","244.44","384.41",""
"Theo Reby","C1H","115.16","475.36","453.23",""
"Etienne Nardeau","C1H","118.15","376.51","489.79",""
"Alexis Sevrez","C1H","118.52","365.48","494.31",""
"Loric Bertrand Delorme","C1H","119.79","391.94","509.84",""
"Jean Charles Hacquart","C1H","120.42","364.99","517.54",""
"Olivier Gesbert","C1H","120.78","451.08","521.95",""
"Jeancharles Reby","C1H","122.02","463.98","537.11",""
"Marvin Tulpin","C1H","122.36","695.82","541.25",""
"Romain Moret","C1H","123.32","494.77","553.0",""
"Maxime Cousin","C1H","123.4","434.06","553.97",""
"Patrice Campioni","C1H","123.8","436.78","558.86",""
"Vincent Ganthier","C1H","124.7","478.6","569.87",""
"Jean Christophe Boivin","C1H","125.25","489.62","576.59",""
"Maxime Devis","C1H","126.11","519.07","587.1",""
"Lionel Borde","C1H","126.57","539.97","592.73",""
"Thibaut Boudier","C1H","127.94","648.85","609.48",""
"Adrien Gaillot","C1H","128.22","606.95","612.89",""
"Salim Jemai","C1H","128.79","508.84","619.86",""
"Philippe Senechal","C1H","130.89","513.85","645.54",""
"Adrien Dierstein","C1H","132.41","637.47","664.12",""
"Maxime Paumier","C1H","133.3","706.83","675.0",""
"Tanguy Malingre","C1H","134.05","619.16","684.17",""
"Ludovic Kessler","C1H","134.86","637.92","694.07",""
"Arnaud Caillet","C1H","136.94","428.68","719.5",""
"Clement Brault","C1H","143.21","699.49","796.14",""
"Hugo Hernoux","C1H","144.12","988.03","807.27",""
"Anthony Menissier","C1H","149.27","487.11","870.24",""
"Jacques Nardeau","C1H","150.32","688.91","883.07",""
"Antoine Dusard","C1H","152.62","625.47","911.18",""
"Thomas L'huillier","C1H","155.03","194.08","940.66",""
"Boris Bonenfant","C1H","156.35","811.61","956.79",""
"Lucas Jamart","C1H","162.88","303.51","1036.62",""
"Loann Delle Dananchet","C1H","168.13","435.47","1100.8",""
"Vincent Idriss Achaoui","C1H","179.39","567.95","1238.46",""
"Hector Combes","C1H","204.19","172.9","1541.64",""
"Mael Thierus","C1H","222.26","989.07","1762.54",""
"Valentin Clement","C1H","256.47","2663.5","2180.76",""
"Antoine Guerne","C1HM","113.51","415.97","433.07",""
"Colin Floch","C1HM","130.25","1067.97","637.72",""
"Alois Brucher","C1HM","133.21","727.4","673.9",""
"Noe Crapart","C1HM","133.84","659.57","681.61",""
"Valerian Descot","C1HM","134.84","687.22","693.83",""
"Matheo Senechault","C1HM","138.22","773.52","735.15",""
"Leo-paul Cassin","C1HM","138.25","751.0","735.52",""
"Maxence Jambois Ruche","C1HM","145.16","884.31","819.99",""
"Mathis Colin","C1HM","146.37","878.4","834.78",""
"Enzo Marchand","C1HM","148.51","932.91","860.94",""
"Anas Renoux","C1HM","170.26","863.19","1126.84",""
"GrÉgoire Fontan","C1HM","172.83","1169.74","1158.26",""
"Gabriel Bonsens","C1HM","180.71","-","1254.6",""
"Baptiste Albert","C1HM","181.06","1287.1","1258.87",""
"Etienne Ermel","C1HM","207.82","1639.23","1586.02",""
"Caroline Scherer-Kelly Capitaine","C2D","214.67","863.42","1165.07",""
"Emilien Kempf-Leonard Painteaux","C2H","133.85","-","607.35",""
"Vincent Ganthier-Jeancharles Reby","C2H","134.11","558.28","610.38",""
"Anthony Rouhier-Alexis Gombert","C2H","150.76","759.78","804.68",""
"Mael Thierus-Adrien Gaillot","C2H","170.21","1193.99","1031.64",""
"Thibaut Boudier-Maxime Paumier","C2H","204.76","1017.66","1434.82",""
"Antoine Schroetter-Simon Bouchot","C2H","215.71","1330.87","1562.6",""
"Pauline Lecomte-Pierre Baudouin","C2M","163.27","732.25","791.88",""
"Florence Marchal-Jacques Nardeau","C2M","181.84","804.25","990.53",""
"Lucille Meunier-cheyssac-Jules Ferber","C2M","203.68","596.58","1224.15",""
"Zoe Bruchon-Benjamin Harreau","C2M","214.0","700.13","1334.54",""
"Caroline Bourry","K1D","110.86","165.39","304.72",""
"Zoe Bruchon","K1D","111.75","286.38","314.83",""
"Lolita Seguy","K1D","112.75","215.43","326.19",""
"Amaurie Guilleret","K1D","113.26","603.66","331.98",""
"Margot Perrin","K1D","114.06","283.84","341.07",""
"Angelique Guilcher","K1D","115.11","320.84","353.0",""
"Zoe Laurent","K1D","116.74","356.12","371.52",""
"Mae Bianco","K1D","120.63","326.08","415.7",""
"Sophie Colbus","K1D","122.49","349.17","436.83",""
"Manon Durand","K1D","124.19","449.5","456.15",""
"Elena Hugues","K1D","124.98","316.85","465.12",""
"Julia Budzinski","K1D","126.21","416.17","479.09",""
"Kassandra Wagnier","K1D","138.45","570.78","618.13",""
"Lucille Meunier-cheyssac","K1D","139.92","335.34","634.83",""
"Elodie Berrot","K1D","140.27","489.56","638.81",""
"Kelly Capitaine","K1D","141.34","648.05","650.97",""
"Delhia Petiot","K1D","148.66","674.09","734.12",""
"Katia Talbot","K1D","158.42","838.44","844.99",""
"Lynda Heroui","K1D","158.83","-","849.65",""
"Charlotte Doucet","K1D","161.13","624.34","875.77",""
"Florence Marchal","K1D","161.33","1011.71","878.04",""
"Carole Dolmaire","K1D","165.18","639.58","921.77",""
"Coralie Delmotte","K1D","174.52","1517.45","1027.87",""
"Aurelie Fourez","K1D","187.85","1573.88","1179.3",""
"Clementine Thierus","K1D","194.69","-","1544.5",""
"Leanne Lemal","K1D","237.13","2272.15","1739.1",""
