"Sélectif Régional Slalom du pont royal (Double)   - 45100 Orleans - Course n°1 | Qualification - 2020-09-26","45100 Orleans","Course n°1 | Qualification","qualif","2020-09-26","Régional","86"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Perrine Augu","C1DM","161.75","658.02","610.12",""
"SÉrÉna Guibane","C1DM","204.26","1017.41","1021.85",""
"Charly Chassigneux","C1H","117.33","219.01","342.22",""
"Paul Tallet Pinet","C1H","118.98","302.73","360.48",""
"Fabien Tournadre","C1H","129.41","478.07","475.94",""
"Antoine Marion","C1H","133.54","522.45","521.65",""
"Romain Magnier","C1H","138.79","577.14","579.77",""
"Collin Pouradier","C1H","143.63","488.67","633.34",""
"Gregory Menuat","C1H","145.05","1097.2","649.06",""
"Robin Le Fellic","C1H","154.39","867.71","752.45",""
"Maxime Moreau","C1H","164.65","895.38","866.03",""
"Hugo Pereira","C1H","173.59","-","964.98",""
"Pierre Chassigneux","C1H","181.7","847.56","1054.76",""
"Thomas Sudron","C1H","197.33","1001.55","1227.76",""
"Simon Duchesne-redon","C1HM","173.99","-","969.41",""
"Gabriel Bonsens","C1HM","209.25","1246.11","1359.72",""
"Charly Chassigneux-Fabien Tournadre","C2H","135.73","395.14","477.6",""
"Paul Tallet Pinet-Benoit Lecluse","C2H","141.98","465.05","543.64",""
"Antoine Marion-Hugo Pereira","C2H","172.03","-","861.16",""
"Nicolas Bougnon-Enzo Tisset","C2H","194.87","1368.54","1102.49",""
"Maxime Moreau-Perrine Augu","C2M","160.17","-","594.81",""
"Valentine Jussy-Enzo Tisset","C2M","247.09","-","1436.69",""
"Thomas Sudron-Marie Alexis","C2M","254.89","-","1512.23",""
"Valentine Jussy","K1D","152.36","509.3","610.58",""
"Lindsay Frenot","K1D","154.89","1570.28","636.6",""
"Delhia Petiot","K1D","159.67","674.09","685.77",""
"Katia Talbot","K1D","172.24","884.48","815.06",""
"Virginie Picault","K1D","204.5","819.84","1146.87",""
"Marie Alexis","K1D","230.34","1056.47","1412.66",""
"Julie Cardin","K1D","231.06","-","1420.06",""
"Sarah Grenet","K1D","250.07","-","1615.6",""
"Ana Lobjanidze","K1D","274.67","-","1868.63",""
"Perrine Augu","K1DM","135.26","427.41","434.69",""
"SÉrÉna Guibane","K1DM","158.43","680.16","673.02",""
"Maelys Talbot","K1DM","196.86","1002.79","1068.29",""
"Maud Denis","K1DM","296.51","-","2093.26",""
"Ludovic Di Nisi","K1H","104.61","-","259.31",""
"Fabien Tournadre","K1H","107.29","235.92","290.46",""
"Collin Pouradier","K1H","109.47","239.26","315.8",""
"Antoine Marion","K1H","110.98","420.83","333.35",""
"Jacques Precigout","K1H","120.94","365.6","449.12",""
"Romain Magnier","K1H","122.2","520.79","463.76",""
"Childeric Thoreau","K1H","124.95","445.6","495.72",""
"Maxime Moreau","K1H","125.53","450.62","502.46",""
"Jerome Talbot","K1H","125.83","495.9","505.95",""
"Guillaume Arnaud","K1H","127.61","463.35","526.64",""
"Thomas De Boysson","K1H","128.75","501.61","539.89",""
"Nicolas Bougnon","K1H","131.26","558.69","569.06",""
"Nicolas Arnoult","K1H","131.47","519.6","571.5",""
"Leo Bonsens","K1H","135.67","607.54","620.32",""
"Ludovic Couture","K1H","136.73","482.26","632.64",""
"Jikael Merlet","K1H","138.35","629.41","651.47",""
"Gregory Pailler","K1H","139.41","598.59","663.79",""
"Nicolas Leconte","K1H","140.48","591.95","676.23",""
"Arsene Boyer","K1H","142.42","-","698.77",""
"Enzo Tisset","K1H","143.39","1393.15","710.05",""
"Benoit Lecluse","K1H","144.17","551.63","719.11",""
"Hugo Pereira","K1H","144.98","723.39","728.53",""
"Thomas Sudron","K1H","148.13","-","765.14",""
"Gael Busson","K1H","150.26","-","789.9",""
"Antoine Busson","K1H","150.64","-","794.31",""
"Eric Pouradier","K1H","151.8","784.72","807.8",""
"Steve Bruniquel","K1H","155.09","733.39","846.04",""
"Yann Dhieux","K1H","158.56","705.35","886.37",""
"Justin Tetault","K1H","161.89","927.99","925.07",""
"Nicolas Petipez","K1H","162.05","834.48","926.93",""
"Gregory Menuat","K1H","163.9","-","948.43",""
"Laurent Botineau","K1H","165.58","-","967.96",""
"Claude Breuzard","K1H","165.9","815.44","971.68",""
"Pascal Willano","K1H","165.91","630.8","971.8",""
"Clement Claret","K1H","173.12","358.32","1055.6",""
"Jerome Trousson","K1H","173.68","357.88","1062.1",""
"Jean Michel Arnoult","K1H","181.75","-","1155.9",""
"Jb Arnoult","K1H","186.66","-","1212.97",""
"Mickael Haddou","K1H","201.66","-","1387.31",""
"Patrick Hervet","K1H","204.42","1266.01","1419.39",""
"Pierre Renault Bleeker","K1H","208.64","720.3","1468.44",""
"Jean-marc Allouis","K1H","208.8","1484.67","1470.3",""
"Thomas Fays","K1H","212.18","-","1509.58",""
"Robin Le Fellic","K1H","222.7","629.06","1631.86",""
"Noam Francois","K1H","252.92","-","1983.1",""
"Charles Potier","K1H","256.75","-","2027.61",""
"Ludovic Machinet","K1H","346.71","-","3073.2",""
"Gabriel Bonsens","K1HM","154.81","684.36","842.78",""
"Simon Duchesne-redon","K1HM","172.11","-","1043.86",""
"Gwen Busson","K1HM","408.17","-","3787.54",""
