"Sélectif Régional Slalom (Double) - 16200 Jarnac - Course n°2 | Finale - 2020-09-27","16200 Jarnac","Course n°2 | Finale","finale","2020-09-27","Régional","186"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Perrine Joubert","C1D","115.98","359.37","378.24","finale a"
"Oceane Sedrue","C1D","126.89","499.77","505.06","finale a"
"Noeline Pierre","C1D","128.13","556.36","519.47","finale a"
"Cindy Coat","C1D","129.55","528.39","535.97","finale a"
"Rozmarina Estanguet","C1DM","130.81","566.15","550.61","finale a"
"Manon Joubert","C1DM","137.13","729.48","624.08","finale a"
"Lynn Giordano Bobee","C1DM","138.17","893.31","636.17","finale a"
"Faysal Ali Zazou","C1H","96.34","223.83","309.93","finale a"
"Clement Brotier","C1H","98.52","313.5","338.89","finale a"
"Clement Gillaizeau","C1H","101.76","329.59","381.93","finale a"
"Pierre Giudicelli","C1H","102.85","365.57","396.41","finale a"
"Thierry Derouineau","C1H","103.86","322.48","409.82","finale a"
"Adrien Pardoux","C1H","104.6","369.05","419.65","finale a"
"Gaspard Trichard","C1H","106.14","434.1","440.12","finale a"
"Dylan Renneteau","C1H","107.52","633.56","458.44","finale a"
"Nicolas Labat","C1H","107.89","486.61","463.35","finale a"
"Christophe Marechal","C1H","108.94","418.45","477.3","finale a"
"Adrien Ricaud","C1H","109.06","489.23","478.91","finale a"
"Amaury Sokolik","C1H","110.15","514.43","493.38","finale a"
"Antoine Giudicelli","C1H","110.49","524.32","497.9","finale a"
"Logan Stenton","C1H","110.67","572.01","500.29","finale a"
"Aurele Neveu","C1H","111.47","433.92","510.92","finale a"
"Maxime Blondeau","C1H","111.77","488.78","514.91","finale a"
"Frederic Boob","C1H","112.06","409.6","518.76","finale a"
"Gurgen Brun","C1H","114.01","402.36","544.66","finale a"
"Christian Boob","C1H","115.02","456.9","558.07","finale a"
"Titouan Conseil","C1H","118.57","518.04","605.23","finale a"
"Benjamin Roy","C1HM","114.52","492.86","551.44","finale a"
"Christian Boob-Frederic Boob","C2H","111.32","448.48","441.71","finale a"
"Romain Bouby-Stephane Borde","C2H","144.82","881.41","866.5","finale a"
"Simon Blondet-Lorys Autin","C2H","148.57","902.1","914.05","finale a"
