"Championnat de France Slalom Cadets, Juniors, C2D senior et C2M senior - 05120 L Argentiere La Bessee - Course C2 - Finale Course C2 - Finale","05120 L Argentiere La Bessee","Course C2 - Finale","finale","2020-10-29","Championnats de France","25"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Thibault Blaise-Thomas L'huillier","C2H","115.29","380.16","309.12",""
"Florian Busson-Alex Louveau","C2H","122.3","421.06","387.65",""
"Mathis Piepho-Paul Cascarino","C2H","130.49","581.03","479.4",""
"Tom Marchand-Romain Margerie","C2H","133.6","556.92","514.25",""
"Etienne Wiche-Benjamin Guyon","C2H","136.52","521.06","546.96",""
"Emilien Courtiade-Loris Shayam Affre","C2H","137.45","453.37","557.38",""
"Tanguy Adisson-Antonin Robert","C2H","143.53","569.34","625.49",""
"Mathis Odot-Mael Segaud","C2H","150.18","624.43","699.99",""
"Fabien Bonvalet-Mathis Pomares","C2H","156.5","624.67","770.8",""
"Quentin Maillefer-Adrien Dierstein","C2H","159.3","694.72","802.16",""
"Oskar Hillion-Maxime Forcadette","C2H","162.68","805.93","840.03",""
"Matteo Weinegaessel-Marwan Bazot","C2H","183.95","880.41","1078.32",""
"Elena Hugues-Thomas L'huillier","C2M","124.03","410.14","291.23",""
"Etienne Daille-Carole Bouzidi","C2M","135.25","330.14","406.46",""
"Corentin Monasse-MaÏa Gombert","C2M","142.69","465.73","482.86",""
"Romane Bronchet-Romain Bruneau","C2M","145.27","870.55","509.36",""
"Fabien Bonvalet-Elise Masseline","C2M","150.85","512.19","566.66",""
"Alex Baldoni-Laurine Salesse","C2M","154.81","341.63","607.33",""
"Axel Colin-Nina Pesce-roue","C2M","156.74","617.26","627.16",""
"Cerise Babin-Clement Brotier","C2M","163.13","612.11","692.78",""
"Quentin Maillefer-Kassandra Wagnier","C2M","165.56","709.87","717.73",""
"Maxime Bottex-Kesia Georgel","C2M","167.85","523.22","741.25",""
"Pauline Clerc-Arnaud Caillet","C2M","172.0","802.68","783.86",""
"Mathieu Monier-Chloe Faverjon","C2M","173.1","474.77","795.16",""
"Lucille Meunier-cheyssac-Jules Ferber","C2M","173.32","659.97","797.42",""
