"SÈlectif RÈgional de Slalom - 57050 Longeville Les Metz - Course n∞2 | Qualification","57050 Longeville Les Metz","Course n∞2 | Qualification","qualif","2021-09-26","RÈgional","294"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Zoe Laurent","C1D","120.1","249.07","291.9",""
"Julia Budzinski","C1D","121.56","402.01","307.1",""
"Lucille Meunier-cheyssac","C1D","133.69","695.15","433.36",""
"Elorri Erdois","C1D","134.85","417.06","445.44",""
"Luisa Buerner","C1D","136.46","381.01","462.2",""
"Iana Gonseth","C1D","138.78","489.16","486.35",""
"Sophie Staudt","C1D","142.91","508.24","529.34",""
"Caroline Scherer","C1D","162.46","630.03","732.84",""
"Pauline Lybrecht","C1D","163.29","528.84","741.48",""
"Kassandra Wagnier","C1D","168.93","785.41","800.19",""
"Emma Lies","C1D","183.16","1333.59","948.32",""
"Maya Georgel","C1D","227.24","904.74","1407.17",""
"Anna Munch","C1DM","145.94","697.62","560.88",""
"Emilie Moret","C1DM","157.37","812.34","679.86",""
"Mattea Hannequin","C1DM","162.94","711.55","737.84",""
"Kaena Trenchant","C1DM","168.41","878.76","794.78",""
"Eva Mirguet Montoya","C1DM","175.28","1136.65","866.3",""
"S…l»ne Driget","C1DM","176.14","1261.69","875.24",""
"Anais Haton","C1DM","181.0","863.07","925.83",""
"Thomas L'huillier","C1H","103.64","151.68","274.68",""
"Emilien Kempf","C1H","105.69","169.32","299.07",""
"Yvan Leblond","C1H","107.31","278.93","318.34",""
"Lucas Jamart","C1H","108.26","316.52","329.64",""
"Thibault Blaise","C1H","109.36","313.4","342.72",""
"Marvin Tulpin","C1H","110.16","1192.09","352.24",""
"Quentin Maillefer","C1H","110.45","273.18","355.69",""
"Antoine Guerne","C1H","110.64","329.26","357.95",""
"Jules Latimier","C1H","112.38","313.01","378.66",""
"Hugo Latimier","C1H","112.98","290.71","385.79",""
"Christophe Despres","C1H","113.91","432.31","396.86",""
"Paul Aubertin","C1H","114.06","432.23","398.65",""
"Alexis Sevrez","C1H","116.66","416.41","429.57",""
"Maxime Forcadette","C1H","119.83","324.95","467.29",""
"Pierre Marie Roussel","C1H","120.17","430.29","471.33",""
"Matheo Dupont","C1H","120.81","491.61","478.94",""
"Maxime Devis","C1H","121.37","537.14","485.6",""
"Jeancharles Reby","C1H","121.69","483.69","489.41",""
"Romain Moret","C1H","122.03","546.98","493.46",""
"Oskar Hillion","C1H","122.24","419.89","495.95",""
"Tom Dolle","C1H","123.5","485.84","510.94",""
"Loann Delle Dananchet","C1H","123.51","464.16","511.07",""
"Adrien Dierstein","C1H","123.94","774.74","516.18",""
"Salim Jemai","C1H","124.92","651.75","527.83",""
"Vincent Idriss Achaoui","C1H","125.31","523.06","532.48",""
"Vincent Ganthier","C1H","127.44","553.29","557.81",""
"Koen Behets","C1H","127.74","511.13","561.38",""
"Jean Marc Trenchant","C1H","128.16","934.32","566.38",""
"Gaspard Gonseth","C1H","130.35","540.56","592.44",""
"Valentin Bostoen","C1H","130.68","573.59","596.36",""
"Maxime Paumier","C1H","130.87","595.03","598.62",""
"Leo-paul Cassin","C1H","133.21","769.44","626.46",""
"Jan Pischek","C1H","133.36","559.71","628.25",""
"Guillaume Caron","C1H","134.54","847.3","642.28",""
"Arnaud Caillet","C1H","134.6","482.97","642.99",""
"Jan Gabin Pischek","C1H","136.59","746.02","666.67",""
"Yuha Egraz","C1H","137.42","684.3","676.54",""
"Philippe Senechal","C1H","138.14","-","685.11",""
"Noe Crapart","C1H","141.33","647.06","723.06",""
"Thibaut Evrard","C1H","142.22","626.27","733.65",""
"Thibaut Boudier","C1H","144.68","656.06","762.91",""
"Gustave Gonseth","C1H","148.75","982.89","811.34",""
"Paul Gstalter","C1H","149.44","729.56","819.54",""
"Timothee Foltz","C1H","150.25","640.11","829.17",""
"Alexandre L'huillier","C1H","154.97","752.25","885.32",""
"Baptiste Albert","C1H","160.52","878.84","951.35",""
"Victor Henry","C1H","160.57","743.19","951.95",""
"Simon Bouchot","C1H","169.43","980.66","1057.35",""
"Etienne Ermel","C1H","188.87","1035.21","1288.62",""
"Etienne Flavier","C1H","191.35","1533.57","1318.12",""
"David Monnet","C1H","299.62","-","2606.15",""
"Valentin Clement","C1H","335.45","1281.6","3032.41",""
"Eliot Gompel","C1HM","127.16","744.37","554.49",""
"Colin Floch","C1HM","128.43","692.92","569.59",""
"Gr…goire Fontan","C1HM","133.04","775.52","624.44",""
"Samael Govart","C1HM","143.39","673.48","747.57",""
"Nolann Desceliers","C1HM","146.77","1140.36","787.78",""
"Anton Boivin","C1HM","172.62","1366.18","1095.3",""
"Luc Gardan","C1HM","197.65","1550.63","1393.07",""
"Thibault Blaise-Thomas L'huillier","C2H","125.36","303.82","465.29",""
"Oskar Hillion-Maxime Forcadette","C2H","145.05","828.67","688.88",""
"Colin Floch-Eliot Gompel","C2HM","147.23","917.94","713.63",""
"Corentin Monasse-Maœa Gombert","C2M","136.1","385.89","458.45",""
"Thibault Blaise-Julia Budzinski","C2M","141.6","741.5","515.7",""
"Vincent Ganthier-Sophie Colbus","C2M","142.18","537.7","521.74",""
"Alexis Sevrez-Lucille Meunier-cheyssac","C2M","164.41","860.02","753.14",""
"Fransiska Granzow","K1D","114.18","306.21","303.9",""
"Mae Bianco","K1D","114.9","381.36","311.86",""
"Caroline Bourry","K1D","115.2","256.8","315.18",""
"Zoe Laurent","K1D","115.8","320.92","321.81",""
"Luisa Buerner","K1D","118.27","275.88","349.12",""
"Lolita Seguy","K1D","119.2","391.94","359.4",""
"Iana Gonseth","K1D","119.89","320.99","367.02",""
"Zoe Bruchon","K1D","122.05","305.05","390.9",""
"Sophie Staudt","K1D","122.5","364.92","395.87",""
"Sophie Colbus","K1D","124.71","432.82","420.31",""
"Justine Clerc","K1D","126.71","361.98","442.42",""
"Margot Perrin","K1D","127.16","331.3","447.39",""
"Maœa Gombert","K1D","128.72","291.57","464.64",""
"Julia Budzinski","K1D","129.79","499.73","476.45",""
"Maya Georgel","K1D","136.44","519.56","549.97",""
"Celia Grandadam","K1D","136.74","1302.19","553.29",""
"Fanny Mino-vercellio","K1D","138.13","542.45","568.65",""
"Pauline Primm","K1D","139.55","507.27","584.36",""
"Athenais Reby","K1D","140.34","935.18","593.09",""
"Zelie Wendling","K1D","140.74","728.7","597.51",""
"Lou-anne Cointin","K1D","141.1","573.08","601.48",""
"Kassandra Wagnier","K1D","142.99","626.43","622.38",""
"Agathe Portmann","K1D","146.38","723.31","659.85",""
"Justine Haton","K1D","146.67","672.16","663.05",""
"Charlotte Chauvey","K1D","153.98","606.94","743.86",""
"Louison Da Costa","K1D","164.71","704.83","862.48",""
"Emma Lies","K1D","164.91","919.28","864.69",""
"Marine Primet","K1D","177.56","689.36","1004.53",""
"Maurine Laugel","K1D","181.93","709.4","1052.83",""
"Helene Hincelin","K1D","190.34","1110.93","1145.79",""
"Lola Malais…","K1D","193.16","1115.27","1176.97",""
"Aurelie Fourez","K1D","196.3","754.69","1211.68",""
"Emmy Tamburini","K1D","203.18","933.22","1287.73",""
"Lou Ann Dabin","K1D","356.48","3720.24","2982.36",""
"Mattea Hannequin","K1DM","134.73","513.18","531.07",""
"Emilie Moret","K1DM","143.98","683.08","633.32",""
"Anna Munch","K1DM","144.5","661.76","639.07",""
"Kaena Trenchant","K1DM","149.35","905.93","692.68",""
"Judith Locatelli","K1DM","150.23","933.79","702.41",""
"Cathilya Talon","K1DM","151.79","842.42","719.65",""
"Eva Mirguet Montoya","K1DM","160.86","978.6","819.92",""
"Louise Portmann","K1DM","163.4","845.8","848.0",""
"Juliette Formet","K1DM","174.63","962.09","972.14",""
"Ambre Christin","K1DM","182.49","1595.0","1059.03",""
"Anais Haton","K1DM","183.78","814.47","1073.28",""
"Ariane Thuillier","K1DM","203.58","1175.04","1292.15",""
"Yasmin Carneiro Jourdant","K1DM","295.86","1410.33","2312.25",""
"Lucas Latimier","K1H","96.97","246.7","253.01",""
"Theo Reby","K1H","99.76","187.38","287.86",""
"Tom Dolle","K1H","100.56","364.67","297.85",""
"Jean Charles Hacquart","K1H","100.96","120.67","302.85",""
