"SÈlectif RÈgional Slalom (Double) - 37250 Veign… - Course n∞2 | Finale - 2021-11-14","37250 Veign…","Course n∞2 | Finale","finale","2021-11-14","RÈgional","96"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Perrine Augu","C1D","136.3","733.63","637.26","finale a"
"Celia Jodar","C1D","139.89","913.24","679.16","finale a"
"Kilian Foulon","C1H","98.62","560.41","361.98","finale a"
"Terence Saramandif","C1H","104.03","710.5","434.13","finale a"
"Fabien Tournadre","C1H","105.15","510.21","449.07","finale a"
"Paul Tallet Pinet","C1H","110.52","500.91","520.68","finale a"
"Collin Pouradier","C1H","113.28","705.44","557.49","finale a"
"Amaury Sokolik","C1H","113.37","485.86","558.68","finale a"
"Xavier Jourdain","C1H","115.76","402.66","590.56","finale a"
"Benjamin Harreau","C1H","116.36","613.33","598.56","finale a"
"Lucas Augu","C1H","119.46","649.27","639.89","finale a"
"Robin Le Fellic","C1H","119.51","576.12","640.57","finale a"
"Charly Chassigneux","C1H","153.22","263.29","1090.12","finale a"
"Etienne Wiche","C1H","166.98","265.72","1273.62","finale a"
"Celia Jodar-Perrine Augu","C2D","191.04","1174.78","1104.54","finale a"
"Charly Chassigneux-Fabien Tournadre","C2H","111.67","565.05","468.32","finale a"
"Lucas Augu-Terence Saramandif","C2H","117.7","666.17","545.08","finale a"
"Paul Tallet Pinet-Benoit Lecluse","C2H","138.55","767.05","810.5","finale a"
"Benjamin Harreau-Romain Brouard","C2H","141.38","1025.63","846.52","finale a"
"Gabriel Bonsens-Theo Chetoui","C2H","154.1","1218.61","1008.44","finale a"
"Benoit Bullot-Maxime Moreau","C2H","164.36","1671.42","1139.04","finale a"
"Kilian Foulon-Celia Jodar","C2M","131.0","701.85","575.43","finale a"
"Lucas Augu-Perrine Augu","C2M","135.7","741.17","630.26","finale a"
"Benjamin Harreau-Lea Riera","C2M","149.7","961.56","793.63","finale a"
"Killian Berlu-Hortense Alexis","C2M","165.71","1068.78","980.45","finale a"
"Thomas Sudron-Marie Alexis","C2M","184.02","1390.63","1194.1","finale a"
