"Sélectif Régional Slalom (Double) à Pont-Audemer - 27500 Pont Audemer - Course n°2 | Finale - 2022-02-20","27500 Pont Audemer","Course n°2 | Finale","finale","2022-02-20","Régional","77"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lison Gautrelet","C1D","130.38","706.08","553.7","finale a"
"Elise Masseline","C1D","134.8","563.13","602.89","finale a"
"Zoe Dronne","C1D","142.9","1004.25","693.03","finale a"
"Clemence Douche","C1D","146.9","726.39","737.56","finale a"
"Fany Marck","C1D","147.9","1025.64","748.68","finale a"
"Antoine Martin","C1H","111.96","635.92","526.71","finale a"
"Matthis Fradin","C1H","112.12","693.24","528.74","finale a"
"Fabien Bonvalet","C1H","113.19","412.61","542.35","finale a"
"Lorrie Delattre","C1H","117.0","451.56","590.82","finale a"
"Anthony Thuillier","C1H","120.0","585.93","628.97","finale a"
"Yohan Marck","C1H","120.3","572.34","632.78","finale a"
"Esteban Olivier","C1H","121.86","719.35","652.62","finale a"
"Mickael Louchard","C1H","122.66","642.96","662.8","finale a"
"Louis Bouclier","C1H","124.14","613.27","681.63","finale a"
"Guillaume Doutreix","C1H","124.28","586.04","683.4","finale a"
"Louis Bouclier-Matthis Fradin","C2H","122.28","585.09","587.28","finale a"
"Guillaume Doutreix-Teddy Poulard","C2H","132.12","743.31","706.74","finale a"
"Bertrand Avril-Nicolas Dupres","C2H","133.75","938.77","726.53","finale a"
"Corentin Jan-Enzo Clupty","C2H","143.87","868.26","849.39","finale a"
"Elise Masseline-Corentin Jan","C2M","138.38","699.08","642.74","finale a"
"Edouard Gracias-Lison Gautrelet","C2M","147.04","760.92","739.11","finale a"
"Delphine Brunet-Samuel Bonvalet","C2M","161.15","855.65","896.14","finale a"
"Lison Gautrelet","K1D","116.38","481.7","478.13","finale a"
"Estelle Brodin","K1D","117.78","510.99","494.68","finale a"
"Zoe Dronne","K1D","123.96","666.65","567.71","finale a"
"Maelys Talbot","K1D","124.02","719.11","568.42","finale a"
"Fany Marck","K1D","126.44","808.28","597.03","finale a"
"Alize Bachelot","K1D","133.08","959.76","675.5","finale a"
"Elise Masseline","K1D","137.14","936.12","723.48","finale a"
"Benoit Letellier","K1H","101.58","559.43","459.29","finale a"
"Yohan Marck","K1H","101.84","459.08","462.76","finale a"
"Mathieu Godin","K1H","105.28","656.53","508.7","finale a"
"Fabien Bonvalet","K1H","105.38","356.4","510.03","finale a"
"Esteban Olivier","K1H","105.72","544.36","514.58","finale a"
"Corentin Jan","K1H","107.04","660.53","532.2","finale a"
"Guillaume Doutreix","K1H","108.68","537.08","554.11","finale a"
"Bertrand Avril","K1H","109.04","510.31","558.91","finale a"
"Valentin Fleury","K1H","111.28","772.1","588.83","finale a"
"Mickael Louchard","K1H","114.43","565.51","630.89","finale a"
"Sebastien Delaunay","K1H","118.42","663.48","684.18","finale a"
"Nicolas Dupres","K1H","118.52","750.1","685.51","finale a"
"Teddy Poulard","K1H","119.14","734.69","693.79","finale a"
"Enzo Clupty","K1H","120.63","861.14","713.69","finale a"
"Matthis Fradin","K1H","127.16","728.67","800.9","finale a"
"Anthony Thuillier","K1H","149.33","578.76","1096.97","finale a"
"Edouard Gracias","C1H","127.24","767.99","726.05","finale b"
"Teddy Poulard","C1H","130.04","733.71","761.67","finale b"
"Bertrand Avril","C1H","131.8","928.0","784.05","finale b"
"Samuel Bonvalet","C1H","131.8","894.22","784.05","finale b"
"Titouan Bertrand","C1H","132.67","784.45","795.11","finale b"
"Geoffroy Lauth","C1H","133.76","872.33","808.97","finale b"
"Corentin Jan","C1H","134.41","1025.55","817.25","finale b"
"Enzo Clupty","C1H","136.58","1362.34","844.84","finale b"
"Yann Castryck- -genereux","C1H","176.92","1423.37","1357.91","finale b"
"Aly-guilhem Sow","C1H","187.54","1456.82","1493.0","finale b"
"Anthony Thuillier-Chloe Rouillard","C2M","157.74","883.35","863.19","finale b"
"Geoffroy Lauth-Rachel Broin","C2M","157.92","841.53","865.19","finale b"
"Teddy Poulard-Sandra Poulard","C2M","185.14","1081.12","1168.12","finale b"
"Laure Prieur","K1D","134.6","823.91","698.46","finale b"
"Lisa Boue","K1D","136.77","833.87","724.1","finale b"
"Delphine Brunet","K1D","144.06","1066.1","810.27","finale b"
"Catherine Boulan","K1D","148.84","937.38","866.76","finale b"
"Margot Maheut","K1D","149.88","929.84","879.04","finale b"
"Nolwen Jaure","K1D","154.85","1050.78","937.78","finale b"
"Maelle Tapon","K1D","167.4","1382.34","1086.11","finale b"
"Titouan Bertrand","K1H","112.38","530.67","608.52","finale b"
"Fabien Delaere","K1H","124.76","825.21","773.85","finale b"
"Yanis Mancaux","K1H","125.56","870.99","784.53","finale b"
"Nattael Talbot","K1H","125.66","745.65","785.87","finale b"
"Aly-guilhem Sow","K1H","131.56","797.05","864.66","finale b"
"Samuel Bonvalet","K1H","135.84","975.38","921.82","finale b"
"Yann Castryck- -genereux","K1H","138.34","979.64","955.2","finale b"
"Leo Bonnet","K1H","140.46","1038.26","983.52","finale b"
"Matteo Thierry","K1H","143.66","1089.62","1026.25","finale b"
"Alain Wuilque","K1H","150.2","1335.46","1113.59","finale b"
"Adrien Romito","K1H","152.82","1255.54","1148.58","finale b"
"Dylan Moreira","K1H","179.64","1481.51","1506.75","finale b"
