"Sélectif Régional Slalom (Double) - 62990 Beaurainville - Course n°2 | Finale - 2022-03-06","62990 Beaurainville","Course n°2 | Finale","finale","2022-03-06","Régional","101"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Pauline Lybrecht","C1D","128.37","469.86","490.3","finale a"
"Coline Regnier","C1D","134.45","609.29","559.51","finale a"
"Emma Pouilly","C1D","137.2","673.4","590.81","finale a"
"Elise Vegnaduzzo","C1D","141.37","628.43","638.27","finale a"
"Yvan Leblond","C1H","102.1","301.67","357.29","finale a"
"Florian Jumetz","C1H","110.66","495.42","468.64","finale a"
"Matheo Dupont","C1H","113.93","438.87","511.2","finale a"
"Tao Petit","C1H","116.74","649.76","547.75","finale a"
"Nathan Morris","C1H","118.23","694.3","567.13","finale a"
"Thibaut Evrard","C1H","118.3","618.37","568.05","finale a"
"Samael Govart","C1H","119.7","673.48","586.26","finale a"
"Antoine Fournier","C1H","122.85","991.14","627.24","finale a"
"Guillaume Doutreix","C1H","123.92","566.19","641.16","finale a"
"Jacob Sierota","C1H","127.57","643.45","688.64","finale a"
"Quentin Dubelloy","C1H","133.4","886.98","764.49","finale a"
"Lou Megret","C1H","134.04","1079.15","772.81","finale a"
"Lucie Delvalle-Lalie Jumetz","C2D","230.6","2226.24","1452.09","finale a"
"Tao Petit-Samael Govart","C2H","134.05","704.86","693.68","finale a"
"Nathan Morris-Romain Podevin","C2H","146.28","851.59","845.55","finale a"
"Quentin Dubelloy-Antoine Fournier","C2H","160.47","1239.63","1021.76","finale a"
"Quentin Podevin-Blanche Leborgne","C2M","180.37","888.46","1082.22","finale a"
"Manoah Bally-Louann Demanet","C2M","224.49","1161.86","1584.46","finale a"
"Emma Pouilly","K1D","113.5","360.46","401.06","finale a"
"Coline Regnier","K1D","122.27","417.46","507.08","finale a"
"CÉlya Foucard","K1D","124.71","1636.95","536.58","finale a"
"Pauline Lybrecht","K1D","127.01","681.11","564.37","finale a"
"Blanche Leborgne","K1D","134.99","945.44","660.84","finale a"
"Louann Demanet","K1D","141.53","803.76","739.9","finale a"
"Callie Leroy","K1D","142.87","916.78","756.1","finale a"
"Yvan Leblond","K1H","94.9","240.81","325.35","finale a"
"Florian Jumetz","K1H","95.42","321.23","332.46","finale a"
"Tao Petit","K1H","100.7","327.91","404.58","finale a"
"ClÉment Tamion","K1H","102.15","375.67","424.39","finale a"
"Helwann Rachdi","K1H","105.0","330.51","463.32","finale a"
"Nathan Morris","K1H","106.4","478.18","482.44","finale a"
"Paul Pesant","K1H","107.27","479.56","494.33","finale a"
"Samael Govart","K1H","108.61","512.33","512.63","finale a"
"Guillaume Doutreix","K1H","109.96","531.6","531.07","finale a"
"Thibaut Evrard","K1H","110.86","428.52","543.36","finale a"
"Thibaut Jumetz","K1H","113.2","549.46","575.33","finale a"
"Quentin Podevin","K1H","114.15","769.79","588.31","finale a"
"Lucas Belo","K1H","114.33","631.13","590.76","finale a"
"Mathieu Godin","K1H","115.66","574.28","608.93","finale a"
"Romain Podevin","K1H","118.59","732.33","648.96","finale a"
"Robin Dheilly","K1H","118.85","565.66","652.51","finale a"
"Paul Lecomte","K1H","119.38","662.83","659.75","finale a"
"Mathys Valliere","K1H","119.88","622.4","666.58","finale a"
"Quentin Dubelloy","K1H","120.24","689.74","671.49","finale a"
"Max Boivin","K1H","129.59","787.95","799.22","finale a"
"Lou Megret","K1H","134.79","1133.48","870.25","finale a"
"Mael Ponchateau-vasseur","K1H","139.72","1800.43","937.59","finale a"
"Bazil Grignon","K1H","140.7","787.23","950.98","finale a"
"Matheo Dupont","K1H","143.68","237.48","991.68","finale a"
"Etienne Michel","K1H","144.63","938.59","1004.66","finale a"
"Antoine Fournier","K1H","163.89","608.02","1267.75","finale a"
"Noann Capitao","K1H","180.16","794.17","1490.0","finale a"
"Samuel Marquant","K1H","182.48","918.25","1521.69","finale a"
"Louann Demanet","C1D","149.97","875.51","741.17","finale b"
"CÉlya Foucard","C1D","158.75","680.25","841.12","finale b"
"Callie Leroy","C1D","162.37","911.66","882.32","finale b"
"Paul Lecomte","C1H","124.15","718.9","649.15","finale b"
"Mathys Valliere","C1H","129.58","837.43","719.8","finale b"
"Augustin Braud","C1H","138.65","889.0","837.79","finale b"
"Mael Ponchateau-vasseur","C1H","141.68","938.57","877.2","finale b"
"Romain Podevin","C1H","141.89","952.52","879.93","finale b"
"Manoah Bally","C1H","153.83","1207.05","1035.27","finale b"
"Yanis Delmotte","C1H","160.02","1212.29","1115.8","finale b"
"Aaron Maesse","C1H","237.65","1799.76","2125.72","finale b"
"Lucie Delvalle","K1D","144.9","1653.44","785.64","finale b"
"Lalie Jumetz","K1D","171.23","3632.52","1103.93","finale b"
"Kanel Grignon","K1D","203.32","-","1491.84","finale b"
"Apolline Derivery","K1D","203.45","2701.23","1493.41","finale b"
"Jeanne Ben Hadj Azzouz","K1D","260.33","2546.48","2181.01","finale b"
"Yasmine Ouchene","K1D","335.8","1837.76","3093.32","finale b"
"Zadig Antide","K1H","120.54","833.54","680.59","finale b"
"Lucas Bizy","K1H","120.68","724.33","682.51","finale b"
"Benoit Guarim","K1H","131.49","1006.22","830.17","finale b"
"Benjamin Cabouret","K1H","132.5","772.08","843.97","finale b"
"Evan Maesse","K1H","132.68","1566.62","846.42","finale b"
"Alexis Fourotte","K1H","138.8","921.84","930.02","finale b"
"Leopold Leborgne","K1H","141.15","974.18","962.12","finale b"
"Manoah Bally","K1H","143.73","1313.77","997.37","finale b"
"Augustin Braud","K1H","144.24","1630.25","1004.33","finale b"
"Yanis Delmotte","K1H","145.84","1116.82","1026.19","finale b"
"Aaron Maesse","K1H","146.3","1565.3","1032.47","finale b"
"Yann Castryck- -genereux","K1H","146.31","979.64","1032.61","finale b"
"Noa Harel","K1H","148.07","2071.51","1056.65","finale b"
"Vincent Charlet","K1H","148.32","1078.35","1060.07","finale b"
"Jean Baptiste Caillieret","K1H","150.12","1286.45","1084.65","finale b"
"Ewann Peltier","K1H","151.39","959.86","1102.0","finale b"
"Mao Caron","K1H","153.29","893.64","1127.96","finale b"
"Louis Vanbersel","K1H","167.53","533.65","1322.47","finale b"
"LÉandre Martel","K1H","173.27","1576.52","1400.88","finale b"
"Camille Vauzelle","K1H","175.94","2510.99","1437.35","finale b"
"Titouan Roels","K1H","192.49","1610.81","1663.43","finale b"
"Sean Machin","K1H","229.48","1990.61","2168.71","finale b"
"Benjamin Sacher","K1H","244.76","1728.2","2377.43","finale b"
"Helois Dargent","K1H","250.0","1255.64","2449.01","finale b"
"Younes Sanoubi","K1H","288.9","764.56","2980.38","finale b"
"Noah Delattre","K1H","294.95","2650.0","3063.02","finale b"
"Matheo Bourdonne","K1H","350.4","-","3820.47","finale b"
