"CompÈtition RÈgionale de Slalom - 42520 St Pierre De Boeuf - Course n∞1 | Finale - 2022-10-08","42520 St Pierre De Boeuf","Course n∞1 | Finale","finale","2022-10-08","RÈgional","270"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Ella Bregazzi","C1D","99.79","107.39","131.83","finale a"
"Lucie Prioux","C1D","100.02","111.01","134.37","finale a"
"Fia Buetikofer","C1D","106.18","354.09","202.5","finale a"
"Carole Bouzidi","C1D","108.39","311.55","226.95","finale a"
"Jessica Duc","C1D","110.82","370.53","253.82","finale a"
"Dorie Deshogues","C1D","111.44","422.36","260.68","finale a"
"Tifenn Primet","C1D","114.75","395.94","297.29","finale a"
"Kesia Georgel","C1D","115.0","645.82","300.05","finale a"
"Zelie Ferraris","C1D","118.29","499.07","336.44","finale a"
"Viviana Daille","C1D","119.79","346.62","353.03","finale a"
"Anouk Alberti","C1D","120.45","327.81","360.33","finale a"
"Leonie Reichert","C1D","124.09","405.85","400.59","finale a"
"Suzanne Brossard","C1D","126.94","460.12","432.11","finale a"
"Sebastien De Kerleau","C1H","91.72","145.78","187.49","finale a"
"Julien Pajaud","C1H","93.57","302.81","210.88","finale a"
"Baptiste Delaplace","C1H","93.71","141.35","212.65","finale a"
"Martin Daviet","C1H","94.75","276.2","225.79","finale a"
"Loic Trenchant","C1H","95.03","133.08","229.33","finale a"
"Etienne Daille","C1H","96.13","256.78","243.24","finale a"
"Etienne Nardeau","C1H","98.86","352.88","277.74","finale a"
"Yuha Egraz","C1H","99.83","371.06","290.01","finale a"
"Axel Brossat","C1H","100.88","417.56","303.28","finale a"
"Thomas Levert","C1H","101.67","403.42","313.26","finale a"
"Cyrian Menuat","C1H","101.81","322.89","315.03","finale a"
"Alexis Guillon","C1H","101.95","364.45","316.8","finale a"
"Titouan Duraffourg","C1H","102.63","490.08","325.4","finale a"
"Colin Floch","C1H","103.39","412.41","335.01","finale a"
"Theo Dessolies","C1H","104.18","532.69","344.99","finale a"
"Collin Pouradier","C1H","105.64","449.09","363.45","finale a"
"Robin Le Fellic","C1H","105.75","437.48","364.83","finale a"
"Pierre Grapotte","C1H","105.89","448.95","366.61","finale a"
"Titouan Carbon","C1H","105.9","479.7","366.73","finale a"
"Gauthier Gonseth","C1H","107.02","394.27","380.89","finale a"
"Guillaume Carbon","C1H","107.05","446.75","381.26","finale a"
"Luc Doye","C1H","107.41","567.67","385.82","finale a"
"Theo Brun","C1H","108.98","440.17","405.66","finale a"
"Stephane Abadie","C1H","111.22","471.89","433.98","finale a"
"Benjamin Maubert","C1H","114.09","418.4","470.25","finale a"
"Vadym Musevych","C1H","114.57","397.08","476.32","finale a"
"Gaspard Gonseth","C1H","123.87","432.29","593.87","finale a"
"Gauthier Gonseth-Gaspard Gonseth","C2H","108.26","435.33","334.36","finale a"
"Nicolas Detheve-Nil Georgel","C2H","113.92","432.56","402.66","finale a"
"Guillaume Carbon-Titouan Carbon","C2H","120.38","602.95","480.59","finale a"
"Ameline Saunier-Alexis Guillon","C2M","121.74","521.4","374.6","finale a"
"Carole Bouzidi","K1D","95.71","99.01","152.28","finale a"
"Lucie Prioux","K1D","98.29","104.89","182.58","finale a"
"Adeline Roux","K1D","99.72","127.4","199.38","finale a"
"Anneline Triomphe","K1D","100.29","316.07","206.07","finale a"
"Manon Prioux","K1D","100.33","212.04","206.54","finale a"
"Anouk Alberti","K1D","100.81","267.53","212.18","finale a"
"Zelie Ferraris","K1D","103.51","275.63","243.89","finale a"
"Maeva Bachelot","K1D","104.16","307.13","251.53","finale a"
"Lou Ann Vuilleumier","K1D","105.13","390.7","262.92","finale a"
"Jessica Duc","K1D","106.4","339.2","277.84","finale a"
"Dorie Deshogues","K1D","107.72","331.1","293.34","finale a"
"Laura Lesches","K1D","108.92","495.55","307.43","finale a"
"Fia Buetikofer","K1D","109.29","362.28","311.78","finale a"
"Emilie Armani","K1D","109.87","489.28","318.59","finale a"
"Leonie Reichert","K1D","110.74","450.15","328.81","finale a"
"Tifenn Primet","K1D","110.94","448.39","331.16","finale a"
"Viviana Daille","K1D","111.71","215.95","340.2","finale a"
"Joey Bercon","K1D","111.84","232.74","341.73","finale a"
"Kesia Georgel","K1D","112.5","392.06","349.48","finale a"
"Judith Locatelli","K1D","113.59","436.68","362.28","finale a"
"Mylene Ferry","K1D","113.63","211.93","362.76","finale a"
"Marine Primet","K1D","115.73","524.1","387.42","finale a"
"Judith Gery","K1D","116.71","469.21","398.93","finale a"
"Chloe Faverjon","K1D","120.01","480.43","437.7","finale a"
"Lux Debruyne","K1D","123.43","604.31","477.86","finale a"
"Ambre Christin","K1D","124.49","521.68","490.31","finale a"
"Sidonie Duterage","K1D","127.98","505.35","531.31","finale a"
"Clemence Heintz","K1D","131.72","657.96","575.23","finale a"
"Maya Georgel","K1D","159.05","382.55","896.23","finale a"
"Eyleen Vuilleumier","K1D","163.67","401.78","950.5","finale a"
"Mathieu Desnos","K1H","85.14","114.95","158.13","finale a"
"Loic Trenchant","K1H","85.63","294.33","164.63","finale a"
"Etienne Daille","K1H","86.54","78.38","176.71","finale a"
"Tom Deconchy","K1H","87.42","84.61","188.39","finale a"
"Axel Brossat","K1H","87.79","233.73","193.3","finale a"
"Mael Hervault","K1H","88.38","81.41","201.13","finale a"
"Julien Pajaud","K1H","89.02","61.14","209.62","finale a"
"Arthur Blocquaux","K1H","89.09","188.34","210.55","finale a"
"Jules Silvin","K1H","89.76","252.57","219.45","finale a"
"William Desnos","K1H","90.01","150.53","222.76","finale a"
"Clement Couchoud","K1H","91.19","164.42","238.43","finale a"
"Gregoire Guerin","K1H","91.24","110.19","239.09","finale a"
"Yuha Egraz","K1H","91.43","255.0","241.61","finale a"
"Loic Bertoia","K1H","91.66","207.46","244.66","finale a"
"Clement Dancette","K1H","91.91","259.45","247.98","finale a"
"Jules Raoul","K1H","93.97","332.44","275.32","finale a"
"Leo Fournier","K1H","94.13","308.79","277.45","finale a"
"Mathieu Monier","K1H","94.74","293.33","285.54","finale a"
"Luc Doye","K1H","94.86","278.59","287.14","finale a"
"Matis Cote","K1H","94.95","309.69","288.33","finale a"
"Julien Ojard-chillet","K1H","95.01","416.98","289.13","finale a"
"Collin Pouradier","K1H","95.06","252.57","289.79","finale a"
"Alric Detheve","K1H","95.15","457.22","290.98","finale a"
"Cyrian Menuat","K1H","95.84","374.56","300.14","finale a"
"Nicolas Demofsqui","K1H","98.2","420.59","331.47","finale a"
"Basile Monzerian","K1H","98.54","398.28","335.98","finale a"
"Pierre Pans","K1H","98.58","366.41","336.51","finale a"
"Maxime Devis","K1H","98.67","240.39","337.7","finale a"
"Nicolas Feuillard","K1H","98.77","263.89","339.03","finale a"
"Clement Rota","K1H","98.79","378.99","339.3","finale a"
"Isaac Pinneau","K1H","99.17","303.63","344.34","finale a"
"Titouan Sourieau","K1H","99.26","379.88","345.53","finale a"
"Thomas Monier","K1H","99.48","428.9","348.45","finale a"
"Elie Sutra","K1H","99.52","336.89","348.98","finale a"
"Colin Floch","K1H","99.55","328.92","349.38","finale a"
"Arik Buetikofer","K1H","100.44","470.31","361.2","finale a"
"Robin Le Fellic","K1H","100.63","425.85","363.72","finale a"
"Julien Beltrami","K1H","101.03","443.08","369.03","finale a"
"Enzo Lambert","K1H","101.41","477.92","374.07","finale a"
"Theo Brun","K1H","101.51","157.6","375.4","finale a"
"Bertrand Lamy","K1H","101.91","474.23","380.71","finale a"
"Alexandre Verbinnen","K1H","101.93","472.93","380.97","finale a"
"Gustave Gonseth","K1H","102.05","506.22","382.56","finale a"
"Julien Saguet","K1H","102.09","495.82","383.09","finale a"
"Eliot Gompel","K1H","102.51","412.35","388.67","finale a"
"Sebastien Lepaulard","K1H","103.24","489.98","398.36","finale a"
"Victorien Pittion","K1H","103.49","378.51","401.68","finale a"
"Timeo Triomphe","K1H","103.75","459.01","405.13","finale a"
"Leo Parnotte","K1H","103.97","366.14","408.05","finale a"
"Jerome Talbot","K1H","105.08","484.46","422.78","finale a"
"Olivier Hardonniere","K1H","105.61","414.49","429.81","finale a"
"Victor Eduardo Carneiro Gomes","K1H","105.66","369.5","430.48","finale a"
"Bertrand Dubiez","K1H","105.79","459.29","432.2","finale a"
"G…d…on Gonseth","K1H","106.21","437.34","437.78","finale a"
