"Sélectif Régional Slalom (Double) - 45100 Orleans - Course n°2 | Finale - 2022-10-09","45100 Orleans","Course n°2 | Finale","finale","2022-10-09","Régional","63"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Soizic Demaline","C1D","155.72","927.43","791.42","finale a"
"Andrea Bruniquel","C1D","361.1","3474.56","3087.22","finale a"
"Emile Verdier","C1H","109.36","376.53","447.82","finale a"
"Paul Tallet Pinet","C1H","111.46","339.35","474.65","finale a"
"Fabien Tournadre","C1H","112.38","429.9","486.41","finale a"
"Philippe Senechal","C1H","122.57","696.49","616.58","finale a"
"Killian Berlu","C1H","126.71","646.08","669.47","finale a"
"Ronan Poret","C1H","137.83","827.38","811.54","finale a"
"Liam Simon","C1H","139.71","1540.71","835.55","finale a"
"Charly Chassigneux","C1H","164.22","292.82","1148.67","finale a"
"Charly Chassigneux-Fabien Tournadre","C2H","118.37","433.19","494.19","finale a"
"Paul Tallet Pinet-Benoit Lecluse","C2H","128.73","689.83","620.52","finale a"
"SÉrÉna Guibane","K1D","130.32","604.63","597.72","finale a"
"Maud Denis","K1D","144.27","658.31","763.33","finale a"
"Soizic Demaline","K1D","145.64","808.06","779.59","finale a"
"Lou Ann Dabin","K1D","152.93","1254.23","866.12","finale a"
"Andrea Bruniquel","K1D","188.19","1487.58","1284.69","finale a"
"Fabien Tournadre","K1H","103.53","276.92","439.47","finale a"
"Jacques Precigout","K1H","105.14","439.23","461.07","finale a"
"Dante Bourlet De La Vallee","K1H","108.31","454.65","503.59","finale a"
"Emile Verdier","K1H","111.11","567.04","541.15","finale a"
"Theophile Vincent","K1H","112.73","629.47","562.88","finale a"
"Thomas De Boysson","K1H","112.94","676.93","565.7","finale a"
"Killian Berlu","K1H","113.63","501.1","574.96","finale a"
"Guillaume Arnaud","K1H","115.18","598.68","595.75","finale a"
"Herve Denis","K1H","115.18","544.17","595.75","finale a"
"Childeric Thoreau","K1H","117.89","800.75","632.1","finale a"
"Philippe Gall","K1H","118.9","590.51","645.65","finale a"
"Paul Tallet Pinet","K1H","119.81","682.79","657.85","finale a"
"Liam Simon","K1H","121.71","971.49","683.34","finale a"
"Simon Labet","K1H","122.38","588.58","692.33","finale a"
"Clement Quaeghebeur","K1H","122.68","658.05","696.35","finale a"
"Yanis Lestoquoy","K1H","123.39","748.0","705.88","finale a"
"Jikael Merlet","K1H","123.79","694.21","711.24","finale a"
"Nicolas Leconte","K1H","124.88","783.03","725.86","finale a"
"Arthur Flament","K1H","129.25","903.66","784.48","finale a"
"Benoit Lecluse","K1H","132.86","799.99","832.91","finale a"
"Herve Denis","C1H","140.0","880.77","844.25","finale b"
"Matis Hernu","C1H","143.01","752.86","882.71","finale b"
"Thomas De Boysson","C1H","145.47","952.47","914.14","finale b"
"Arthur Flament","C1H","150.23","921.56","974.94","finale b"
"Bruno Louviot","C1H","152.22","941.2","1000.36","finale b"
"Nicolas Leconte","C1H","153.52","1233.5","1016.98","finale b"
"Pierre Chassigneux","C1H","158.94","1108.89","1086.21","finale b"
"Ronan Poret","K1H","119.22","829.93","654.94","finale b"
"Enzo Tisset","K1H","123.97","639.68","718.66","finale b"
"Matis Hernu","K1H","125.08","791.59","733.55","finale b"
"Bruno Louviot","K1H","126.49","839.11","752.46","finale b"
"Steve Bruniquel","K1H","130.86","810.99","811.08","finale b"
"Dorian Trompat","K1H","133.19","742.84","842.33","finale b"
"Claude Flouret","K1H","135.51","804.15","873.45","finale b"
"Eric Pouradier","K1H","136.22","1034.6","882.98","finale b"
"Valentin Gall","K1H","137.34","1040.57","898.0","finale b"
"Arun Schuit","K1H","140.86","1102.63","945.22","finale b"
"Nicolas Petipez","K1H","140.96","950.96","946.56","finale b"
"Lilian Hlodan","K1H","141.45","969.68","953.13","finale b"
"Antoine Michel","K1H","156.29","974.92","1152.2","finale b"
"Jerome Proux","K1H","164.23","1011.07","1258.7","finale b"
"Lucas Voisin","K1H","166.84","964.57","1293.71","finale b"
"Gaetan Montoir","K1H","183.18","1645.82","1512.9","finale b"
"Pierre Chassigneux","K1H","187.84","1178.18","1575.41","finale b"
"Maarten Schuit","K1H","200.07","1505.29","1739.46","finale b"
"Loic Merlet","K1H","215.28","2599.63","1943.49","finale b"
