"Championnat de Bretagne Slalom 2022 - 22300 Lannion - Qualification - 2022-11-27","22300 Lannion","Qualification","qualif","2022-11-27","RÈgional","207"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Camille Castryck","C1D","119.26","163.94","150.44",""
"L…na Quemerais","C1D","122.82","240.6","183.69",""
"Eva Marchand","C1D","129.18","352.24","243.08",""
"Laurette Laly","C1D","147.82","414.29","417.16",""
"Clara Perrot","C1D","151.05","547.57","447.32",""
"Nina Vandame","C1D","157.42","635.95","506.81",""
"Klara Lubin","C1D","163.34","580.38","562.1",""
"Kim Agnimo Seyer","C1D","192.95","688.74","838.63",""
"Nicolas Gestin","C1H","101.03","34.82","114.98",""
"Yves Bourhis","C1H","104.42","220.4","151.16",""
"Jean Pierre Bourhis","C1H","105.08","128.37","158.2",""
"Elouan Debliquy","C1H","105.6","159.46","163.75",""
"Cedric Joly","C1H","107.17","58.95","180.51",""
"Martin Cornu","C1H","107.99","120.33","189.27",""
"Corentin Oulhen","C1H","109.88","191.49","209.44",""
"Gireg Hamoniaux","C1H","110.44","200.99","215.41",""
"Glen Le Meur","C1H","111.41","128.74","225.77",""
"Timothee Cornu","C1H","111.64","214.95","228.22",""
"Tomy Dandonneau","C1H","111.85","263.71","230.46",""
"Mewen Debliquy","C1H","114.03","38.61","253.73",""
"Paul Gestin","C1H","115.15","385.23","265.69",""
"Hugo Eouzan-chaffotec","C1H","116.77","361.7","282.98",""
"Baptiste Le Poncin","C1H","117.41","-","289.8",""
"Gwenole Noyalet","C1H","118.07","323.23","296.85",""
"Matthis Fradin","C1H","119.1","409.24","307.84",""
"Erwan Perron","C1H","119.76","525.51","314.88",""
"Matheo Lebaindre","C1H","120.23","365.35","319.9",""
"Jonas Le Guen","C1H","121.81","-","336.77",""
"Julien Darcillon","C1H","122.26","396.55","341.57",""
"Liam Le Touze","C1H","126.27","654.71","384.36",""
"Simon Le Nevez","C1H","126.36","495.64","385.33",""
"Jules Le Nevez","C1H","128.14","608.03","404.32",""
"Victor Julou","C1H","129.49","597.0","418.74",""
"Clement Olivier","C1H","130.47","561.99","429.19",""
"Lorin Dumont","C1H","130.82","413.62","432.92",""
"Pascal Marrec","C1H","134.48","-","471.99",""
"Gurvan Piton","C1H","137.04","653.67","499.31",""
"Loan Beaucourt","C1H","137.66","679.77","505.93",""
"Joachim Berthelot","C1H","137.83","648.43","507.75",""
"Timothe Balbous","C1H","138.18","471.47","511.48",""
"Lubin Huet","C1H","138.79","421.26","517.99",""
"Titouan Briand","C1H","139.27","510.86","523.11",""
"Julien Caillarec","C1H","139.32","785.68","523.65",""
"Cedric Collet","C1H","140.71","660.08","538.49",""
"Nicolas Le Belleguic","C1H","145.07","674.79","585.02",""
"Mewen Coadou","C1H","150.36","718.95","641.48",""
"Theo Precigoux","C1H","157.08","-","713.2",""
"Axel Binet","C1H","160.09","689.18","745.33",""
"Marin Guillouet","C1H","162.63","750.47","772.44",""
"Celio Chevallier","C1H","164.84","685.21","796.02",""
"Marin Salmon","C1H","166.36","311.04","812.25",""
"Killian Flegeau","C1H","172.86","476.45","881.63",""
"Matthew Lechangeur Feron","C1H","174.59","1103.92","900.09",""
"Maxime Metay","C1H","178.21","459.94","938.73",""
"Thomas Hado","C1H","184.97","734.68","1010.88",""
"Gabin Mesnil","C1H","191.15","585.78","1076.84",""
"Oscar Mizzi","C1H","197.97","658.44","1149.63",""
"Basile Soyer","C1H","198.11","804.02","1151.12",""
"Alexis Moello","C1H","225.65","931.68","1445.06",""
"Noa Harel","C1H","234.01","946.16","1534.28",""
"Augustin Braud","C1H","242.54","795.89","1625.32",""
"Laurette Laly-Nina Vandame","C2D","284.55","977.26","1489.66",""
"Victor Julou-Loan Beaucourt","C2H","143.23","726.81","495.89",""
"Gabin Mesnil-Basile Soyer","C2H","154.28","777.8","608.48",""
"Gireg Hamoniaux-Eva Marchand","C2M","129.35","765.46","244.67",""
"Pacome Michel-Clara Perrot","C2M","152.79","804.52","463.57",""
"Martin Braud-Jade Le Pesq","C2M","251.72","-","1387.48",""
"Anne Boixel","K1D","117.06","574.42","197.62",""
"Camille Castryck","K1D","119.34","218.5","220.23",""
"L…na Quemerais","K1D","120.45","211.07","231.24",""
"Estelle Hellard","K1D","121.28","362.7","239.46",""
"Eva Marchand","K1D","124.94","332.78","275.76",""
"Laurette Laly","K1D","125.64","378.67","282.71",""
"Clara Perrot","K1D","128.99","539.72","315.92",""
"Laurie Beaurepere","K1D","133.36","484.23","359.27",""
"Frederique Piton","K1D","137.5","568.31","400.32",""
"Klara Lubin","K1D","137.58","585.9","401.12",""
"Sylviane Quemerais","K1D","139.15","510.56","416.7",""
"Marion Grangeon","K1D","139.68","463.36","421.95",""
"Kim Agnimo Seyer","K1D","140.39","611.58","428.99",""
"Laurine Meslong","K1D","141.0","656.74","435.04",""
"Nina Vandame","K1D","146.14","570.27","486.01",""
"Alwena Piton","K1D","146.82","541.79","492.76",""
"Bertille Nivet","K1D","147.92","514.13","503.67",""
"Gwendoline Hall","K1D","159.86","1305.95","622.08",""
"Jade Le Pesq","K1D","165.27","607.69","675.74",""
"Clothilde Le Louarn","K1D","197.2","581.33","992.4",""
"Juna Marquet","K1D","202.08","468.37","1040.8",""
"Aurelie Hall","K1D","214.16","853.36","1160.6",""
"Maureen Geslin","K1D","230.12","885.54","1318.88",""
"Iona Le Corguill…","K1D","271.71","-","1731.34",""
"Juliette Gohin","K1D","274.55","735.37","1759.52",""
"Salome Le Naour","K1D","349.05","1288.69","2498.36",""
"Malo Quemeneur","K1H","94.46","14.96","95.26",""
"Martin Cornu","K1H","95.43","76.32","106.14",""
"Titouan Castryck","K1H","95.87","13.57","111.07",""
"Hugo Regnier","K1H","97.15","57.16","125.41",""
"Pol Oulhen","K1H","98.03","38.58","135.27",""
"Tom Bouchardon","K1H","99.2","96.93","148.38",""
"Matheo Lebaindre","K1H","99.22","146.39","148.61",""
"Jonas Le Guen","K1H","99.7","179.92","153.99",""
"Elouan Debliquy","K1H","101.09","134.1","169.57",""
"Timothee Cornu","K1H","104.51","292.24","207.89",""
"Killian Flegeau","K1H","105.12","160.94","214.73",""
"Paul Gestin","K1H","105.62","138.09","220.33",""
"Nicolas Gestin","K1H","106.43","-","229.41",""
"Liam Le Touze","K1H","106.61","274.0","231.43",""
"Nicolas Mevel","K1H","106.85","316.39","234.12",""
"Gireg Hamoniaux","K1H","107.83","444.03","245.1",""
"Milio Le Touze","K1H","107.83","298.86","245.1",""
"Jules Brisson","K1H","107.87","260.86","245.55",""
"Lorin Dumont","K1H","108.68","324.7","254.62",""
"Nathan Flageul","K1H","108.8","336.96","255.97",""
"Gurvan Piton","K1H","110.3","466.72","272.78",""
"Tao Petit","K1H","110.71","258.25","277.37",""
"Mat…o Delachair","K1H","110.83","411.9","278.72",""
"Riwal Le Berre","K1H","111.51","-","286.34",""
"Lionel Tinevez","K1H","112.05","463.41","292.39",""
"Celio Chevallier","K1H","112.19","524.73","293.96",""
"Clement Olivier","K1H","112.59","379.51","298.44",""
"Nicolas Coudert","K1H","113.11","386.34","304.27",""
"Jules Le Nevez","K1H","113.61","491.96","309.87",""
"Pierre Hellard","K1H","113.94","443.95","313.57",""
"Frederic Castryck","K1H","114.01","533.04","314.36",""
"Adrien Pierre","K1H","114.66","444.17","321.64",""
"Pacome Michel","K1H","114.76","421.76","322.76",""
"Titouan Briand","K1H","115.43","458.22","330.27",""
"Joachim Berthelot","K1H","116.67","559.6","344.17",""
"Lubin Huet","K1H","116.68","487.17","344.28",""
"Marin Salmon","K1H","116.91","430.83","346.86",""
"Thomas Hado","K1H","117.12","428.41","349.21",""
"Pascal Marrec","K1H","117.22","439.46","350.33",""
"Maxence Quillere","K1H","117.32","419.4","351.45",""
"Oscar Mizzi","K1H","117.81","493.84","356.94",""
"Nino Pontillo","K1H","117.88","479.25","357.73",""
"Timothe Balbous","K1H","118.78","451.29","367.81",""
"Simon Le Nevez","K1H","118.81","285.68","368.15",""
"Francois Adam","K1H","118.92","501.87","369.38",""
"Franck Delachair","K1H","118.94","456.85","369.6",""
"Daneric Ollivier","K1H","119.24","371.94","372.97",""
"Nicolas Le Belleguic","K1H","119.54","465.4","376.33",""
"Dorian Ollivier","K1H","119.71","400.41","378.23",""
"Noah Hebert","K1H","119.98","499.62","381.26",""
"Yoann Le Guyader","K1H","120.02","486.27","381.71",""
"Gabin Mesnil","K1H","120.23","498.13","384.06",""
"Florian Szabo","K1H","120.95","542.02","392.13",""
"Edern Portier","K1H","121.24","582.93","395.38",""
"Julien Caillarec","K1H","121.39","525.39","397.06",""
"Zelio Goater","K1H","121.66","453.39","400.09",""
