"Sélectif Régional Slalom (Double) - 64300 Orthez - Course n°2 | Qualification - 2022-11-27","64300 Orthez","Course n°2 | Qualification","qualif","2022-11-27","Régional","158"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Youlia Estanguet","C1D","117.74","262.24","253.83",""
"Rozmarina Estanguet","C1D","123.9","324.6","317.85",""
"Laura Pellicer","C1D","125.24","271.98","331.79",""
"Margot Lapeze","C1D","129.47","415.85","375.75",""
"Ester Narduzzi","C1D","135.9","506.1","442.58",""
"Emmelyne Sauvagnac","C1D","163.7","440.65","731.53",""
"Lilou Maniet","C1D","201.32","425.33","1122.55",""
"LÉonie Andrecondouret","C1D","213.31","634.71","1247.16",""
"Marc Sarramea","C1H","94.15","91.12","148.44",""
"Lucas Roisin","C1H","95.47","59.88","164.12",""
"Liam Jegou","C1H","95.67","106.7","166.49",""
"Jason Brothier","C1H","100.98","125.8","229.57",""
"Chin Han Liu","C1H","102.48","251.66","247.38",""
"Titouan Estanguet","C1H","104.61","257.96","272.69",""
"Loris Shayam Affre","C1H","104.89","304.75","276.01",""
"Emeric Nieser","C1H","109.39","182.48","329.47",""
"Baptiste Tappero","C1H","109.49","369.75","330.65",""
"Theo Brun","C1H","111.28","307.2","351.92",""
"Aurelien Merieux Danneaux","C1H","111.77","278.58","357.74",""
"Ianis Triomphe","C1H","113.43","264.63","377.46",""
"Gauthier Beyneix","C1H","113.46","405.61","377.81",""
"Jonah Hanrahan","C1H","117.1","352.08","421.05",""
"Tao Gautier-araspin","C1H","118.1","493.98","432.93",""
"Tristan Ruiz","C1H","118.7","421.99","440.06",""
"Arnaud Pontaut","C1H","120.03","473.87","455.85",""
"Ilyam Affre","C1H","120.16","428.59","457.4",""
"Mathieu Doby","C1H","120.29","390.87","458.94",""
"Nathan Caprice Michaux","C1H","121.54","437.36","473.79",""
"Florian Latapiebayroo","C1H","128.01","722.12","550.64",""
"Martin Grzeskowiak","C1H","131.32","569.7","589.97",""
"Bastien Andrzejewski","C1H","134.25","509.21","624.77",""
"Tom Pucheu","C1H","140.22","787.92","695.69",""
"Paul Gobert","C1H","141.93","360.18","715.99",""
"Thomas Crampes","C1H","144.19","626.05","742.85",""
"Youri Goliard","C1H","148.67","651.07","796.05",""
"Yoann Duquennoy","C1H","151.17","806.22","825.75",""
"Arthur Dury","C1H","167.26","636.82","1016.88",""
"Louis Labarthe","C1H","182.25","389.28","1194.94",""
"Alexandre Arnaud","C1H","300.1","1549.19","2594.85",""
"Ilyam Affre-Yanis Pons","C2H","216.7","891.72","1487.16",""
"Jules Beigbeder-Yoann Duquennoy","C2H","303.71","628.91","2473.74",""
"Marie-zelia Lafont","K1D","95.38","40.24","82.84",""
"Margot Lapeze","K1D","105.87","332.5","198.62",""
"Youlia Estanguet","K1D","107.27","243.92","214.07",""
"Maeva Bachelot","K1D","108.47","297.0","227.32",""
"Laura Pellicer","K1D","108.96","225.55","232.73",""
"Anna Barroso Portella","K1D","109.27","242.95","236.15",""
"Lolita Seguy","K1D","109.48","262.59","238.47",""
"Carla Lacroix","K1D","115.22","209.07","301.83",""
"Avril Saut","K1D","118.51","394.12","338.14",""
"Lilou Maniet","K1D","119.72","376.22","351.49",""
"Mila Dastugue Lavignasse","K1D","121.22","400.89","368.04",""
"Marie Amelie Silvin","K1D","121.97","116.01","376.33",""
"Ester Narduzzi","K1D","122.98","468.04","387.48",""
"Roxana Razeghian","K1D","126.42","365.51","425.44",""
"Marine Izac","K1D","127.55","514.66","437.92",""
"Alice Daniels","K1D","128.95","374.04","453.37",""
"Emmelyne Sauvagnac","K1D","133.74","496.92","506.24",""
"Lola Miremont","K1D","134.78","550.83","517.72",""
"LÉonie Andrecondouret","K1D","137.12","549.24","543.55",""
"Cloe Ducasse","K1D","137.69","536.52","549.84",""
"Cecile Chiron","K1D","141.39","488.61","590.68",""
"Ninon Sanchette","K1D","141.95","546.69","596.85",""
"Jessica Joyau","K1D","155.82","586.2","749.95",""
"Maelle Gerbet","K1D","172.22","514.16","930.97",""
"Rozmarina Estanguet","K1D","175.06","356.8","962.31",""
"Louna Cabanes","K1D","185.22","1278.72","1074.45",""
"Elina Processe","K1D","200.91","1691.55","1247.64",""
"Aimie Grzeskowiak","K1D","241.57","601.73","1696.44",""
"Sidonie Burgio","K1D","270.23","880.01","2012.78",""
"Melodie Bardollet","K1D","272.45","2388.09","2037.27",""
"Candice Tuquoy Gonzalez","K1D","298.34","523.28","2323.05",""
"Simon Hene","K1H","87.05","52.87","115.8",""
"Gino Benini","K1H","87.21","87.02","117.79",""
"Florian Busson","K1H","87.84","83.83","125.65",""
"Pierre-louis Saussereau","K1H","87.93","55.15","126.77",""
"Titouan Estanguet","K1H","89.5","208.79","146.36",""
"Ianis Triomphe","K1H","91.38","124.56","169.81",""
"Baptiste Delemotte","K1H","91.54","227.68","171.8",""
"Joris Hello","K1H","92.26","89.18","180.78",""
"Fantin Delage-garez","K1H","92.33","223.19","181.65",""
"Unai Oteiza","K1H","94.12","191.81","203.98",""
"Jimy Bercon","K1H","94.34","196.49","206.72",""
"Simon Tourtois","K1H","94.35","310.67","206.85",""
"Mathys Maniet","K1H","94.58","320.48","209.72",""
"Max Derame","K1H","94.8","235.58","212.46",""
"Yon Dandonneau","K1H","95.16","126.78","216.95",""
"Paul Cornut-chauvinc","K1H","95.46","130.49","220.69",""
"Loris Shayam Affre","K1H","95.74","244.93","224.19",""
"Timeo Canonico","K1H","97.39","282.2","244.77",""
