"SÈlectif RÈgional Slalom (Double) - 85610 Cugand - Course n∞2 | Qualification - 2022-11-27","85610 Cugand","Course n∞2 | Qualification","qualif","2022-11-27","RÈgional","122"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Honorine Pichard","C1D","124.02","475.57","573.12",""
"Margot Renaudineau","C1D","133.43","678.49","688.71",""
"Blandine Xhemajlji","C1D","134.16","630.15","697.67",""
"Zoe Malval","C1D","135.34","609.61","712.16",""
"Romane Bronchet","C1D","140.44","509.1","774.81",""
"Aurore Gobin","C1D","140.8","820.5","779.23",""
"Romain Bruneau","C1H","108.08","500.58","566.97",""
"Matteo Weinegaessel","C1H","108.3","562.65","570.06",""
"Robin Guignard","C1H","108.97","533.73","579.47",""
"Nicolas Rouleaud","C1H","110.93","562.36","606.99",""
"Maxence Davy","C1H","111.37","-","613.17",""
"Sacha Menard","C1H","112.56","499.65","629.87",""
"Cl…ment Davy","C1H","114.84","531.3","661.87",""
"Eliot Chouteau","C1H","117.77","677.22","703.01",""
"Marwan Bazot","C1H","122.25","755.88","765.9",""
"Herve Busson","C1H","122.82","-","773.89",""
"Laurent Chiron","C1H","126.8","689.52","829.77",""
"Felix Bernier","C1H","129.9","712.53","873.29",""
"Jolan Lebranchu","C1H","130.71","944.17","884.67",""
"Ga tan Le Roy","C1H","132.21","850.28","905.72",""
"Arthur Gautier Jean","C1H","135.89","1049.31","957.38",""
"Mathis Barre","C1H","135.92","1013.86","957.81",""
"Tanguy Odot","C1H","140.31","-","1019.44",""
"Aubin Cherre","C1H","141.08","1022.66","1030.24",""
"Meven Le Berre","C1H","142.32","1137.02","1047.65",""
"Bastian Pichon","C1H","142.75","807.18","1053.68",""
"Baptiste Gobin","C1H","145.71","1253.63","1095.23",""
"Maxime Go","C1H","145.95","-","1098.61",""
"Raphael Garnier-albert","C1H","148.69","1487.48","1137.08",""
"Emile Pichard","C1H","149.71","-","1151.39",""
"Maxence Segaud","C1H","150.29","1514.34","1159.53",""
"Arthur Chouteau","C1H","155.86","1158.47","1237.73",""
"Remi Launay","C1H","162.04","1127.57","1324.49",""
"Titouan Clenet","C1H","166.41","1246.71","1385.84",""
"Ewen Lema","C1H","176.46","1506.0","1526.92",""
"Andy Barat-Romain Bruneau","C2H","112.44","-","556.43",""
"Robin Guignard-Eliot Chouteau","C2H","121.88","1060.76","682.93",""
"Tanguy Odot-Mathis Odot","C2H","155.55","-","1134.12",""
"Myriam Le Joncourt-Nicolas Rouleaud","C2M","137.3","623.74","736.25",""
"Maxence Guiziou-Elodie Morin - S…rot","C2M","146.65","-","851.09",""
"Meven Le Berre-Margot Renaudineau","C2M","155.8","1193.09","963.48",""
"Emile Landerretche-Lea Sibioude","C2M","159.53","780.47","1009.31",""
"Romane Bronchet-Romain Bruneau","C2M","177.48","538.27","1229.8",""
"Myriam Le Joncourt","K1D","95.25","277.89","292.19",""
"Honorine Pichard","K1D","105.29","470.53","423.16",""
"Zoe Malval","K1D","110.58","378.2","492.17",""
"Blandine Xhemajlji","K1D","111.49","507.27","504.04",""
"Lea Sibioude","K1D","111.73","561.79","507.17",""
"Romane Bronchet","K1D","112.45","520.43","516.56",""
"Valerie Sibioude","K1D","116.61","560.17","570.83",""
"Margot Renaudineau","K1D","120.89","680.78","626.65",""
"Elodie Morin - S…rot","K1D","121.17","596.78","630.31",""
"Alexine Torche","K1D","127.32","-","710.54",""
"Aurore Gobin","K1D","128.6","731.56","727.23",""
"Johanne Duval-pourrieux","K1D","157.47","957.27","1103.83",""
"Justine Bossard","K1D","193.64","1326.37","1575.65",""
"Audrey Morice","K1D","235.07","-","2116.09",""
"Manon Go","K1D","286.54","-","2787.48",""
"Maxence Davy","K1H","85.68","113.81","312.65",""
"Romain Margerie","K1H","85.81","227.37","314.57",""
"Romain Bruneau","K1H","86.15","98.82","319.58",""
"Andy Barat","K1H","88.95","324.12","360.86",""
"Sacha Menard","K1H","89.99","360.05","376.19",""
"Cl…ment Davy","K1H","90.21","284.41","379.43",""
"Matteo Weinegaessel","K1H","91.35","327.34","396.23",""
"Mathis Odot","K1H","91.59","449.83","399.77",""
"Cl…ment Louveau","K1H","91.65","282.87","400.65",""
"Nicolas Rouleaud","K1H","92.18","322.1","408.47",""
"Herve Busson","K1H","92.39","330.71","411.56",""
"Denis Guilmard","K1H","93.4","446.53","426.45",""
"Marwan Bazot","K1H","94.27","284.03","439.27",""
"Eliot Chouteau","K1H","94.47","390.06","442.22",""
"Axel Brin","K1H","94.64","449.61","444.73",""
"Theodore Favreau","K1H","94.69","352.64","445.46",""
"Yann Vergelin","K1H","96.16","446.75","467.13",""
"Bastien Mailly","K1H","97.49","510.49","486.74",""
"Vincent Laclide","K1H","99.32","340.94","513.71",""
"Emile Landerretche","K1H","99.44","523.76","515.48",""
"Mathis Barre","K1H","102.2","595.88","556.16",""
"Maxence Guiziou","K1H","103.04","587.88","568.55",""
"Jerome Marchais","K1H","103.98","910.44","582.4",""
"Bastian Pichon","K1H","104.76","915.34","593.9",""
"Philippe Rocher","K1H","105.11","672.18","599.06",""
"Clement Collardez","K1H","105.45","609.7","604.07",""
"Armand Fougere","K1H","105.91","517.17","610.85",""
"Felix Bernier","K1H","106.65","596.34","621.76",""
"Erwan Desbordes","K1H","108.84","642.24","654.04",""
"Robin Guignard","K1H","109.52","549.11","664.06",""
"Tanguy Odot","K1H","112.03","642.48","701.06",""
"Kevin Mousserion","K1H","113.16","676.8","717.72",""
"Remi Launay","K1H","114.27","884.23","734.08",""
"Nolann Atry","K1H","114.31","835.6","734.67",""
"Arthur Gautier Jean","K1H","115.02","787.26","745.14",""
"Emile Pichard","K1H","117.29","-","778.6",""
"Ewen Lema","K1H","118.76","1040.24","800.26",""
"Meven Le Berre","K1H","120.72","775.81","829.16",""
"Arthur Chouteau","K1H","121.36","957.08","838.59",""
"Maxence Segaud","K1H","125.83","828.88","904.48",""
"Eluan Michineau","K1H","127.0","1131.74","921.72",""
