"Sélectif Régional de Slalom - 77201 Torcy - Qualification - 2022-12-04","77201 Torcy","Qualification","qualif","2022-12-04","Régional","234"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Clara Delahaye","C1D","124.91","346.29","286.04",""
"Adelie Courrech Du Pont","C1D","136.94","538.68","404.4",""
"Alina Rassel","C1D","137.25","429.96","407.45",""
"Lina Belhaddad","C1D","139.78","491.36","432.34",""
"Loan Battistuzzi","C1D","141.36","865.68","447.88",""
"Adele Charlaigre","C1D","142.25","839.49","456.65",""
"Laura Demuru","C1D","143.12","995.3","465.2",""
"Fany Marck","C1D","149.56","700.01","528.56",""
"Morgane Gharbi-louyer","C1D","155.15","661.44","583.56",""
"Marion Loheac","C1D","158.9","905.87","620.46",""
"Irene Combes","C1D","160.01","628.91","631.38",""
"Celine Kalwarowski","C1D","167.3","1766.73","703.1",""
"Anae Calleau","C1D","172.15","-","750.81",""
"Clemence Debayle","C1D","175.13","717.79","780.14",""
"Marguerite Mathey","C1D","190.69","2563.56","933.22",""
"Lison Marchal","C1D","192.47","-","950.74",""
"Tess Greiveldinger","C1D","193.21","-","958.01",""
"Katia Le Goff","C1D","236.53","-","1384.22",""
"Nicolas Gestin","C1H","96.2","34.82","138.78",""
"Yves Bourhis","C1H","104.6","206.67","233.23",""
"Hector Combes","C1H","104.86","85.89","236.16",""
"Loic Dufour","C1H","112.25","264.11","319.25",""
"Marvin Tulpin","C1H","114.41","235.27","343.54",""
"Matheo Senechault","C1H","115.61","362.34","357.03",""
"Benoit Chantry","C1H","115.77","298.47","358.83",""
"Alois Brucher","C1H","116.2","289.39","363.67",""
"Damien Duchemin","C1H","118.29","571.54","387.16",""
"Jean Charles Hacquart","C1H","119.58","773.51","401.67",""
"Valerian Descot","C1H","120.09","318.03","407.4",""
"Loric Bertrand Delorme","C1H","121.43","547.21","422.48",""
"Enzo Marchand","C1H","123.0","421.97","440.13",""
"Yohan Marck","C1H","124.77","560.17","460.03",""
"Vincent Delahaye","C1H","125.89","448.27","472.62",""
"Nenad Trpovski","C1H","129.33","427.79","511.3",""
"Amaury Brucher","C1H","130.67","397.78","526.37",""
"Leo Roye","C1H","131.24","476.61","532.77",""
"Anas Renoux","C1H","131.32","571.88","533.68",""
"Kavishan Kulatunga","C1H","131.5","645.19","535.7",""
"Jo Rivrin-delfosse","C1H","133.21","691.15","554.93",""
"Mathis Colin","C1H","133.36","431.36","556.62",""
"Louis Arribe","C1H","134.1","824.09","564.93",""
"Jacques Nardeau","C1H","135.06","721.48","575.74",""
"Alexandre Fallourd-marec","C1H","136.04","598.37","586.75",""
"Antonin Trotta","C1H","136.19","636.1","588.44",""
"Noah Prompt","C1H","137.19","869.7","599.68",""
"Ilyan Dinally","C1H","139.83","795.89","629.36",""
"Maxime Dromer","C1H","140.47","803.33","636.56",""
"Clement Dufraine","C1H","141.22","830.59","644.99",""
"Louis Marechal","C1H","143.01","825.54","665.12",""
"Xavier Perreau","C1H","143.72","1034.16","673.1",""
"Noa Nikiema-schwarz","C1H","144.11","786.84","677.5",""
"James Lennon","C1H","144.96","815.4","687.05",""
"Florent Tamburini","C1H","145.82","777.12","696.72",""
"Wally Ndiaye","C1H","149.63","1098.57","739.56",""
"Nolann Fidon","C1H","153.4","-","781.95",""
"Robin Tester","C1H","155.14","772.49","801.51",""
"Louis-anis Chalbi-fabre","C1H","155.17","814.49","801.85",""
"Othis Dabin","C1H","156.81","-","820.29",""
"Mael Rusak","C1H","157.71","2168.45","830.41",""
"Loig Le Guennec","C1H","158.4","-","838.17",""
"Pol Guivarch","C1H","159.73","1860.85","853.13",""
"Victor-antoine Roussel","C1H","161.04","1128.88","867.85",""
"Hugues Dervieux","C1H","161.83","-","876.74",""
"Nathan Prompt","C1H","161.98","1015.04","878.43",""
"Cyprien Pohu","C1H","163.57","2751.26","896.3",""
"Mathis Tamburini","C1H","163.94","1132.31","900.46",""
"Charles Dampeyrou","C1H","164.17","349.03","903.04",""
"Aly-guilhem Sow","C1H","165.11","1119.46","913.62",""
"Melvin Queudeville","C1H","174.77","417.92","1022.24",""
"Matthieu Lauberton","C1H","175.51","2500.34","1030.55",""
"Dorian Picard","C1H","199.42","-","1299.41",""
"Alain Brucher","C1H","199.42","1632.77","1299.41",""
"Jules Bachoffer","C1H","204.83","1579.44","1360.23",""
"Ilyes Chaabi","C1H","230.65","-","1650.56",""
"Sacha Dupriet","C1H","264.95","-","2036.23",""
"Marc Antoine Le Goff","C1H","348.39","-","2974.45",""
"Adelie Courrech Du Pont-Lina Belhaddad","C2D","168.15","625.67","584.2",""
"Maelle Froment-Celine Kalwarowski","C2D","203.46","-","904.89",""
"Marion Loheac-Marguerite Mathey","C2D","206.68","-","934.13",""
"Clemence Debayle-Morgane Gharbi-louyer","C2D","209.16","-","956.64",""
"Jean Charles Hacquart-Marvin Tulpin","C2H","123.59","491.74","383.6",""
"Valerian Descot-Alois Brucher","C2H","135.62","590.99","512.71",""
"Yohan Marck-Charles Dampeyrou","C2H","137.84","639.18","536.54",""
"Jo Rivrin-delfosse-Antonin Trotta","C2H","168.52","1092.16","865.83",""
"Noah Prompt-Nathan Prompt","C2H","183.15","1123.21","1022.86",""
"Xavier Perreau-Alain Brucher","C2H","192.29","3448.45","1120.95",""
"Matthieu Lauberton-Romain Gagneux","C2H","211.16","-","1323.49",""
"Marc Antoine Le Goff-Sacha Dupriet","C2H","281.86","-","2082.31",""
"Emilie Lhomme-Wally Ndiaye","C2M","155.28","-","584.84",""
"Xavier Perreau-Karelle Payen","C2M","178.21","885.24","810.43",""
"Lou Ann Dabin-Lilian Hlodan","C2M","181.11","1946.2","838.97",""
"Yves Souchal-Auriane Janssen Bennynck","C2M","194.1","-","966.77",""
"Mathis Tamburini-Tess Greiveldinger","C2M","195.95","1770.73","984.98",""
"Maelle Froment-Gabriel Herve","C2M","206.56","-","1089.36",""
"Yohan Marck-Juliette Beylle","C2M","212.94","-","1152.13",""
"Katia Le Goff-Maxime Nicolay","C2M","215.46","1561.19","1176.93",""
"Clara Delahaye","K1D","111.28","166.27","219.76",""
"Alina Rassel","K1D","113.88","393.64","246.93",""
"Loan Battistuzzi","K1D","114.36","159.34","251.95",""
"Emilie Lhomme","K1D","119.69","376.46","307.63",""
"Lina Belhaddad","K1D","124.41","441.69","356.94",""
"Adele Charlaigre","K1D","124.75","467.92","360.49",""
"Adelie Courrech Du Pont","K1D","126.01","498.79","373.66",""
"Maelys Talbot","K1D","126.25","516.7","376.17",""
"Ophelie Delaplace","K1D","127.68","382.62","391.11",""
"Fany Marck","K1D","128.18","982.23","396.34",""
"Irene Combes","K1D","131.89","481.69","435.1",""
"Solene Cantet","K1D","132.49","703.81","441.37",""
"Karelle Payen","K1D","136.18","766.16","479.92",""
"Morgane Gharbi-louyer","K1D","136.35","735.89","481.7",""
"Lea Feuillard","K1D","138.72","823.25","506.46",""
"Maelle Froment","K1D","141.11","1500.22","531.43",""
"Laura Demuru","K1D","141.86","830.08","539.27",""
"Katia Le Goff","K1D","141.98","603.41","540.52",""
"Clemence Debayle","K1D","145.86","777.82","581.06",""
"Lou Ann Dabin","K1D","146.57","1233.81","588.47",""
"Anae Calleau","K1D","149.02","625.39","614.07",""
"Auriane Janssen Bennynck","K1D","151.38","745.08","638.73",""
"Marguerite Mathey","K1D","153.21","742.56","657.85",""
"Sandrine Arnal","K1D","153.95","821.89","665.58",""
"Souhail El Aissaoui","K1D","155.38","-","680.52",""
"Tess Greiveldinger","K1D","156.34","2495.87","690.55",""
"Stephanie Perreau","K1D","156.89","870.18","696.3",""
"Natacha Weydmann","K1D","158.66","1082.02","714.79",""
"Marion Loheac","K1D","160.23","995.22","731.19",""
"Lison Marchal","K1D","169.21","1707.36","825.02",""
"Juliette Beylle","K1D","186.27","-","1003.27",""
"Vincent Delahaye","K1H","88.61","62.76","103.26",""
"Noe Perreau","K1H","90.42","66.79","124.63",""
"Yves Prigent","K1H","93.35","74.47","159.22",""
"Nathan Huguenin","K1H","94.73","163.28","175.51",""
"Pol Oulhen","K1H","95.7","38.58","186.96",""
"Axel Colin","K1H","95.72","239.36","187.2",""
"Valerian Descot","K1H","97.65","286.09","209.99",""
"Paul Gestin","K1H","98.03","138.09","214.47",""
"Loric Bertrand Delorme","K1H","99.27","302.72","229.11",""
"Benoit Chantry","K1H","99.52","163.86","232.06",""
"Gael Adisson","K1H","100.65","73.74","245.41",""
"Mathis Colin","K1H","100.98","273.33","249.3",""
"Thomas Durand","K1H","101.25","34.31","252.49",""
"Yohan Marck","K1H","101.51","346.98","255.56",""
"Leni Perreau","K1H","102.12","132.57","262.76",""
"Alois Brucher","K1H","102.83","224.52","271.14",""
"Florian Jumetz","K1H","102.89","317.25","271.85",""
"Melvin Queudeville","K1H","103.43","312.63","278.23",""
