"Sélectif Régional Slalom (Double) - 31400 Toulouse - Course n°2 - 2023-01-28","31400 Toulouse","Course n°2","","2023-01-28","Régional","117"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Camille Vuitton","C1D","124.59","403.94","364.26",""
"Anouk Alberti","C1D","134.7","383.35","471.92",""
"InÈs L'hote","C1D","151.94","717.69","655.51",""
"Leana Grandjean","C1D","154.95","675.22","687.55",""
"Candice Tuquoy Gonzalez","C1D","179.68","652.22","950.89",""
"Lola Miremont","C1D","193.59","479.87","1099.02",""
"Marc Sarramea","C1H","103.43","91.12","296.27",""
"Chin Han Liu","C1H","106.51","244.58","333.76",""
"Aurelien Merieux Danneaux","C1H","107.5","278.58","345.81",""
"Felix Chevallier","C1H","116.16","408.87","451.2",""
"Simon Cayez","C1H","118.99","446.94","485.64",""
"Joris Santoro","C1H","121.04","404.85","510.58",""
"Louis Bernard","C1H","122.97","658.81","534.07",""
"Benoit Pacteau","C1H","126.51","497.91","577.16",""
"Thomas Crampes","C1H","128.75","626.05","604.42",""
"Malo Fouquet","C1H","130.6","566.42","626.93",""
"Tom Pucheu","C1H","132.76","787.92","653.22",""
"Antoine Bazalgette Bissonnet","C1H","133.22","610.75","658.82",""
"Paul Crampes","C1H","136.95","596.5","704.22",""
"Leo Theil","C1H","152.46","646.55","892.97",""
"Gaspard Pichonneau-dahlem","C1H","153.47","932.47","905.26",""
"Hugo Vangilluwen","C1H","162.62","1206.05","1016.61",""
"Camille Saint Macary","C1H","193.98","1183.56","1398.27",""
"Edouard Bonnamy","C1H","229.29","2190.27","1827.98",""
"Benjamin Reig-Cyril Boulet","C2H","120.89","406.91","441.89",""
"Florian Malaval-Natanael Perilhou","C2H","156.43","-","854.75",""
"Felix Chevallier-Leana Grandjean","C2M","156.63","548.05","705.44",""
"Solene Grenier","K1D","107.77","151.83","256.24",""
"Laura Pellicer","K1D","108.35","222.46","262.8",""
"Anouk Alberti","K1D","108.4","266.56","263.36",""
"Camille Vuitton","K1D","113.53","266.14","321.37",""
"Emilie Delahaye","K1D","117.61","311.63","367.52",""
"Clotilde Miclo","K1D","118.35","294.34","375.89",""
"Maeva Bachelot","K1D","118.82","297.0","381.19",""
"Violaine Truche","K1D","125.23","361.66","453.68",""
"Ninon Sanchette","K1D","128.01","546.69","485.12",""
"Maelle Gerbet","K1D","129.32","514.16","499.93",""
"InÈs L'hote","K1D","131.76","588.07","527.53",""
"Leana Grandjean","K1D","135.6","539.07","570.95",""
"Lola Miremont","K1D","143.45","550.83","659.72",""
"Roxanne Brotons","K1D","151.63","832.56","752.23",""
"Mathilde Cavier","K1D","153.34","814.17","771.56",""
"Helene Merlet","K1D","155.77","889.31","799.05",""
"Lou Gueysset Narbonne","K1D","156.49","1053.44","807.19",""
"Elina Processe","K1D","170.7","1436.04","967.88",""
"Gabrielle Caulier","K1D","188.06","971.78","1164.19",""
"Emma Dechaumont","K1D","215.83","1347.26","1478.22",""
"Camille Divry Camille","K1D","611.86","6822.18","5956.69",""
"Cyprien Cail","K1H","94.73","95.39","248.04",""
"Elliot Perez","K1H","96.28","236.27","267.84",""
