"SÈlectif RÈgional Slalom (Double) Bas de saint Pierre de Boeuf - 07360 Les Ollieres Sur Eyrieux - Course n∞3 - 2023-01-29 Course n∞3","07360 Les Ollieres Sur Eyrieux","Course n∞3","","2023-01-29","RÈgional","175"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Annaelle Meheut","C1D","101.47","236.3","325.42",""
"Eyleen Vuilleumier","C1D","101.76","342.5","329.08",""
"Dorie Deshogues","C1D","108.05","397.53","408.64",""
"Judith Locatelli","C1D","110.01","443.01","433.43",""
"Maya Georgel","C1D","112.74","421.65","467.96",""
"Lou Ann Vuilleumier","C1D","114.98","348.42","496.29",""
"Lou Ourmieres","C1D","119.89","732.01","558.39",""
"Laura Lesches","C1D","120.53","705.17","566.49",""
"Julia Coronel","C1D","125.51","586.73","629.48",""
"Clemence Dordonnat","C1D","136.35","750.32","766.58",""
"Yasmin Carneiro Jourdant","C1D","138.13","733.76","789.08",""
"Elea Lutinier","C1D","146.3","1895.99","892.43",""
"Gladys Dupuis","C1D","146.37","711.41","893.31",""
"Aelys Detheve","C1D","156.57","1098.43","1022.32",""
"Margot Ollivier","C1D","157.9","991.15","1039.13",""
"Elise Dordonnat","C1D","178.28","1859.02","1296.91",""
"Marie Fortin","C1D","183.97","1614.7","1368.87",""
"Oriane Christin","C1D","195.86","1548.32","1519.26",""
"Alexis Guillon","C1H","93.9","364.45","399.33",""
"Emile Verdier","C1H","94.25","390.24","404.39",""
"Vadym Musevych","C1H","99.43","323.58","479.27",""
"Alric Detheve","C1H","100.57","552.97","495.75",""
"Tom Bar","C1H","101.88","473.93","514.68",""
"Guillaume Carbon","C1H","102.55","407.24","524.37",""
"Theo Dessolies","C1H","103.22","516.36","534.05",""
"Gaspard Gonseth","C1H","105.34","426.39","564.7",""
"Timeo Triomphe","C1H","105.41","493.11","565.7",""
"G…d…on Gonseth","C1H","108.09","613.73","604.45",""
"Jules Sourieau","C1H","108.12","420.27","604.87",""
"Romain Bertrand","C1H","108.34","409.46","608.06",""
"Paki Magnani","C1H","109.58","604.53","625.99",""
"Titouan Carbon","C1H","111.65","467.98","655.9",""
"Joel Betti","C1H","116.16","1708.3","721.1",""
"Gustave Gonseth","C1H","118.83","538.02","759.69",""
"Cedric Passas","C1H","119.88","677.93","774.86",""
"Theo Leclercq-chabenat","C1H","122.61","876.56","814.32",""
"Etienne Flavier","C1H","124.02","951.52","834.71",""
"Cedric Mace","C1H","127.29","717.3","881.99",""
"Lucas Mathevet","C1H","132.58","743.21","958.45",""
"Pierre Merendet","C1H","137.68","1016.52","1032.17",""
"Alexei Evlachev","C1H","138.46","1021.87","1043.44",""
"Louca Bal","C1H","138.85","940.69","1049.08",""
"Valentin Gall","C1H","140.53","1067.5","1073.36",""
"Charles Couturieux","C1H","142.21","1452.94","1097.64",""
"Th…o Goepfert","C1H","149.63","1282.29","1204.9",""
"Nathan Blanchet","C1H","151.23","1073.11","1228.03",""
"Tylo Egraz","C1H","152.8","697.67","1250.72",""
"Baptiste Desmerger","C1H","158.58","1103.05","1334.28",""
"Arun Schuit","C1H","169.06","1647.61","1485.76",""
"Evann Brosse","C1H","172.7","1486.13","1538.37",""
"Ellyot Martins","C1H","177.85","-","1612.81",""
"David Monnet","C1H","210.07","1137.62","2078.55",""
"Dorie Deshogues-Lou Ann Vuilleumier","C2D","141.42","531.5","693.12",""
"Judith Locatelli-Ambre Christin","C2D","144.84","583.86","733.03",""
"Nicolas Detheve-Alric Detheve","C2H","114.15","712.86","617.05",""
"Guillaume Carbon-Titouan Carbon","C2H","133.06","532.38","877.96",""
"Gladys Dupuis-Evann Brosse","C2M","222.53","2570.47","1856.58",""
"Viviana Daille","K1D","97.06","232.25","345.68",""
"Maya Georgel","K1D","103.0","382.92","425.47",""
"Laura Lesches","K1D","104.7","479.79","448.3",""
"Emilie Armani","K1D","110.44","475.65","525.4",""
"Judith Gery","K1D","112.43","452.21","552.13",""
"Lou Ourmieres","K1D","115.61","477.32","594.84",""
"Ambre Christin","K1D","116.37","521.68","605.04",""
"Yasmin Carneiro Jourdant","K1D","117.77","668.94","623.85",""
"Clemence Dordonnat","K1D","122.9","497.93","692.75",""
"Elea Lutinier","K1D","126.16","788.61","736.54",""
"Elise Dordonnat","K1D","128.17","699.85","763.54",""
"Julia Coronel","K1D","131.96","839.71","814.45",""
"Ceren Avcu","K1D","134.25","1433.08","845.2",""
"Marie Fortin","K1D","135.29","1020.65","859.17",""
