"Sélectif Régional de Slalom - 94500 Champigny Sur Marne - Course n°2 - 2023-02-11","94500 Champigny Sur Marne","Course n°2","","2023-02-11","Régional","195"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Nina Pesce-roue","C1D","103.89","291.81","338.43",""
"Nelia Barbosa","C1D","107.46","1737.15","382.95",""
"Adelie Courrech Du Pont","C1D","115.86","538.68","487.68",""
"Caroline Loir","C1D","115.88","417.47","487.93",""
"Lina Belhaddad","C1D","116.19","491.36","491.8",""
"Manon Le Lay","C1D","123.33","1607.44","580.82",""
"Camille Hurez","C1D","123.95","629.22","588.56",""
"Morgane Gharbi-louyer","C1D","127.61","623.38","634.19",""
"Irene Combes","C1D","129.2","594.69","654.02",""
"Charline Dole","C1D","132.96","614.27","700.9",""
"CÉlya Foucard","C1D","133.08","684.7","702.39",""
"Romane Breuzard","C1D","134.92","606.19","725.33",""
"Amal Renoux","C1D","138.65","669.62","771.85",""
"Clemence Debayle","C1D","140.74","704.43","797.9",""
"Anae Calleau","C1D","148.14","786.45","890.17",""
"Marguerite Mathey","C1D","149.29","879.15","904.5",""
"Carole Huiban-descoffre","C1D","149.53","885.95","907.49",""
"SÉrÉna Guibane","C1D","161.92","968.3","1061.98",""
"Alexandre Ghirardi","C1H","94.93","288.69","395.81",""
"Matheo Senechault","C1H","95.14","362.34","398.8",""
"Alois Brucher","C1H","96.65","289.39","420.32",""
"Valerian Descot","C1H","96.85","318.03","423.17",""
"Robin Le Fellic","C1H","98.52","437.48","446.96",""
"Fabien Tournadre","C1H","100.72","451.51","478.31",""
"Lucas Jacob","C1H","101.32","459.68","486.86",""
"Melvin Queudeville","C1H","104.45","417.92","531.47",""
"Maxime Cousin","C1H","104.49","460.36","532.04",""
"Collin Pouradier","C1H","107.24","443.09","571.22",""
"Gaspard Vincent","C1H","108.1","671.43","583.47",""
"Nenad Trpovski","C1H","108.78","466.13","593.17",""
"Kavishan Kulatunga","C1H","110.01","633.49","610.69",""
"Anas Renoux","C1H","110.36","571.88","615.68",""
"Alexandre Fallourd-marec","C1H","110.93","612.31","623.81",""
"Marc Sanchez","C1H","111.01","711.97","624.95",""
"Jo Rivrin-delfosse","C1H","112.99","683.17","653.17",""
"Enzo Marchand","C1H","114.26","421.97","671.25",""
"Leo Roye","C1H","114.58","476.61","675.82",""
"Antonin Trotta","C1H","116.19","636.1","698.76",""
"Francois Durand","C1H","117.43","577.24","716.43",""
"Ilyan Dinally","C1H","119.52","795.89","746.22",""
"Nolan Bourgoin","C1H","119.79","756.14","750.06",""
