"Manche de la Coupe de France National 3 Slalom - 84800 Fontaine De Vaucluse - Course n∞2 - 2023-03-26","84800 Fontaine De Vaucluse","Course n∞2","","2023-03-26","Nationale 3","185"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Lou Ann Vuilleumier","C1D","95.52","347.24","406.39",""
"Zelie Ferraris","C1D","99.23","401.64","460.81",""
"Viviana Daille","C1D","99.4","347.33","463.31",""
"Adeline Roux","C1D","101.38","502.63","492.35",""
"Clemence Dordonnat","C1D","104.84","686.68","543.12",""
"In»s L'hote","C1D","106.3","667.12","564.53",""
"Lili Ulmer","C1D","109.76","689.32","615.29",""
"Julia Coronel","C1D","110.06","560.45","619.7",""
"Laura Lesches","C1D","111.7","705.17","643.75",""
"Lou Ourmieres","C1D","112.74","586.52","659.01",""
"Anat Brissaud","C1D","129.26","869.98","901.37",""
"Gladys Dupuis","C1D","130.38","711.41","917.8",""
"Marie - Lou Cote","C1D","131.02","1120.74","927.18",""
"Clemence Heintz","C1D","137.31","777.15","1019.46",""
"Elea Lutinier","C1D","137.36","823.96","1020.2",""
"Margot Ollivier","C1D","142.78","980.21","1099.7",""
"Melyne Tappero","C1D","145.88","1023.99","1145.19",""
"Oriane Christin","C1D","165.51","1235.91","1433.17",""
"Manon Martel","C1D","233.55","2132.54","2431.34",""
"Vadym Musevych","C1H","86.76","321.05","459.7",""
"Theo Dessolies","C1H","89.75","516.36","509.83",""
"Clement Dancette","C1H","90.42","448.24","521.07",""
"Malo Fouquet","C1H","94.06","566.42","582.1",""
"Alric Detheve","C1H","95.3","552.97","602.89",""
"Louis Duffours","C1H","95.53","567.18","606.74",""
"Youri Goliard","C1H","95.93","670.64","613.45",""
"Lucas Mathevet","C1H","96.53","686.21","623.51",""
"Romain Bertrand","C1H","96.68","409.46","626.02",""
"Simon Baptiste","C1H","96.87","583.08","629.21",""
"Cedric Passas","C1H","98.8","676.57","661.57",""
"Thomas Crampes","C1H","100.56","645.39","691.08",""
"Paul Crampes","C1H","101.57","596.5","708.01",""
"Tylo Egraz","C1H","101.73","697.67","710.69",""
"Antoine Bazalgette Bissonnet","C1H","102.08","577.82","716.56",""
"Cedric Mace","C1H","102.79","690.51","728.46",""
"Arthur Dury","C1H","104.8","616.26","762.16",""
"YaÀl Normand","C1H","106.28","679.84","786.98",""
"Elias Huguenin","C1H","107.53","680.34","807.94",""
"Samuel Bischler","C1H","108.26","711.93","820.18",""
"Mathieu Villeger","C1H","114.94","706.62","932.18",""
"Etienne Flavier","C1H","118.8","1069.3","996.89",""
"Hugo Vangilluwen","C1H","121.16","932.39","1036.45",""
"Joel Betti","C1H","122.12","750.76","1052.56",""
"Alexei Evlachev","C1H","122.9","937.84","1065.64",""
"Pierre Merendet","C1H","128.84","924.76","1165.23",""
"Camille Saint Macary","C1H","130.0","905.78","1184.68",""
"Baptiste Desmerger","C1H","133.16","1057.33","1237.65",""
"Nathan Blanchet","C1H","135.92","1115.38","1283.93",""
"Titouan Duraffourg","C1H","141.65","476.23","1380.0",""
"Dorie Deshogues-Lou Ann Vuilleumier","C2D","111.26","1408.64","511.74",""
"Judith Locatelli-Ambre Christin","C2D","121.76","583.86","653.93",""
"Louis Siau-Tom Leclercq-chabenat","C2H","126.92","1060.84","1036.31",""
"Elliot Bastard-Theo Leclercq-chabenat","C2H","133.32","1012.65","1138.73",""
"Tylo Egraz-Agathe Di Giovanni","C2M","134.22","850.22","974.13",""
"Fanny Mino-vercellio","K1D","99.83","1746.85","560.34",""
"Clemence Heintz","K1D","101.32","668.67","583.55",""
"Marie - Lou Cote","K1D","102.54","660.95","602.56",""
"Gladys Dupuis","K1D","103.43","629.25","616.43",""
"Helene Merlet","K1D","105.29","762.98","645.4",""
"Elise Dordonnat","K1D","105.94","667.76","655.53",""
"Anat Brissaud","K1D","107.7","713.16","682.95",""
"Yasmin Carneiro Jourdant","K1D","107.85","721.81","685.29",""
"Lou Carbon","K1D","110.21","801.81","722.05",""
"Aelys Detheve","K1D","110.97","775.0","733.89",""
"Elea Lutinier","K1D","111.37","715.12","740.12",""
"No…mie Gaillard","K1D","111.52","604.63","742.46",""
"Mathilde Cavier","K1D","111.67","814.17","744.8",""
"Lili Ulmer","K1D","112.22","660.66","753.37",""
"GaÀlle Allain","K1D","114.61","728.07","790.6",""
"Oceane Fermond","K1D","114.64","794.74","791.06",""
"Melie Dubiez","K1D","115.05","823.66","797.45",""
"Oriane Christin","K1D","115.27","892.79","800.89",""
"Diane Clement","K1D","116.08","883.62","813.51",""
"Julie Grosjean","K1D","116.83","699.23","825.18",""
"Julia Coronel","K1D","116.94","841.61","826.9",""
"Lana Aveleira","K1D","117.4","851.76","834.07",""
"Laura Ceysson","K1D","123.22","790.43","924.73",""
"Melyne Tappero","K1D","123.5","799.08","929.1",""
"Manon Martel","K1D","124.61","1038.2","946.39",""
"Capucine Cavrois","K1D","126.49","940.65","975.68",""
"Margot Ollivier","K1D","133.72","771.2","1088.31",""
"Ines Schoch","K1D","140.57","980.26","1195.03",""
"Zelia Touzet","K1D","143.42","891.81","1239.43",""
"Marie-julie Daval","K1D","156.0","800.82","1435.42",""
"Emma Dechaumont","K1D","160.39","686.54","1503.81",""
"Alice Baptiste","K1D","168.94","815.3","1637.01",""
"Annaelle Carayon","K1D","224.92","784.02","2509.13",""
"Marius Guerin Redon","K1H","78.55","427.91","387.9",""
"Jean Philippe Roche","K1H","81.01","412.66","431.21",""
"Alric Detheve","K1H","81.26","456.64","435.61",""
"Raphael Massot","K1H","81.3","431.4","436.31",""
"Nicolas Demofsqui","K1H","82.06","432.78","449.69",""
"Tom Leclercq-chabenat","K1H","82.25","477.18","453.04",""
"Dimitri Durannot","K1H","84.17","404.42","486.84",""
"Paul Crampes","K1H","84.39","527.14","490.71",""
"Thomas Crampes","K1H","85.29","507.82","506.56",""
"Julien Saguet","K1H","85.34","493.11","507.44",""
"Gautier Paillard","K1H","86.07","575.93","520.29",""
"Lucas Mathevet","K1H","86.11","537.35","520.99",""
"Gustave Gonseth","K1H","86.18","500.98","522.22",""
"Malo Fouquet","K1H","86.24","675.74","523.28",""
"Quentin Brillaut","K1H","86.25","514.17","523.46",""
"Remi Wolf","K1H","86.4","464.32","526.1",""
"Antoine Bazalgette Bissonnet","K1H","86.74","576.74","532.08",""
"Louca Bal","K1H","86.91","599.15","535.08",""
"Theo Leclercq-chabenat","K1H","86.94","621.22","535.6",""
"Youri Goliard","K1H","86.99","652.78","536.48",""
"Bertrand Lamy","K1H","87.09","444.18","538.24",""
"Romain Bertrand","K1H","87.4","510.24","543.7",""
"Gaspard Pichonneau-dahlem","K1H","87.74","621.53","549.69",""
"Julien Beltrami","K1H","87.81","446.45","550.92",""
"Jean Charles Creusot Walter","K1H","88.16","541.51","557.08",""
"Rutger Hoedemaker","K1H","88.85","458.74","569.23",""
"Alexandre Verbinnen","K1H","88.98","471.07","571.52",""
"Etienne Flavier","K1H","89.18","529.77","575.04",""
"Th…o Goepfert","K1H","89.47","624.66","580.14",""
"Arthur Dury","K1H","89.64","612.73","583.14",""
