"Manche 6 de la Coupe de France National 1 Slalom - 09000 Foix - Qualification - 2023-05-21","09000 Foix","Qualification","qualif","2023-05-21","Nationale 1","155"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Doriane Delassus","C1D","141.88","80.02","168.33",""
"Romane Regnier","C1D","144.14","250.27","186.33",""
"Ella Bregazzi","C1D","144.66","129.35","190.47",""
"Laurine Salesse","C1D","149.08","181.9","225.65",""
"Laurene Roisin","C1D","151.55","135.01","245.33",""
"Perrine Joubert","C1D","153.27","284.05","259.02",""
"Youlia Estanguet","C1D","153.57","228.49","261.41",""
"Zoe Laurent","C1D","155.34","176.98","275.5",""
"Laura Pellicer","C1D","156.25","195.9","282.74",""
"Camille Vuitton","C1D","159.78","429.95","310.85",""
"Camille Castryck","C1D","165.98","139.39","360.21",""
"LÉna Quemerais","C1D","174.53","211.06","428.28",""
"Dorie Deshogues","C1D","175.02","434.72","432.18",""
"Rozmarina Estanguet","C1D","182.36","283.26","490.62",""
"Elena Hugues","C1D","186.24","438.91","521.51",""
"Nina Pesce-roue","C1D","205.16","289.17","672.15",""
"Nahia Oteiza","C1D","219.69","262.85","787.82",""
"Annaelle Meheut","C1D","224.25","333.21","824.13",""
"Eva Marchand","C1D","284.74","331.9","1305.72",""
"Lucie Baudu","C1D","296.48","178.57","1399.2",""
"Oceane Sedrue","C1D","572.25","440.84","3594.76",""
"Elouan Debliquy","C1H","116.35","161.86","97.41",""
"Hector Combes","C1H","117.27","112.52","105.78",""
"Martin Thomas","C1H","118.22","52.8","114.42",""
"Luc Sarramea","C1H","120.13","137.04","131.81",""
"Jason Brothier","C1H","120.17","130.28","132.17",""
"Martin Cornu","C1H","120.94","108.15","139.17",""
"Baptiste Delaplace","C1H","121.33","146.98","142.72",""
"Yohann Senechault","C1H","121.33","64.52","142.72",""
"Tanguy Adisson","C1H","121.36","81.4","142.99",""
"Mathurin Madore","C1H","123.34","343.36","161.01",""
"Corentin Oulhen","C1H","123.37","197.94","161.28",""
"Aurelien Merieux Danneaux","C1H","123.51","199.03","162.56",""
"Clement Brotier","C1H","124.12","138.39","168.11",""
"Thomas L'huillier","C1H","124.54","132.87","171.93",""
"Loic Trenchant","C1H","125.04","146.86","176.48",""
"Nicolas Ducrocq","C1H","126.04","196.64","185.58",""
"Emilien Courtiade","C1H","126.23","208.51","187.31",""
"Sebastien De Kerleau","C1H","127.3","171.14","197.04",""
"Glen Le Meur","C1H","127.37","121.35","197.68",""
"Adrien Fischer","C1H","127.67","85.62","200.4",""
"Ianis Triomphe","C1H","128.3","230.13","206.14",""
"Nicolas Scianimanico","C1H","129.7","177.01","218.88",""
"Yves Bourhis","C1H","129.93","118.41","220.97",""
"Etienne Daille","C1H","130.47","183.07","225.88",""
"Gireg Hamoniaux","C1H","130.65","185.83","227.53",""
"Leo Ulmer","C1H","131.02","195.15","230.89",""
"Jules Latimier","C1H","131.21","191.22","232.62",""
"Valentin Marteil","C1H","134.61","96.88","263.55",""
"Titouan Estanguet","C1H","139.97","163.28","312.33",""
"Louison Decarsin","C1H","140.21","223.56","314.51",""
"Marvin Tulpin","C1H","150.62","208.96","409.23",""
"Faysal Ali Zazou","C1H","162.5","445.44","517.33",""
"Marc Sarramea","C1H","166.48","75.2","553.53",""
"Emeric Nieser","C1H","177.04","196.04","649.63",""
"Alois Brucher","C1H","179.19","230.18","669.18",""
"Lucas Jamart","C1H","182.01","185.14","694.85",""
"Terence Saramandif","C1H","198.24","189.05","842.52",""
"Timothee Cornu","C1H","233.21","180.75","1160.71",""
"Paul Cascarino","C1H","303.76","174.88","1802.64",""
"Coline Charel","K1D","118.96","48.45","44.52",""
"Eva Pietracha","K1D","121.21","67.52","63.54",""
"Adeline Roux","K1D","124.02","136.18","87.3",""
"Ilona Martin-laemle","K1D","124.51","128.07","91.45",""
"Nina Pesce-roue","K1D","124.87","165.34","94.49",""
"Lucie Baudu","K1D","128.58","106.35","125.86",""
"Laurene Roisin","K1D","130.71","198.03","143.87",""
"Doriane Delassus","K1D","131.52","71.02","150.71",""
"Clemence Lartigue","K1D","132.52","188.86","159.17",""
"Laura Pellicer","K1D","133.68","159.9","168.98",""
"LÉna Quemerais","K1D","135.42","208.63","183.69",""
"Anouk Alberti","K1D","138.02","189.2","205.68",""
"Youlia Estanguet","K1D","139.25","235.18","216.07",""
"Perrine Augu","K1D","139.46","219.05","217.85",""
