"Championnat Régional de Slalom - 68330 Huningue - Course n°1 - 2023-06-11","68330 Huningue","Course n°1","","2023-06-11","Régional","159"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Emilie Moret","C1D","102.91","358.73","300.87",""
"Emily Kossmann","C1D","104.09","-","315.55",""
"Fia Buetikofer","C1D","104.78","345.99","324.14",""
"Anna Munch","C1D","111.48","469.95","407.54",""
"Luisa Burner","C1D","112.97","385.32","426.09",""
"Anais Haton","C1D","119.12","475.17","502.64",""
"Mattea Hannequin","C1D","126.19","503.45","590.63",""
"Iana Gonseth","C1D","131.77","445.63","660.09",""
"Louise Portmann","C1D","131.84","775.2","660.97",""
"Emmie Mathis","C1D","136.32","910.52","716.73",""
"Fransiska Granzow","C1D","140.99","-","774.86",""
"Justine Haton","C1D","148.84","723.85","872.56",""
"Klea Kukalaj","C1D","173.43","-","1178.65",""
"Ariane Thuillier","C1D","179.39","996.74","1252.84",""
"Clara Ligibel","C1D","230.88","-","1893.74",""
"Hugo Latimier","C1H","84.86","107.91","227.09",""
"Thomas L'huillier","C1H","85.63","137.18","238.04",""
"Julien Pajaud","C1H","86.43","270.17","249.42",""
"Jules Latimier","C1H","87.15","171.94","259.67",""
"Leo Ulmer","C1H","91.74","195.15","324.96",""
"Antoine Guerne","C1H","92.35","199.97","333.64",""
"Quentin Maillefer","C1H","94.27","173.41","360.95",""
"Colin Floch","C1H","96.1","364.91","386.98",""
"Marvin Tulpin","C1H","96.79","211.89","396.8",""
"Christophe Despres","C1H","98.81","410.13","425.53",""
"Joao Normand","C1H","99.27","441.46","432.08",""
"Thibaut Boudier","C1H","99.36","439.48","433.36",""
"Nathanael Pedron","C1H","100.42","503.42","448.44",""
"Nolann Desceliers","C1H","100.44","506.25","448.72",""
"Louis Arribe","C1H","103.31","599.81","489.55",""
"Maxime Bottex","C1H","103.35","492.07","490.12",""
"Theo Reby","C1H","103.83","363.45","496.95",""
"Noe Crapart","C1H","104.87","424.82","511.74",""
"Jean-charles Reby","C1H","105.68","435.89","523.27",""
"Maxime Devis","C1H","107.01","755.75","542.18",""
"Jan Pischek","C1H","107.19","406.0","544.75",""
